Signal0,nPheno,nGen,Generation,Iter,Freq
0,720,2000,1,0,36
0.5,477,2000,1,0,23.85
1,803,2000,1,0,40.15
0,679,2000,2,0,33.95
0.5,588,2000,2,0,29.4
1,733,2000,2,0,36.65
0,644,2000,3,0,32.2
0.5,625,2000,3,0,31.25
1,731,2000,3,0,36.55
0,772,2000,1,0_1,38.6
0.5,453,2000,1,0_1,22.65
1,775,2000,1,0_1,38.75
0,699,2000,2,0_1,34.95
0.5,619,2000,2,0_1,30.95
1,682,2000,2,0_1,34.1
0,641,2000,3,0_1,32.05
0.5,681,2000,3,0_1,34.05
1,678,2000,3,0_1,33.9
0,708,2000,1,0_10,35.4
0.5,502,2000,1,0_10,25.1
1,790,2000,1,0_10,39.5
0,634,2000,2,0_10,31.7
0.5,610,2000,2,0_10,30.5
1,756,2000,2,0_10,37.8
0,581,2000,3,0_10,29.05
0.5,663,2000,3,0_10,33.15
1,756,2000,3,0_10,37.8
0,752,2000,1,0_100,37.6
0.5,469,2000,1,0_100,23.45
1,779,2000,1,0_100,38.95
0,728,2000,2,0_100,36.4
0.5,588,2000,2,0_100,29.4
1,684,2000,2,0_100,34.2
0,708,2000,3,0_100,35.4
0.5,653,2000,3,0_100,32.65
1,639,2000,3,0_100,31.95
0,720,2000,4,0,36
0.5,477,2000,4,0,0
1,803,2000,4,0,40.15
0,679,2000,5,0,33.95
0.5,588,2000,5,0,29.4
1,733,2000,5,0,36.65
0,644,2000,6,0,32.2
0.5,625,2000,6,0,31.25
1,731,2000,6,0,36.55
0,752,2000,4,0_100,37.6
0.5,469,2000,4,0_100,23.45
1,779,2000,4,0_100,38.95
0,728,2000,5,0_100,36.4
0.5,588,2000,5,0_100,29.4
1,684,2000,5,0_100,0
0,708,2000,6,0_100,35.4
0.5,653,2000,6,0_100,32.65
1,639,2000,6,0_100,0
