X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,9.73[8.62132],9.65415[8.46867],9.80769[8.77424],1,0
3,Pref0,0.4865[0.431066],0.482708[0.423433],0.490385[0.438712],1,0
3,Signal0,0.4865[0.431066],0.482708[0.423433],0.490385[0.438712],1,0
3,Hybridindex,9.66525[8.06039],9.69828[8.09205],9.62918[8.02551],2,0
3,Pref0,0.481[0.418496],0.478927[0.416421],0.483264[0.420739],2,0
3,Signal0,0.481[0.418496],0.478927[0.416421],0.483264[0.420739],2,0
3,Hybridindex,9.55975[7.33204],9.38968[7.27006],9.72579[7.38828],3,0
3,Pref0,0.479[0.411472],0.46913[0.407804],0.488636[0.414795],3,0
3,Signal0,0.479[0.411472],0.46913[0.407804],0.488636[0.414795],3,0
3,Hybridindex,9.445[6.68113],9.3578[6.63685],9.52895[6.72241],4,0
3,Pref0,0.464[0.411951],0.462283[0.407754],0.465653[0.415945],4,0
3,Signal0,0.464[0.411951],0.462283[0.407754],0.465653[0.415945],4,0
3,Hybridindex,9.40025[5.9677],9.39579[5.85985],9.40469[6.07321],5,0
3,Pref0,0.45125[0.407122],0.45491[0.401614],0.447605[0.412503],5,0
3,Signal0,0.45125[0.407122],0.45491[0.401614],0.447605[0.412503],5,0
3,Hybridindex,9.169[5.46321],9.27595[5.47198],9.06767[5.45295],6,0
3,Pref0,0.42525[0.410837],0.433196[0.415103],0.417722[0.406612],6,0
3,Signal0,0.42525[0.410837],0.433196[0.415103],0.417722[0.406612],6,0
3,Hybridindex,8.92075[4.79957],9.02495[4.80518],8.82024[4.792],7,0
3,Pref0,0.397[0.398298],0.401222[0.399743],0.392927[0.396855],7,0
3,Signal0,0.397[0.398298],0.401222[0.399743],0.392927[0.396855],7,0
3,Hybridindex,8.54075[4.20413],8.54781[4.25269],8.53363[4.1546],8,0
3,Pref0,0.36525[0.389509],0.371016[0.39234],0.359438[0.386547],8,0
3,Signal0,0.36525[0.389509],0.371016[0.39234],0.359438[0.386547],8,0
3,Hybridindex,8.28825[3.71679],8.32646[3.72209],8.2505[3.71116],9,0
3,Pref0,0.3215[0.374016],0.323441[0.37765],0.319583[0.37038],9,0
3,Signal0,0.3215[0.374016],0.323441[0.37765],0.319583[0.37038],9,0
3,Hybridindex,7.72[3.15588],7.67771[3.1415],7.76195[3.16953],10,0
3,Pref0,0.2455[0.334634],0.231426[0.327621],0.259462[0.340874],10,0
3,Signal0,0.2455[0.334634],0.231426[0.327621],0.259462[0.340874],10,0
3,Hybridindex,7.3255[2.62484],7.31615[2.63405],7.33502[2.6154],11,0
3,Pref0,0.18325[0.290335],0.180872[0.288087],0.185671[0.292587],11,0
3,Signal0,0.18325[0.290335],0.180872[0.288087],0.185671[0.292587],11,0
3,Hybridindex,7.081[2.28833],7.03497[2.3425],7.12713[2.23178],12,0
3,Pref0,0.11725[0.234792],0.11039[0.226937],0.124124[0.242213],12,0
3,Signal0,0.11725[0.234792],0.11039[0.226937],0.124124[0.242213],12,0
3,Hybridindex,6.94325[2.08762],6.98817[2.05181],6.89706[2.12283],13,0
3,Pref0,0.06625[0.177443],0.0729783[0.186051],0.0593306[0.16785],13,0
