X2,X3,X4,X5,Generation,Iter
Hybridindex,9.31892[8.80239],9.4577[8.73376],9.18103[8.8679],1,0
Pref0,0.465946[0.44012],0.472885[0.436688],0.459052[0.443395],1,0
Signal0,0.465946[0.44012],0.472885[0.436688],0.459052[0.443395],1,0
Hybridindex,8.57367[7.95845],8.29351[7.99567],8.81472[7.91836],2,0
Pref0,0.428377[0.412938],0.417404[0.414299],0.437817[0.41153],2,0
Signal0,0.428377[0.412938],0.417404[0.414299],0.437817[0.41153],2,0
Hybridindex,9.03852[7.25553],9.24687[7.0896],8.82753[7.41382],3,0
Pref0,0.46305[0.404148],0.490625[0.393192],0.435127[0.413078],3,0
Signal0,0.46305[0.404148],0.490625[0.393192],0.435127[0.413078],3,0
Hybridindex,8.88278[6.71162],9.55579[6.73399],8.25301[6.62903],4,0
Pref0,0.454357[0.417451],0.480687[0.420316],0.429719[0.413235],4,0
Signal0,0.454357[0.417451],0.480687[0.420316],0.429719[0.413235],4,0
Hybridindex,7.81171[5.58381],7.36478[5.28278],8.26433[5.8382],5,0
Pref0,0.390823[0.389674],0.355346[0.381762],0.426752[0.394288],5,0
Signal0,0.390823[0.389674],0.355346[0.381762],0.426752[0.394288],5,0
Hybridindex,7.57105[5.10613],6.97283[4.98659],8.13265[5.15304],6,0
Pref0,0.365789[0.392882],0.309783[0.367441],0.418367[0.408418],6,0
Signal0,0.365789[0.392882],0.309783[0.367441],0.418367[0.408418],6,0
Hybridindex,8.03782[4.03304],7.43396[4.00476],8.52273[3.98998],7,0
Pref0,0.39916[0.369987],0.358491[0.355248],0.431818[0.378257],7,0
Signal0,0.39916[0.369987],0.358491[0.355248],0.431818[0.378257],7,0
Hybridindex,7.80337[3.89513],7.65686[3.95624],8[3.8027],8,0
Pref0,0.365169[0.365385],0.401961[0.383733],0.315789[0.332871],8,0
Signal0,0.365169[0.365385],0.401961[0.383733],0.315789[0.332871],8,0
Hybridindex,7.64634[3.46101],7[3.3132],8.39474[3.47767],9,0
Pref0,0.329268[0.342333],0.272727[0.327777],0.394737[0.347129],9,0
Signal0,0.329268[0.342333],0.272727[0.327777],0.394737[0.347129],9,0
Hybridindex,8.875[2.4232],9.5[2.51661],8.36364[2.21658],10,0
Pref0,0.45[0.217945],0.5[0.235702],0.409091[0.192847],10,0
Signal0,0.45[0.217945],0.5[0.235702],0.409091[0.192847],10,0
Hybridindex,9[2.18466],8.92857[1.37396],9.03333[2.47296],11,0
Pref0,0.454545[0.366466],0.571429[0.416497],0.4[0.326599],11,0
Signal0,0.454545[0.366466],0.571429[0.416497],0.4[0.326599],11,0
Hybridindex,9.33333[1.84089],9.64286[1.70533],8.9[1.93391],12,0
Pref0,0.333333[0.372678],0.285714[0.364216],0.4[0.374166],12,0
Signal0,0.333333[0.372678],0.285714[0.364216],0.4[0.374166],12,0
Hybridindex,8.92857[1.52195],8.33333[0.235702],9.375[1.88331],13,0
Pref0,0.0714286[0.174964],0.166667[0.235702],0[0],13,0
Signal0,0.0714286[0.174964],0.166667[0.235702],0[0],13,0
Hybridindex,0[0],0[0],0[0],14,0
Pref0,0[0],0[0],0[0],14,0
Signal0,0[0],0[0],0[0],14,0
Hybridindex,9.96528[8.70684],9.84091[8.69807],10.0943[8.71404],1,0_1
Pref0,0.498264[0.435342],0.492045[0.434904],0.504717[0.435702],1,0_1
Signal0,0.498264[0.435342],0.492045[0.434904],0.504717[0.435702],1,0_1
Hybridindex,10.557[8.03415],10.1609[8.04061],10.9141[8.01155],2,0_1
Pref0,0.522963[0.418806],0.507812[0.42105],0.53662[0.416301],2,0_1
Signal0,0.522963[0.418806],0.507812[0.42105],0.53662[0.416301],2,0_1
Hybridindex,10.7793[7.39137],10.7045[7.65763],10.8431[7.15617],3,0_1
Pref0,0.524209[0.410943],0.508097[0.421986],0.537931[0.400787],3,0_1
Signal0,0.524209[0.410943],0.508097[0.421986],0.537931[0.400787],3,0_1
Hybridindex,10.1613[6.57107],9.91163[6.73461],10.4424[6.37028],4,0_1
Pref0,0.497537[0.406225],0.490698[0.409091],0.505236[0.402835],4,0_1
Signal0,0.497537[0.406225],0.490698[0.409091],0.505236[0.402835],4,0_1
Hybridindex,9.64113[5.54438],9.71138[5.47537],9.572[5.6106],5,0_1
Pref0,0.477823[0.386923],0.5[0.382546],0.456[0.389954],5,0_1
Signal0,0.477823[0.386923],0.5[0.382546],0.456[0.389954],5,0_1
Hybridindex,8.8871[4.8372],9.35[4.88902],8.45312[4.7473],6,0_1
Pref0,0.447581[0.385308],0.516667[0.38694],0.382812[0.372305],6,0_1
Signal0,0.447581[0.385308],0.516667[0.38694],0.382812[0.372305],6,0_1
Hybridindex,8.89437[4.52763],8.175[4.64428],9.82258[4.19398],7,0_1
Pref0,0.429577[0.413639],0.375[0.414578],0.5[0.40161],7,0_1
Signal0,0.429577[0.413639],0.375[0.414578],0.5[0.40161],7,0_1
Hybridindex,8.30488[4.32925],9.625[4.37286],7.04762[3.89109],8,0_1
Pref0,0.414634[0.440377],0.4[0.463681],0.428571[0.416497],8,0_1
Signal0,0.414634[0.440377],0.4[0.463681],0.428571[0.416497],8,0_1
Hybridindex,8.125[3.36108],7.875[3.2476],8.3125[3.43181],9,0_1
Pref0,0.410714[0.379228],0.375[0.360844],0.4375[0.390312],9,0_1
Signal0,0.410714[0.379228],0.375[0.360844],0.4375[0.390312],9,0_1
Hybridindex,8.70833[2.31803],8.20833[2.11599],9.20833[2.40189],10,0_1
Pref0,0.3125[0.316639],0.25[0.25],0.375[0.360844],10,0_1
Signal0,0.3125[0.316639],0.25[0.25],0.375[0.360844],10,0_1
Hybridindex,7.625[2.01944],7.27778[1.68508],8.07143[2.30572],11,0_1
Pref0,0.1875[0.242061],0.111111[0.20787],0.285714[0.247436],11,0_1
Signal0,0.1875[0.242061],0.111111[0.20787],0.285714[0.247436],11,0_1
Hybridindex,7.83333[1.64992],8.75[1.25],6[0],12,0_1
Pref0,0.166667[0.235702],0.25[0.25],0[0],12,0_1
Signal0,0.166667[0.235702],0.25[0.25],0[0],12,0_1
