X2,X3,X4,X5,Generation,Iter
Hybridindex,10.185[8.72444],10.117[8.68475],10.2567[8.76547],1,0
Pref0,0.50925[0.436222],0.505848[0.434238],0.512834[0.438274],1,0
Signal0,0.50925[0.436222],0.505848[0.434238],0.512834[0.438274],1,0
Hybridindex,10.1903[8.08129],10.0337[8.0898],10.35[8.06946],2,0
Pref0,0.50425[0.420544],0.49901[0.421571],0.509596[0.419426],2,0
Signal0,0.50425[0.420544],0.49901[0.421571],0.509596[0.419426],2,0
Hybridindex,10.5765[7.19878],10.6555[7.1361],10.4933[7.26329],3,0
Pref0,0.5285[0.402415],0.537524[0.402605],0.518994[0.401995],3,0
Signal0,0.5285[0.402415],0.537524[0.402605],0.518994[0.401995],3,0
Hybridindex,10.9582[6.57671],11.0551[6.5589],10.8544[6.59418],4,0
Pref0,0.543[0.407002],0.554589[0.40726],0.53057[0.406359],4,0
Signal0,0.543[0.407002],0.554589[0.40726],0.53057[0.406359],4,0
Hybridindex,10.901[5.79076],10.8933[5.8021],10.9086[5.77956],5,0
Pref0,0.55[0.404351],0.552367[0.40859],0.547666[0.400114],5,0
Signal0,0.55[0.404351],0.552367[0.40859],0.547666[0.400114],5,0
Hybridindex,11.0055[5.24752],11.0515[5.18947],10.9558[5.30899],6,0
Pref0,0.5695[0.407639],0.572736[0.410904],0.566008[0.404057],6,0
Signal0,0.5695[0.407639],0.572736[0.410904],0.566008[0.404057],6,0
Hybridindex,11.0895[4.65967],11.1744[4.61127],10.9995[4.70874],7,0
Pref0,0.58075[0.403862],0.596696[0.399986],0.563852[0.407248],7,0
Signal0,0.58075[0.403862],0.596696[0.399986],0.563852[0.407248],7,0
Hybridindex,11.4512[4.05463],11.5108[3.99612],11.3895[4.11349],8,0
Pref0,0.6245[0.390512],0.633104[0.389845],0.61558[0.391003],8,0
Signal0,0.6245[0.390512],0.633104[0.389845],0.61558[0.391003],8,0
Hybridindex,11.6785[3.6054],11.7055[3.58589],11.6524[3.62396],9,0
Pref0,0.66425[0.379008],0.67294[0.375496],0.655851[0.382184],9,0
Signal0,0.66425[0.379008],0.67294[0.375496],0.655851[0.382184],9,0
Hybridindex,11.8778[3.23615],11.8543[3.23164],11.9005[3.24036],10,0
Pref0,0.70475[0.360836],0.708122[0.361659],0.701478[0.360005],10,0
