X2,X3,X4,X5,Generation,Iter
Hybridindex,10.415[8.71652],10.7107[8.6874],10.1199[8.73552],1,0
Pref0,0.52075[0.435826],0.535536[0.43437],0.505994[0.436776],1,0
Signal0,0.52075[0.435826],0.535536[0.43437],0.505994[0.436776],1,0
Hybridindex,10.3588[8.08297],10.6974[8.02096],10.0215[8.13026],2,0
Pref0,0.5135[0.419902],0.530561[0.417332],0.496507[0.421761],2,0
Signal0,0.5135[0.419902],0.530561[0.417332],0.496507[0.421761],2,0
Hybridindex,10.4425[7.32338],10.3306[7.29928],10.55[7.34486],3,0
Pref0,0.52175[0.414007],0.508163[0.414575],0.534804[0.41304],3,0
Signal0,0.52175[0.414007],0.508163[0.414575],0.534804[0.41304],3,0
Hybridindex,10.765[6.6758],10.7899[6.64296],10.7394[6.7093],4,0
Pref0,0.5415[0.405928],0.545858[0.407181],0.537018[0.404587],4,0
Signal0,0.5415[0.405928],0.545858[0.407181],0.537018[0.404587],4,0
Hybridindex,11.043[5.88933],10.9398[5.90742],11.1489[5.8688],5,0
Pref0,0.56225[0.405894],0.561698[0.410732],0.562817[0.400867],5,0
Signal0,0.56225[0.405894],0.561698[0.410732],0.562817[0.400867],5,0
Hybridindex,11.2048[5.2035],11.0585[5.29326],11.3439[5.11278],6,0
Pref0,0.584[0.396477],0.574872[0.400044],0.592683[0.392857],6,0
Signal0,0.584[0.396477],0.574872[0.400044],0.592683[0.392857],6,0
Hybridindex,11.4938[4.6421],11.5422[4.70348],11.4457[4.57989],7,0
Pref0,0.621[0.394473],0.62249[0.391368],0.619522[0.397524],7,0
Signal0,0.621[0.394473],0.62249[0.391368],0.619522[0.397524],7,0
Hybridindex,11.8588[4.10624],11.818[4.23083],11.9011[3.97224],8,0
Pref0,0.6645[0.380052],0.665849[0.388717],0.663099[0.370833],8,0
Signal0,0.6645[0.380052],0.665849[0.388717],0.663099[0.370833],8,0
Hybridindex,12.3108[3.48214],12.3167[3.47411],12.3047[3.49034],9,0
Pref0,0.7155[0.356805],0.722826[0.352157],0.707996[0.36135],9,0
Signal0,0.7155[0.356805],0.722826[0.352157],0.707996[0.36135],9,0
Hybridindex,12.7803[2.97562],12.8443[2.90556],12.7142[3.04473],10,0
Pref0,0.789[0.316984],0.796552[0.307922],0.781218[0.325876],10,0
Signal0,0.789[0.316984],0.796552[0.307922],0.781218[0.325876],10,0
Hybridindex,13.076[2.49729],13.0149[2.51545],13.138[2.47721],11,0
Pref0,0.8535[0.266529],0.849057[0.270269],0.858006[0.262605],11,0
Signal0,0.8535[0.266529],0.849057[0.270269],0.858006[0.262605],11,0
Hybridindex,13.2762[2.22279],13.2743[2.21794],13.2782[2.22762],12,0
Pref0,0.90825[0.209062],0.906406[0.216901],0.91009[0.200917],12,0
Signal0,0.90825[0.209062],0.906406[0.216901],0.91009[0.200917],12,0
Hybridindex,13.4295[2.06973],13.4279[2.08804],13.4312[2.0508],13,0
Pref0,0.94675[0.159027],0.942194[0.165945],0.951417[0.151471],13,0
Signal0,0.94675[0.159027],0.942194[0.165945],0.951417[0.151471],13,0
Hybridindex,13.494[1.94119],13.4795[1.92815],13.5085[1.95398],14,0
Pref0,0.9725[0.115081],0.975451[0.108037],0.969561[0.121622],14,0
Signal0,0.9725[0.115081],0.975451[0.108037],0.969561[0.121622],14,0
Hybridindex,13.5355[1.8905],13.5407[1.94131],13.5306[1.84135],15,0
Pref0,0.9865[0.0810417],0.987113[0.079229],0.985922[0.0827082],15,0
Signal0,0.9865[0.0810417],0.987113[0.079229],0.985922[0.0827082],15,0
Hybridindex,13.4745[1.84942],13.4541[1.79191],13.4941[1.90294],16,0
Pref0,0.99325[0.0577013],0.991845[0.0633322],0.994603[0.0516681],16,0
Signal0,0.99325[0.0577013],0.991845[0.0633322],0.994603[0.0516681],16,0
Hybridindex,13.4605[1.84951],13.3869[1.86435],13.5321[1.83213],17,0
Pref0,0.99825[0.0295286],0.998479[0.0275379],0.998028[0.0313417],17,0
Signal0,0.99825[0.0295286],0.998479[0.0275379],0.998028[0.0313417],17,0
Hybridindex,13.4957[1.90213],13.5257[1.92613],13.4663[1.8778],18,0
Pref0,0.99925[0.0193504],0.998991[0.0224393],0.999504[0.0157329],18,0
Signal0,0.99925[0.0193504],0.998991[0.0224393],0.999504[0.0157329],18,0
Hybridindex,13.5152[1.89444],13.4949[1.92668],13.5351[1.86208],19,0
Pref0,0.99975[0.0111775],1[0],0.999505[0.0157251],19,0
Signal0,0.99975[0.0111775],1[0],0.999505[0.0157251],19,0
Hybridindex,13.5473[1.90693],13.4938[1.95934],13.5966[1.85587],20,0
Pref0,0.99975[0.0111775],1[0],0.999519[0.0154969],20,0
Signal0,0.99975[0.0111775],1[0],0.999519[0.0154969],20,0
Hybridindex,13.508[1.84694],13.5284[1.86935],13.4875[1.82389],21,0
Pref0,0.9995[0.0158035],1[0],0.998997[0.0223718],21,0
Signal0,0.9995[0.0158035],1[0],0.998997[0.0223718],21,0
Hybridindex,13.4635[1.89464],13.4659[1.94594],13.4611[1.84223],22,0
Pref0,0.9995[0.0158035],0.998997[0.0223718],1[0],22,0
Signal0,0.9995[0.0158035],0.998997[0.0223718],1[0],22,0
Hybridindex,13.5378[1.82379],13.5378[1.85426],13.5377[1.79336],23,0
Pref0,1[0],1[0],1[0],23,0
Signal0,1[0],1[0],1[0],23,0
Hybridindex,13.552[1.80971],13.5483[1.81722],13.5556[1.8024],24,0
Pref0,1[0],1[0],1[0],24,0
Signal0,1[0],1[0],1[0],24,0
Hybridindex,13.5318[1.8202],13.5676[1.79395],13.4944[1.84643],25,0
Pref0,1[0],1[0],1[0],25,0
Signal0,1[0],1[0],1[0],25,0
Hybridindex,13.5675[1.76931],13.5581[1.76678],13.577[1.77182],26,0
Pref0,1[0],1[0],1[0],26,0
Signal0,1[0],1[0],1[0],26,0
Hybridindex,13.6025[1.7796],13.5808[1.75134],13.6238[1.80662],27,0
Pref0,1[0],1[0],1[0],27,0
Signal0,1[0],1[0],1[0],27,0
Hybridindex,13.5442[1.82117],13.5085[1.86323],13.5798[1.77758],28,0
Pref0,1[0],1[0],1[0],28,0
Signal0,1[0],1[0],1[0],28,0
Hybridindex,13.569[1.73968],13.5447[1.77148],13.5936[1.70654],29,0
Pref0,1[0],1[0],1[0],29,0
Signal0,1[0],1[0],1[0],29,0
Hybridindex,13.579[1.7417],13.6088[1.74783],13.551[1.73543],30,0
Pref0,1[0],1[0],1[0],30,0
Signal0,1[0],1[0],1[0],30,0
Hybridindex,13.562[1.80434],13.5922[1.7824],13.5332[1.82455],31,0
Pref0,1[0],1[0],1[0],31,0
Signal0,1[0],1[0],1[0],31,0
Hybridindex,13.5623[1.78059],13.5815[1.71251],13.5437[1.84356],32,0
Pref0,1[0],1[0],1[0],32,0
Signal0,1[0],1[0],1[0],32,0
Hybridindex,13.6082[1.82946],13.6421[1.84493],13.5747[1.81335],33,0
Pref0,1[0],1[0],1[0],33,0
Signal0,1[0],1[0],1[0],33,0
Hybridindex,13.612[1.80075],13.611[1.81088],13.613[1.79074],34,0
Pref0,1[0],1[0],1[0],34,0
Signal0,1[0],1[0],1[0],34,0
Hybridindex,13.6043[1.76862],13.5694[1.7568],13.6424[1.78068],35,0
Pref0,1[0],1[0],1[0],35,0
Signal0,1[0],1[0],1[0],35,0
Hybridindex,13.7037[1.77563],13.7209[1.76365],13.6861[1.78769],36,0
Pref0,1[0],1[0],1[0],36,0
Signal0,1[0],1[0],1[0],36,0
Hybridindex,13.729[1.72817],13.7308[1.72673],13.7271[1.72966],37,0
Pref0,1[0],1[0],1[0],37,0
Signal0,1[0],1[0],1[0],37,0
Hybridindex,13.8087[1.77512],13.7385[1.7753],13.8793[1.77214],38,0
Pref0,1[0],1[0],1[0],38,0
Signal0,1[0],1[0],1[0],38,0
Hybridindex,13.859[1.70935],13.9049[1.65992],13.8155[1.75378],39,0
Pref0,1[0],1[0],1[0],39,0
Signal0,1[0],1[0],1[0],39,0
Hybridindex,13.8323[1.68715],13.8642[1.67902],13.8[1.69472],40,0
Pref0,1[0],1[0],1[0],40,0
Signal0,1[0],1[0],1[0],40,0
Hybridindex,13.804[1.67372],13.7847[1.61882],13.8244[1.72976],41,0
Pref0,1[0],1[0],1[0],41,0
Signal0,1[0],1[0],1[0],41,0
Hybridindex,13.8227[1.73629],13.8297[1.72685],13.8159[1.74562],42,0
Pref0,1[0],1[0],1[0],42,0
Signal0,1[0],1[0],1[0],42,0
Hybridindex,13.7795[1.74295],13.819[1.75737],13.7403[1.72761],43,0
Pref0,1[0],1[0],1[0],43,0
Signal0,1[0],1[0],1[0],43,0
Hybridindex,13.7385[1.72724],13.7492[1.72152],13.7284[1.73256],44,0
Pref0,1[0],1[0],1[0],44,0
Signal0,1[0],1[0],1[0],44,0
Hybridindex,13.7235[1.69353],13.7306[1.65774],13.7161[1.7299],45,0
Pref0,1[0],1[0],1[0],45,0
Signal0,1[0],1[0],1[0],45,0
Hybridindex,13.747[1.7033],13.8262[1.68882],13.6667[1.71413],46,0
Pref0,1[0],1[0],1[0],46,0
Signal0,1[0],1[0],1[0],46,0
Hybridindex,13.8168[1.63326],13.8007[1.66998],13.8327[1.59584],47,0
Pref0,1[0],1[0],1[0],47,0
Signal0,1[0],1[0],1[0],47,0
Hybridindex,13.827[1.69987],13.818[1.66264],13.836[1.73626],48,0
Pref0,1[0],1[0],1[0],48,0
Signal0,1[0],1[0],1[0],48,0
Hybridindex,13.8313[1.70906],13.7991[1.64921],13.8617[1.76335],49,0
Pref0,1[0],1[0],1[0],49,0
Signal0,1[0],1[0],1[0],49,0
Hybridindex,13.902[1.73822],14.001[1.73505],13.8012[1.73564],50,0
Pref0,1[0],1[0],1[0],50,0
Signal0,1[0],1[0],1[0],50,0
Hybridindex,13.9247[1.67585],13.9321[1.65331],13.9173[1.69815],51,0
Pref0,1[0],1[0],1[0],51,0
Signal0,1[0],1[0],1[0],51,0
Hybridindex,13.8785[1.68307],13.8475[1.66764],13.9103[1.69818],52,0
Pref0,1[0],1[0],1[0],52,0
Signal0,1[0],1[0],1[0],52,0
Hybridindex,13.924[1.63897],14.0222[1.57517],13.8187[1.69845],53,0
Pref0,1[0],1[0],1[0],53,0
Signal0,1[0],1[0],1[0],53,0
Hybridindex,13.907[1.68489],13.8649[1.73313],13.9481[1.63537],54,0
Pref0,1[0],1[0],1[0],54,0
Signal0,1[0],1[0],1[0],54,0
Hybridindex,13.9608[1.62406],13.9484[1.57562],13.973[1.67092],55,0
Pref0,1[0],1[0],1[0],55,0
Signal0,1[0],1[0],1[0],55,0
Hybridindex,14.0273[1.60643],14.0291[1.56935],14.0253[1.64362],56,0
Pref0,1[0],1[0],1[0],56,0
Signal0,1[0],1[0],1[0],56,0
Hybridindex,14.0053[1.63244],14.0441[1.6761],13.9657[1.58586],57,0
Pref0,1[0],1[0],1[0],57,0
Signal0,1[0],1[0],1[0],57,0
Hybridindex,13.9128[1.65884],13.8577[1.68148],13.9668[1.6345],58,0
Pref0,1[0],1[0],1[0],58,0
Signal0,1[0],1[0],1[0],58,0
Hybridindex,13.9113[1.62988],13.9857[1.67301],13.8403[1.58442],59,0
Pref0,1[0],1[0],1[0],59,0
Signal0,1[0],1[0],1[0],59,0
Hybridindex,13.9857[1.61429],13.9471[1.59648],14.0197[1.62903],60,0
Pref0,1[0],1[0],1[0],60,0
Signal0,1[0],1[0],1[0],60,0
Hybridindex,13.958[1.59232],13.9254[1.60108],13.9892[1.58327],61,0
Pref0,1[0],1[0],1[0],61,0
Signal0,1[0],1[0],1[0],61,0
Hybridindex,13.98[1.57824],14.0069[1.5608],13.9525[1.59537],62,0
Pref0,1[0],1[0],1[0],62,0
Signal0,1[0],1[0],1[0],62,0
Hybridindex,13.9902[1.59579],13.951[1.57514],14.0295[1.61517],63,0
Pref0,1[0],1[0],1[0],63,0
Signal0,1[0],1[0],1[0],63,0
Hybridindex,13.9985[1.64195],14.0172[1.65154],13.9791[1.63174],64,0
Pref0,1[0],1[0],1[0],64,0
Signal0,1[0],1[0],1[0],64,0
Hybridindex,13.9972[1.67119],13.9144[1.68237],14.0761[1.65664],65,0
Pref0,1[0],1[0],1[0],65,0
Signal0,1[0],1[0],1[0],65,0
Hybridindex,13.9697[1.6546],13.9058[1.61453],14.0348[1.69188],66,0
Pref0,1[0],1[0],1[0],66,0
Signal0,1[0],1[0],1[0],66,0
