X2,X3,X4,X5,Generation,Iter
Hybridindex,9.575[9.94331],9.58035[9.92953],9.56989[9.95644],1,0
Pref0,0.47875[0.497165],0.479017[0.496477],0.478495[0.497822],1,0
Signal0,0.47875[0.497165],0.479017[0.496477],0.478495[0.497822],1,0
Hybridindex,9.6615[9.89547],9.55232[9.88646],9.77356[9.90347],2,0
Pref0,0.483[0.495188],0.477295[0.494768],0.488855[0.49555],2,0
Signal0,0.483[0.495188],0.477295[0.494768],0.488855[0.49555],2,0
Hybridindex,9.564[9.86261],9.79839[9.87588],9.33333[9.8441],3,0
Pref0,0.4795[0.495055],0.489919[0.49534],0.469246[0.49456],3,0
Signal0,0.4795[0.495055],0.489919[0.49534],0.469246[0.49456],3,0
Hybridindex,9.386[9.84508],9.33112[9.82743],9.43842[9.86161],4,0
Pref0,0.46975[0.495187],0.466223[0.494996],0.473118[0.495346],4,0
Signal0,0.46975[0.495187],0.466223[0.494996],0.473118[0.495346],4,0
Hybridindex,9.41475[9.7708],9.60431[9.79734],9.21706[9.73912],5,0
Pref0,0.46925[0.494903],0.479922[0.495166],0.458121[0.494384],5,0
Signal0,0.46925[0.494903],0.479922[0.495166],0.458121[0.494384],5,0
Hybridindex,9.44625[9.7422],9.905[9.78049],8.9875[9.68205],6,0
Pref0,0.47225[0.494576],0.4945[0.497212],0.45[0.490918],6,0
Signal0,0.47225[0.494576],0.4945[0.497212],0.45[0.490918],6,0
Hybridindex,9.128[9.64398],9.28345[9.64225],8.97894[9.64328],7,0
Pref0,0.4545[0.491609],0.463739[0.493018],0.445642[0.490091],7,0
Signal0,0.4545[0.491609],0.463739[0.493018],0.445642[0.490091],7,0
Hybridindex,8.579[9.514],8.66766[9.53363],8.48837[9.49305],8,0
Pref0,0.4295[0.489162],0.434718[0.490454],0.424166[0.48778],8,0
Signal0,0.4295[0.489162],0.434718[0.490454],0.424166[0.48778],8,0
Hybridindex,8.62875[9.47786],8.50723[9.44509],8.75988[9.51135],9,0
Pref0,0.43025[0.490418],0.423892[0.48829],0.43711[0.492612],9,0
Signal0,0.43025[0.490418],0.423892[0.48829],0.43711[0.492612],9,0
Hybridindex,8.69475[9.44124],8.60211[9.43771],8.78628[9.44383],10,0
Pref0,0.43325[0.491345],0.429074[0.49163],0.437376[0.491028],10,0
Signal0,0.43325[0.491345],0.429074[0.49163],0.437376[0.491028],10,0
Hybridindex,8.9645[9.39274],9.00149[9.393],8.92677[9.39232],11,0
Pref0,0.448[0.491219],0.44802[0.489515],0.44798[0.492951],11,0
Signal0,0.448[0.491219],0.44802[0.489515],0.44798[0.492951],11,0
Hybridindex,8.87975[9.30779],9.03531[9.36539],8.73529[9.25163],12,0
Pref0,0.4445[0.490836],0.452752[0.491992],0.436837[0.489635],12,0
Signal0,0.4445[0.490836],0.452752[0.491992],0.436837[0.489635],12,0
Hybridindex,9.1545[9.30576],8.64648[9.28054],9.6875[9.30237],13,0
Pref0,0.45675[0.492447],0.432129[0.490668],0.482582[0.492988],13,0
Signal0,0.45675[0.492447],0.432129[0.490668],0.482582[0.492988],13,0
Hybridindex,9.252[9.21321],9.31613[9.23186],9.18566[9.1934],14,0
Pref0,0.46025[0.490963],0.466568[0.491684],0.453713[0.49013],14,0
Signal0,0.46025[0.490963],0.466568[0.491684],0.453713[0.49013],14,0
Hybridindex,8.7445[9.15875],8.68247[9.19887],8.80291[9.12042],15,0
Pref0,0.432[0.489771],0.429897[0.490879],0.433981[0.488718],15,0
Signal0,0.432[0.489771],0.429897[0.490879],0.433981[0.488718],15,0
Hybridindex,8.87125[9.05779],8.85736[9.04394],8.88492[9.07137],16,0
Pref0,0.4415[0.489211],0.441028[0.48961],0.441964[0.488818],16,0
Signal0,0.4415[0.489211],0.441028[0.48961],0.441964[0.488818],16,0
Hybridindex,8.90525[9.05084],8.87041[9.04304],8.93873[9.0582],17,0
Pref0,0.44325[0.490311],0.441837[0.488317],0.444608[0.492214],17,0
Signal0,0.44325[0.490311],0.441837[0.488317],0.444608[0.492214],17,0
Hybridindex,8.83425[8.95471],8.89432[9.01174],8.77147[8.8943],18,0
Pref0,0.44125[0.49033],0.444227[0.492429],0.438139[0.488107],18,0
Signal0,0.44125[0.49033],0.444227[0.492429],0.438139[0.488107],18,0
Hybridindex,8.6955[8.85795],8.37322[8.77943],9.00639[8.92202],19,0
Pref0,0.4355[0.488456],0.421589[0.48497],0.448919[0.491423],19,0
Signal0,0.4355[0.488456],0.421589[0.48497],0.448919[0.491423],19,0
Hybridindex,8.73575[8.76855],8.68209[8.79589],8.78877[8.74113],20,0
Pref0,0.43675[0.489004],0.434608[0.489065],0.438867[0.488934],20,0
Signal0,0.43675[0.489004],0.434608[0.489065],0.438867[0.488934],20,0
Hybridindex,9.09575[8.76812],9.09233[8.76241],9.09911[8.77373],21,0
Pref0,0.45575[0.492105],0.455096[0.492888],0.456392[0.491333],21,0
Signal0,0.45575[0.492105],0.455096[0.492888],0.456392[0.491333],21,0
Hybridindex,8.92225[8.76904],8.9712[8.80316],8.87261[8.73402],22,0
Pref0,0.44875[0.492187],0.450844[0.492563],0.446626[0.491797],22,0
Signal0,0.44875[0.492187],0.450844[0.492563],0.446626[0.491797],22,0
Hybridindex,8.72325[8.67713],8.93712[8.71324],8.51529[8.63679],23,0
Pref0,0.43775[0.489387],0.447769[0.491366],0.428008[0.487258],23,0
Signal0,0.43775[0.489387],0.447769[0.491366],0.428008[0.487258],23,0
Hybridindex,8.4375[8.61579],8.35316[8.62949],8.51381[8.60266],24,0
Pref0,0.422[0.487766],0.415789[0.486949],0.427619[0.488437],24,0
Signal0,0.422[0.487766],0.415789[0.486949],0.427619[0.488437],24,0
Hybridindex,8.59825[8.5572],8.6215[8.51528],8.575[8.59886],25,0
Pref0,0.43125[0.489284],0.4335[0.488188],0.429[0.490366],25,0
Signal0,0.43125[0.489284],0.4335[0.488188],0.429[0.490366],25,0
Hybridindex,8.54325[8.47325],8.26393[8.38893],8.83572[8.55088],26,0
Pref0,0.42725[0.489727],0.412023[0.486958],0.443193[0.492105],26,0
Signal0,0.42725[0.489727],0.412023[0.486958],0.443193[0.492105],26,0
Hybridindex,8.798[8.46718],8.70868[8.45692],8.87979[8.47575],27,0
Pref0,0.43975[0.491676],0.433054[0.490192],0.445881[0.492951],27,0
Signal0,0.43975[0.491676],0.433054[0.490192],0.445881[0.492951],27,0
Hybridindex,9.044[8.46422],9.14451[8.48448],8.94489[8.44303],28,0
Pref0,0.4575[0.493653],0.461732[0.494222],0.453327[0.493056],28,0
Signal0,0.4575[0.493653],0.461732[0.494222],0.453327[0.493056],28,0
Hybridindex,8.775[8.41666],8.59608[8.40536],8.96122[8.42436],29,0
Pref0,0.4425[0.492386],0.430882[0.490975],0.454592[0.49356],29,0
Signal0,0.4425[0.492386],0.430882[0.490975],0.454592[0.49356],29,0
Hybridindex,8.91725[8.41699],8.806[8.34682],9.0285[8.48513],30,0
Pref0,0.448[0.49249],0.4425[0.49086],0.4535[0.494052],30,0
Signal0,0.448[0.49249],0.4425[0.49086],0.4535[0.494052],30,0
Hybridindex,8.87425[8.39962],8.79321[8.38867],8.95546[8.40979],31,0
Pref0,0.44875[0.492695],0.446054[0.493299],0.451451[0.492075],31,0
Signal0,0.44875[0.492695],0.446054[0.493299],0.451451[0.492075],31,0
Hybridindex,8.475[8.31217],8.37279[8.26417],8.58096[8.36032],32,0
Pref0,0.428[0.489455],0.420923[0.488959],0.435336[0.48986],32,0
Signal0,0.428[0.489455],0.420923[0.488959],0.435336[0.48986],32,0
Hybridindex,8.2865[8.22575],8.04616[8.15869],8.54119[8.28862],33,0
Pref0,0.41825[0.487793],0.402818[0.486236],0.434604[0.488906],33,0
Signal0,0.41825[0.487793],0.402818[0.486236],0.434604[0.488906],33,0
Hybridindex,8.497[8.2073],8.40665[8.20176],8.58862[8.2119],34,0
Pref0,0.42825[0.486546],0.422046[0.487307],0.434542[0.485692],34,0
Signal0,0.42825[0.486546],0.422046[0.487307],0.434542[0.485692],34,0
Hybridindex,8.522[8.10269],8.53103[8.07017],8.51299[8.135],35,0
Pref0,0.42925[0.487719],0.429429[0.486839],0.429071[0.488595],35,0
Signal0,0.42925[0.487719],0.429429[0.486839],0.429071[0.488595],35,0
Hybridindex,8.576[8.0438],8.64045[8.09422],8.51011[7.99139],36,0
Pref0,0.43125[0.490814],0.431751[0.492064],0.430738[0.489532],36,0
Signal0,0.43125[0.490814],0.431751[0.492064],0.430738[0.489532],36,0
Hybridindex,8.4955[7.94876],8.71042[7.9841],8.28942[7.90924],37,0
Pref0,0.426[0.489156],0.442799[0.490769],0.409892[0.487061],37,0
Signal0,0.426[0.489156],0.442799[0.490769],0.409892[0.487061],37,0
Hybridindex,8.05625[7.81972],7.90039[7.73765],8.21653[7.90002],38,0
Pref0,0.3965[0.484291],0.392012[0.482868],0.401116[0.485707],38,0
Signal0,0.3965[0.484291],0.392012[0.482868],0.401116[0.485707],38,0
Hybridindex,8.196[7.78138],8.20816[7.80717],8.18487[7.75766],39,0
Pref0,0.40475[0.48508],0.405858[0.485164],0.403736[0.485001],39,0
Signal0,0.40475[0.48508],0.405858[0.485164],0.403736[0.485001],39,0
Hybridindex,8.153[7.73399],8.33538[7.70267],7.97951[7.75969],40,0
Pref0,0.40125[0.484637],0.412308[0.485431],0.390732[0.483647],40,0
Signal0,0.40125[0.484637],0.412308[0.485431],0.390732[0.483647],40,0
Hybridindex,8.107[7.714],8.38525[7.74329],7.8486[7.67768],41,0
Pref0,0.39675[0.484473],0.412253[0.486938],0.382353[0.481727],41,0
Signal0,0.39675[0.484473],0.412253[0.486938],0.382353[0.481727],41,0
Hybridindex,7.96075[7.59428],8.03017[7.59912],7.88979[7.58867],42,0
Pref0,0.38775[0.48117],0.391197[0.482156],0.384226[0.480135],42,0
Signal0,0.38775[0.48117],0.391197[0.482156],0.384226[0.480135],42,0
Hybridindex,7.604[7.44911],7.80305[7.50383],7.41084[7.39049],43,0
Pref0,0.36375[0.473087],0.37665[0.476624],0.351232[0.469289],43,0
Signal0,0.36375[0.473087],0.37665[0.476624],0.351232[0.469289],43,0
Hybridindex,7.548[7.36038],7.74083[7.39562],7.35166[7.31911],44,0
Pref0,0.35925[0.470972],0.371655[0.475494],0.34662[0.465983],44,0
Signal0,0.35925[0.470972],0.371655[0.475494],0.34662[0.465983],44,0
Hybridindex,7.2935[7.23242],7.37706[7.28788],7.21449[7.17868],45,0
Pref0,0.34425[0.469433],0.351852[0.472676],0.337062[0.466231],45,0
Signal0,0.34425[0.469433],0.351852[0.472676],0.337062[0.466231],45,0
Hybridindex,7.3725[7.24206],7.49147[7.28726],7.25448[7.19501],46,0
Pref0,0.35025[0.470053],0.361446[0.474108],0.339143[0.46573],46,0
Signal0,0.35025[0.470053],0.361446[0.474108],0.339143[0.46573],46,0
Hybridindex,7.33125[7.18146],7.17201[7.16165],7.5[7.19856],47,0
Pref0,0.34775[0.470579],0.339164[0.468784],0.356849[0.472304],47,0
Signal0,0.34775[0.470579],0.339164[0.468784],0.356849[0.472304],47,0
Hybridindex,7.44675[7.18918],7.48332[7.24628],7.41098[7.1327],48,0
Pref0,0.354[0.471629],0.357432[0.473673],0.350643[0.469597],48,0
Signal0,0.354[0.471629],0.357432[0.473673],0.350643[0.469597],48,0
Hybridindex,7.40625[7.15301],7.33751[7.12006],7.47458[7.18497],49,0
Pref0,0.34775[0.471641],0.345537[0.47104],0.34995[0.472227],49,0
Signal0,0.34775[0.471641],0.345537[0.47104],0.34995[0.472227],49,0
Hybridindex,7.16425[7.07207],7.21238[7.1017],7.11828[7.04334],50,0
Pref0,0.33275[0.465996],0.329069[0.465773],0.336266[0.466182],50,0
Signal0,0.33275[0.465996],0.329069[0.465773],0.336266[0.466182],50,0
Hybridindex,7.2535[7.05824],7.19355[7.03414],7.31627[7.08284],51,0
Pref0,0.33875[0.467572],0.334311[0.467063],0.343398[0.468058],51,0
Signal0,0.33875[0.467572],0.334311[0.467063],0.343398[0.468058],51,0
Hybridindex,7.3005[7.07011],7.05833[6.95164],7.52404[7.17048],52,0
Pref0,0.341[0.469009],0.319271[0.459725],0.361058[0.476539],52,0
Signal0,0.341[0.469009],0.319271[0.459725],0.361058[0.476539],52,0
Hybridindex,7.496[7.08927],7.56437[7.1303],7.43149[7.04973],53,0
Pref0,0.3545[0.473106],0.361483[0.474498],0.347911[0.471694],53,0
Signal0,0.3545[0.473106],0.361483[0.474498],0.347911[0.471694],53,0
Hybridindex,7.45975[7.03882],7.33198[6.99889],7.58301[7.07494],54,0
Pref0,0.3535[0.472533],0.348269[0.470507],0.358546[0.474425],54,0
Signal0,0.3535[0.472533],0.348269[0.470507],0.358546[0.474425],54,0
Hybridindex,7.59125[7.09627],7.62427[7.13716],7.55647[7.05278],55,0
Pref0,0.35775[0.475016],0.360624[0.477638],0.354723[0.472219],55,0
Signal0,0.35775[0.475016],0.360624[0.477638],0.354723[0.472219],55,0
Hybridindex,7.25325[6.99276],7.47087[7.06799],7.02216[6.90449],56,0
Pref0,0.3365[0.467191],0.351942[0.472723],0.320103[0.460679],56,0
Signal0,0.3365[0.467191],0.351942[0.472723],0.320103[0.460679],56,0
Hybridindex,6.891[6.85743],6.8181[6.82295],6.97158[6.89445],57,0
Pref0,0.31375[0.45846],0.310952[0.457971],0.316842[0.458981],57,0
