X2,X3,X4,X5,Generation,Iter
Hybridindex,10.397[9.9548],10.6582[9.94018],10.146[9.96237],1,0
Pref0,0.519851[0.49774],0.532911[0.497009],0.507299[0.498118],1,0
Signal0,0.519851[0.49774],0.532911[0.497009],0.507299[0.498118],1,0
Hybridindex,10.4245[9.91946],10.6769[9.91215],10.1699[9.92032],2,0
Pref0,0.52028[0.496781],0.533426[0.496783],0.507022[0.496427],2,0
Signal0,0.52028[0.496781],0.533426[0.496783],0.507022[0.496427],2,0
Hybridindex,9.91484[9.89739],9.65698[9.87527],10.1458[9.91148],3,0
Pref0,0.49359[0.496743],0.48062[0.49573],0.505208[0.497362],3,0
Signal0,0.49359[0.496743],0.48062[0.49573],0.505208[0.497362],3,0
Hybridindex,10.8903[9.85648],11.1645[9.8306],10.5854[9.87625],4,0
Pref0,0.542725[0.495848],0.559211[0.493158],0.52439[0.498182],4,0
Signal0,0.542725[0.495848],0.559211[0.493158],0.52439[0.498182],4,0
Hybridindex,9.98658[9.78544],9.47682[9.78652],10.5102[9.75664],5,0
Pref0,0.493289[0.496588],0.470199[0.495783],0.517007[0.496296],5,0
Signal0,0.493289[0.496588],0.470199[0.495783],0.517007[0.496296],5,0
Hybridindex,9.54094[9.75211],10[9.74285],9.01875[9.73635],6,0
Pref0,0.47076[0.497678],0.494505[0.49997],0.44375[0.493671],6,0
Signal0,0.47076[0.497678],0.494505[0.49997],0.44375[0.493671],6,0
Hybridindex,11.0182[9.53222],9.68519[9.38838],12.3036[9.49327],7,0
Pref0,0.545455[0.493344],0.481481[0.490304],0.607143[0.488386],7,0
Signal0,0.545455[0.493344],0.481481[0.490304],0.607143[0.488386],7,0
Hybridindex,12.8871[9.04577],13.25[8.79166],12.625[9.21606],8,0
Pref0,0.629032[0.483064],0.653846[0.475743],0.611111[0.487498],8,0
Signal0,0.629032[0.483064],0.653846[0.475743],0.611111[0.487498],8,0
Hybridindex,11.6744[9.18472],11.2619[9.10601],12.0682[9.24207],9,0
Pref0,0.55814[0.496608],0.52381[0.499433],0.590909[0.491666],9,0
Signal0,0.55814[0.496608],0.52381[0.499433],0.590909[0.491666],9,0
Hybridindex,10.3947[8.83113],14.2[8.23468],6.16667[7.43864],10,0
Pref0,0.473684[0.499307],0.7[0.458258],0.222222[0.41574],10,0
