X2,X3,X4,X5,Generation,Iter
Hybridindex,9.77[9.95224],9.52703[9.93552],10.0311[9.96358],1,0
Pref0,0.4885[0.497612],0.476351[0.496776],0.501556[0.498179],1,0
Signal0,0.4885[0.497612],0.476351[0.496776],0.501556[0.498179],1,0
Hybridindex,9.8845[9.88983],10.1107[9.89575],9.65697[9.87864],2,0
Pref0,0.494[0.495191],0.505484[0.495463],0.482447[0.494648],2,0
Signal0,0.494[0.495191],0.505484[0.495463],0.482447[0.494648],2,0
Hybridindex,9.6455[9.85522],9.79324[9.87098],9.5044[9.83807],3,0
Pref0,0.482[0.494142],0.489765[0.495008],0.474585[0.493198],3,0
Signal0,0.482[0.494142],0.489765[0.495008],0.474585[0.493198],3,0
Hybridindex,9.35275[9.79961],9.33982[9.79635],9.3651[9.80272],4,0
Pref0,0.466[0.494564],0.464176[0.493298],0.467742[0.495765],4,0
Signal0,0.466[0.494564],0.464176[0.493298],0.467742[0.495765],4,0
Hybridindex,9.1625[9.76154],9.20838[9.77485],9.11744[9.74823],5,0
Pref0,0.45775[0.493295],0.461655[0.493697],0.453915[0.49287],5,0
Signal0,0.45775[0.493295],0.461655[0.493697],0.453915[0.49287],5,0
Hybridindex,9.15425[9.73614],9.0401[9.7032],9.27071[9.76825],6,0
Pref0,0.45725[0.493758],0.44901[0.492643],0.465657[0.494753],6,0
Signal0,0.45725[0.493758],0.44901[0.492643],0.465657[0.494753],6,0
Hybridindex,9.269[9.70048],9.67641[9.7278],8.86806[9.65676],7,0
Pref0,0.46375[0.493519],0.482359[0.493855],0.445437[0.492502],7,0
Signal0,0.46375[0.493519],0.482359[0.493855],0.445437[0.492502],7,0
Hybridindex,8.67525[9.60382],8.97844[9.644],8.37388[9.55418],8,0
Pref0,0.43475[0.491037],0.448345[0.493783],0.421236[0.487917],8,0
Signal0,0.43475[0.491037],0.448345[0.493783],0.421236[0.487917],8,0
Hybridindex,8.4035[9.53432],8.42455[9.54595],8.3827[9.52277],9,0
Pref0,0.4205[0.488037],0.421529[0.487654],0.419483[0.488413],9,0
Signal0,0.4205[0.488037],0.421529[0.487654],0.419483[0.488413],9,0
Hybridindex,8.14425[9.44226],7.99699[9.41822],8.29092[9.46387],10,0
Pref0,0.406[0.486224],0.398798[0.483473],0.413174[0.488844],10,0
Signal0,0.406[0.486224],0.398798[0.483473],0.413174[0.488844],10,0
Hybridindex,8.03925[9.36068],7.99531[9.33245],8.07973[9.38643],11,0
Pref0,0.39825[0.484016],0.395725[0.482836],0.400576[0.48509],11,0
Signal0,0.39825[0.484016],0.395725[0.482836],0.400576[0.48509],11,0
Hybridindex,8.22175[9.35594],7.98255[9.33301],8.46239[9.3728],12,0
Pref0,0.40925[0.48697],0.39681[0.485143],0.421765[0.488481],12,0
Signal0,0.40925[0.48697],0.39681[0.485143],0.421765[0.488481],12,0
Hybridindex,8.879[9.4026],8.95531[9.4259],8.80161[9.37828],13,0
Pref0,0.441[0.491954],0.445879[0.492042],0.436052[0.491816],13,0
Signal0,0.441[0.491954],0.445879[0.492042],0.436052[0.491816],13,0
Hybridindex,8.70975[9.32275],8.90833[9.38319],8.50306[9.25489],14,0
Pref0,0.43275[0.491531],0.442647[0.492985],0.422449[0.4898],14,0
Signal0,0.43275[0.491531],0.442647[0.492985],0.422449[0.4898],14,0
Hybridindex,8.70325[9.29643],8.81636[9.28163],8.5963[9.30913],15,0
Pref0,0.4315[0.490976],0.436214[0.491225],0.427043[0.4907],15,0
Signal0,0.4315[0.490976],0.436214[0.491225],0.427043[0.4907],15,0
Hybridindex,8.70375[9.29022],8.25446[9.20406],9.16028[9.35487],16,0
Pref0,0.43325[0.491853],0.409226[0.487893],0.457661[0.494651],16,0
