X2,X3,X4,X5,Generation,Iter
Hybridindex,9.865[9.95147],10.0503[9.95959],9.68159[9.94002],1,0
Pref0,0.49325[0.497574],0.502513[0.49798],0.48408[0.497001],1,0
Signal0,0.49325[0.497574],0.502513[0.49798],0.48408[0.497001],1,0
Hybridindex,9.815[9.91901],9.69376[9.90467],9.93845[9.93207],2,0
Pref0,0.48975[0.496256],0.483647[0.49575],0.495964[0.496693],2,0
Signal0,0.48975[0.496256],0.483647[0.49575],0.495964[0.496693],2,0
Hybridindex,9.83[9.86265],10.1008[9.84366],9.56876[9.87389],3,0
Pref0,0.49[0.495126],0.505092[0.494856],0.475442[0.494951],3,0
Signal0,0.49[0.495126],0.505092[0.494856],0.475442[0.494951],3,0
Hybridindex,9.165[9.79037],9.35449[9.79805],8.96619[9.77835],4,0
Pref0,0.45925[0.492914],0.46875[0.4946],0.449283[0.490942],4,0
Signal0,0.45925[0.492914],0.46875[0.4946],0.449283[0.490942],4,0
Hybridindex,8.88075[9.65441],8.6504[9.66543],9.11295[9.63772],5,0
Pref0,0.445[0.489617],0.434761[0.489407],0.455321[0.489613],5,0
Signal0,0.445[0.489617],0.434761[0.489407],0.455321[0.489613],5,0
Hybridindex,8.81725[9.58518],8.41249[9.58288],9.23601[9.56956],6,0
Pref0,0.4395[0.489734],0.418879[0.488871],0.460834[0.489713],6,0
Signal0,0.4395[0.489734],0.418879[0.488871],0.460834[0.489713],6,0
Hybridindex,9.268[9.54007],9.52133[9.51995],9.03369[9.55267],7,0
Pref0,0.465[0.491452],0.478148[0.491384],0.452839[0.491202],7,0
Signal0,0.465[0.491452],0.478148[0.491384],0.452839[0.491202],7,0
Hybridindex,9.14375[9.44963],9.1535[9.49884],9.13374[9.39884],8,0
Pref0,0.46[0.490816],0.461994[0.493078],0.457953[0.488474],8,0
Signal0,0.46[0.490816],0.461994[0.493078],0.457953[0.488474],8,0
Hybridindex,9.016[9.34874],9.00151[9.34167],9.03038[9.35573],9,0
Pref0,0.4555[0.490428],0.459337[0.489963],0.451693[0.49086],9,0
Signal0,0.4555[0.490428],0.459337[0.489963],0.451693[0.49086],9,0
Hybridindex,9.13625[9.329],9.23486[9.29449],9.03625[9.36282],10,0
Pref0,0.458[0.493443],0.460775[0.494458],0.455186[0.492395],10,0
Signal0,0.458[0.493443],0.460775[0.494458],0.455186[0.492395],10,0
Hybridindex,9.069[9.28132],9.14709[9.23661],8.99153[9.32483],11,0
Pref0,0.456[0.492508],0.462851[0.490498],0.449203[0.4944],11,0
Signal0,0.456[0.492508],0.462851[0.490498],0.449203[0.4944],11,0
Hybridindex,8.826[9.2416],9.00437[9.27785],8.63697[9.19926],12,0
