X2,X3,X4,X5,Generation,Iter
Hybridindex,12.345[8.20067],12.408[8.1633],12.2814[8.23775],1,0
Pref0,0.61725[0.410033],0.620398[0.408165],0.61407[0.411887],1,0
Signal0,0.61725[0.410033],0.620398[0.408165],0.61407[0.411887],1,0
Hybridindex,15.0277[6.18929],14.9394[6.28779],15.1218[6.08133],2,0
Pref0,0.75675[0.333473],0.749758[0.3375],0.76419[0.328972],2,0
Signal0,0.75675[0.333473],0.749758[0.3375],0.76419[0.328972],2,0
Hybridindex,16.9258[3.80314],16.9695[3.73022],16.886[3.86776],3,0
Pref0,0.86925[0.240374],0.872899[0.240624],0.865935[0.240098],3,0
Signal0,0.86925[0.240374],0.872899[0.240624],0.865935[0.240098],3,0
Hybridindex,17.5385[2.49515],17.4287[2.59009],17.6553[2.38446],4,0
Pref0,0.9355[0.170557],0.931135[0.17648],0.940144[0.163893],4,0
Signal0,0.9355[0.170557],0.931135[0.17648],0.940144[0.163893],4,0
Hybridindex,17.741[1.91818],17.7259[1.91747],17.7554[1.91875],5,0
Pref0,0.97025[0.119331],0.973361[0.114553],0.967285[0.123641],5,0
Signal0,0.97025[0.119331],0.973361[0.114553],0.967285[0.123641],5,0
Hybridindex,17.8032[1.60955],17.8112[1.60451],17.796[1.61413],6,0
Pref0,0.9825[0.0918899],0.983264[0.0899338],0.981801[0.0936398],6,0
Signal0,0.9825[0.0918899],0.983264[0.0899338],0.981801[0.0936398],6,0
Hybridindex,17.8577[1.42658],17.831[1.46627],17.8845[1.38525],7,0
Pref0,0.991[0.0664756],0.991[0.0664756],0.991[0.0664756],7,0
Signal0,0.991[0.0664756],0.991[0.0664756],0.991[0.0664756],7,0
Hybridindex,17.8272[1.34426],17.8619[1.35749],17.7927[1.33003],8,0
Pref0,0.996[0.0445421],0.993994[0.0544695],0.998002[0.0315438],8,0
Signal0,0.996[0.0445421],0.993994[0.0544695],0.998002[0.0315438],8,0
Hybridindex,17.7937[1.32158],17.8186[1.27893],17.77[1.36057],9,0
Pref0,0.9985[0.027345],0.998975[0.0226107],0.998047[0.0311889],9,0
Signal0,0.9985[0.027345],0.998975[0.0226107],0.998047[0.0311889],9,0
Hybridindex,17.8325[1.28742],17.8042[1.31667],17.8603[1.2574],10,0
Pref0,0.9995[0.0158035],0.998991[0.0224393],1[0],10,0
Signal0,0.9995[0.0158035],0.998991[0.0224393],1[0],10,0
Hybridindex,17.777[1.32515],17.7555[1.33889],17.7989[1.31068],11,0
Pref0,1[0],1[0],1[0],11,0
Signal0,1[0],1[0],1[0],11,0
Hybridindex,17.7375[1.31808],17.7392[1.30522],17.7358[1.3307],12,0
Pref0,1[0],1[0],1[0],12,0
Signal0,1[0],1[0],1[0],12,0
Hybridindex,17.7065[1.28816],17.6645[1.3207],17.7483[1.25358],13,0
Pref0,1[0],1[0],1[0],13,0
