X2,X3,X4,X5,Generation,Iter
Hybridindex,12.08[8.371],11.9512[8.38926],12.2047[8.35138],1,0
Pref0,0.604[0.41855],0.597561[0.419463],0.610236[0.417569],1,0
Signal0,0.604[0.41855],0.597561[0.419463],0.610236[0.417569],1,0
Hybridindex,14.6792[6.40402],14.6306[6.32206],14.7246[6.47918],2,0
Pref0,0.73225[0.344869],0.73057[0.34136],0.733816[0.348102],2,0
Signal0,0.73225[0.344869],0.73057[0.34136],0.733816[0.348102],2,0
Hybridindex,16.5862[4.26535],16.6579[4.29747],16.5159[4.23238],3,0
Pref0,0.852[0.259511],0.85671[0.257389],0.847374[0.261496],3,0
Signal0,0.852[0.259511],0.85671[0.257389],0.847374[0.261496],3,0
Hybridindex,17.2737[2.85301],17.3177[2.79331],17.2316[2.90849],4,0
Pref0,0.9215[0.18395],0.924413[0.17911],0.918707[0.188433],4,0
Signal0,0.9215[0.18395],0.924413[0.17911],0.918707[0.188433],4,0
Hybridindex,17.5087[2.12686],17.5197[2.14479],17.4975[2.10818],5,0
Pref0,0.957[0.141071],0.95665[0.140697],0.95736[0.141454],5,0
Signal0,0.957[0.141071],0.95665[0.140697],0.95736[0.141454],5,0
Hybridindex,17.54[1.77613],17.5461[1.79531],17.5334[1.75506],6,0
Pref0,0.97475[0.109487],0.977426[0.103815],0.971846[0.115258],6,0
Signal0,0.97475[0.109487],0.977426[0.103815],0.971846[0.115258],6,0
Hybridindex,17.573[1.60575],17.5424[1.59134],17.6038[1.61953],7,0
Pref0,0.9835[0.0893183],0.983549[0.0891891],0.98345[0.0894479],7,0
Signal0,0.9835[0.0893183],0.983549[0.0891891],0.98345[0.0894479],7,0
Hybridindex,17.6038[1.45889],17.6268[1.42264],17.5815[1.49269],8,0
Pref0,0.9895[0.071692],0.98778[0.0772053],0.991159[0.0658959],8,0
Signal0,0.9895[0.071692],0.98778[0.0772053],0.991159[0.0658959],8,0
Hybridindex,17.5635[1.39274],17.5433[1.39848],17.5843[1.38649],9,0
Pref0,0.9925[0.0607762],0.993103[0.0583156],0.991878[0.0632056],9,0
Signal0,0.9925[0.0607762],0.993103[0.0583156],0.991878[0.0632056],9,0
Hybridindex,17.5285[1.36855],17.5651[1.35515],17.492[1.38081],10,0
Pref0,0.99675[0.0401801],0.997495[0.035302],0.996008[0.044498],10,0
Signal0,0.99675[0.0401801],0.997495[0.035302],0.996008[0.044498],10,0
Hybridindex,17.6065[1.33778],17.5695[1.35505],17.6419[1.32007],11,0
Pref0,0.9985[0.027345],0.998978[0.0225877],0.998043[0.0312193],11,0
Signal0,0.9985[0.027345],0.998978[0.0225877],0.998043[0.0312193],11,0
Hybridindex,17.6105[1.33437],17.5817[1.3366],17.6378[1.33168],12,0
Pref0,0.9985[0.027345],0.998972[0.0226455],0.998053[0.0311435],12,0
Signal0,0.9985[0.027345],0.998972[0.0226455],0.998053[0.0311435],12,0
Hybridindex,17.588[1.32835],17.6715[1.31445],17.503[1.337],13,0
Pref0,0.99875[0.0249687],0.998513[0.0272232],0.998991[0.0224393],13,0
Signal0,0.99875[0.0249687],0.998513[0.0272232],0.998991[0.0224393],13,0
Hybridindex,17.573[1.33526],17.5725[1.34188],17.5736[1.32802],14,0
Pref0,0.99975[0.0111775],0.99952[0.015482],1[0],14,0
Signal0,0.99975[0.0111775],0.99952[0.015482],1[0],14,0
Hybridindex,17.5203[1.3349],17.5474[1.32703],17.4941[1.34192],15,0
Pref0,1[0],1[0],1[0],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,17.4975[1.31842],17.4925[1.30629],17.5025[1.3304],16,0
Pref0,1[0],1[0],1[0],16,0
Signal0,1[0],1[0],1[0],16,0
Hybridindex,17.4367[1.30829],17.4213[1.29545],17.4527[1.32126],17,0
Pref0,1[0],1[0],1[0],17,0
Signal0,1[0],1[0],1[0],17,0
Hybridindex,17.5055[1.26954],17.5036[1.29269],17.5073[1.24751],18,0
Pref0,1[0],1[0],1[0],18,0
Signal0,1[0],1[0],1[0],18,0
Hybridindex,17.5192[1.27407],17.4975[1.27982],17.5404[1.26811],19,0
Pref0,1[0],1[0],1[0],19,0
Signal0,1[0],1[0],1[0],19,0
Hybridindex,17.502[1.27426],17.4741[1.27866],17.5312[1.26899],20,0
Pref0,1[0],1[0],1[0],20,0
Signal0,1[0],1[0],1[0],20,0
Hybridindex,17.5197[1.2887],17.5372[1.2616],17.5029[1.31403],21,0
