X2,X3,X4,X5,Generation,Iter
Hybridindex,10.025[9.94733],10.1985[9.94563],9.86577[9.94622],1,0
Pref0,0.50125[0.497367],0.509927[0.497282],0.493289[0.497311],1,0
Signal0,0.50125[0.497367],0.509927[0.497282],0.493289[0.497311],1,0
Hybridindex,9.8085[9.90172],9.68924[9.88545],9.92871[9.91664],2,0
Pref0,0.49075[0.495519],0.48506[0.494769],0.496486[0.496208],2,0
Signal0,0.49075[0.495519],0.48506[0.494769],0.496486[0.496208],2,0
Hybridindex,9.659[9.88623],9.56497[9.90142],9.74615[9.87132],3,0
Pref0,0.483[0.49544],0.47817[0.496392],0.487476[0.494514],3,0
Signal0,0.483[0.49544],0.47817[0.496392],0.487476[0.494514],3,0
Hybridindex,9.63125[9.85131],9.73003[9.84477],9.53462[9.85675],4,0
Pref0,0.47975[0.495192],0.483822[0.49542],0.475767[0.494936],4,0
Signal0,0.47975[0.495192],0.483822[0.49542],0.475767[0.494936],4,0
Hybridindex,9.1485[9.78591],8.92741[9.77015],9.36305[9.7964],5,0
Pref0,0.4545[0.493133],0.443655[0.49168],0.465025[0.494311],5,0
Signal0,0.4545[0.493133],0.443655[0.49168],0.465025[0.494311],5,0
Hybridindex,9.2055[9.77896],9.32888[9.79561],9.08861[9.76171],6,0
Pref0,0.456[0.493775],0.462487[0.494451],0.449854[0.493055],6,0
Signal0,0.456[0.493775],0.462487[0.494451],0.449854[0.493055],6,0
Hybridindex,8.5635[9.68459],8.53159[9.68492],8.59521[9.68415],7,0
Pref0,0.4215[0.490497],0.420762[0.489857],0.422233[0.491132],7,0
Signal0,0.4215[0.490497],0.420762[0.489857],0.422233[0.491132],7,0
Hybridindex,8.6625[9.71044],8.95779[9.7205],8.37015[9.6916],8,0
Pref0,0.42625[0.49187],0.440704[0.493171],0.41194[0.490159],8,0
Signal0,0.42625[0.49187],0.440704[0.493171],0.41194[0.490159],8,0
Hybridindex,8.50825[9.64221],7.69764[9.48135],9.3469[9.73508],9,0
Pref0,0.41675[0.489586],0.376106[0.481097],0.4588[0.494714],9,0
Signal0,0.41675[0.489586],0.376106[0.481097],0.4588[0.494714],9,0
Hybridindex,9.13125[9.66762],9.23127[9.67608],9.03103[9.6581],10,0
Pref0,0.44625[0.492936],0.452048[0.492905],0.44044[0.492899],10,0
Signal0,0.44625[0.492936],0.452048[0.492905],0.44044[0.492899],10,0
Hybridindex,9.05775[9.6176],8.52567[9.54931],9.60385[9.65675],11,0
Pref0,0.441[0.491954],0.415597[0.487791],0.467072[0.494836],11,0
Signal0,0.441[0.491954],0.415597[0.487791],0.467072[0.494836],11,0
Hybridindex,9.4375[9.65029],9.42239[9.65409],9.45276[9.64643],12,0
Pref0,0.45875[0.495402],0.459204[0.495078],0.458291[0.49573],12,0
Signal0,0.45875[0.495402],0.459204[0.495078],0.458291[0.49573],12,0
Hybridindex,9.78175[9.62769],9.91493[9.63537],9.64724[9.61807],13,0
Pref0,0.475[0.49611],0.480597[0.497128],0.469347[0.495015],13,0
Signal0,0.475[0.49611],0.480597[0.497128],0.469347[0.495015],13,0
Hybridindex,9.87225[9.59615],9.6543[9.57817],10.095[9.60939],14,0
Pref0,0.4795[0.495055],0.467854[0.494485],0.491405[0.495355],14,0
Signal0,0.4795[0.495055],0.467854[0.494485],0.491405[0.495355],14,0
Hybridindex,9.94075[9.58502],10.2274[9.59703],9.67454[9.56616],15,0
Pref0,0.48225[0.495035],0.498442[0.494778],0.467213[0.4948],15,0
Signal0,0.48225[0.495035],0.498442[0.494778],0.467213[0.4948],15,0
Hybridindex,9.921[9.55631],9.73755[9.58802],10.0917[9.52353],16,0
Pref0,0.4785[0.495518],0.46888[0.496425],0.487452[0.494503],16,0
Signal0,0.4785[0.495518],0.46888[0.496425],0.487452[0.494503],16,0
Hybridindex,9.90225[9.49469],9.79929[9.46722],10.002[9.52016],17,0
Pref0,0.4765[0.494164],0.470528[0.4935],0.482283[0.494737],17,0
Signal0,0.4765[0.494164],0.470528[0.4935],0.482283[0.494737],17,0
Hybridindex,9.86675[9.46973],10.0631[9.43338],9.68031[9.50037],18,0
Pref0,0.47225[0.494828],0.478953[0.495688],0.465887[0.493926],18,0
Signal0,0.47225[0.494828],0.478953[0.495688],0.465887[0.493926],18,0
Hybridindex,9.7585[9.45312],9.76[9.45287],9.75707[9.45335],19,0
Pref0,0.46525[0.494891],0.465128[0.494912],0.465366[0.494872],19,0
Signal0,0.46525[0.494891],0.465128[0.494912],0.465366[0.494872],19,0
Hybridindex,9.26625[9.39965],9.625[9.45945],8.90462[9.32503],20,0
Pref0,0.44025[0.491991],0.458665[0.49503],0.421687[0.488206],20,0
Signal0,0.44025[0.491991],0.458665[0.49503],0.421687[0.488206],20,0
Hybridindex,8.674[9.26512],8.6[9.24987],8.75102[9.28034],21,0
Pref0,0.4075[0.486255],0.401471[0.486431],0.413776[0.485992],21,0
Signal0,0.4075[0.486255],0.401471[0.486431],0.413776[0.485992],21,0
Hybridindex,8.6365[9.20228],8.86595[9.22666],8.39673[9.17059],22,0
Pref0,0.402[0.485691],0.40998[0.488836],0.393661[0.482242],22,0
Signal0,0.402[0.485691],0.40998[0.488836],0.393661[0.482242],22,0
Hybridindex,8.47225[9.13975],8.34347[9.11591],8.60601[9.16254],23,0
Pref0,0.3935[0.482605],0.386654[0.48141],0.400612[0.483741],23,0
Signal0,0.3935[0.482605],0.386654[0.48141],0.400612[0.483741],23,0
Hybridindex,8.2935[9.07521],8.48259[9.12718],8.10251[9.01838],24,0
Pref0,0.38225[0.480375],0.393532[0.482126],0.370854[0.478329],24,0
Signal0,0.38225[0.480375],0.393532[0.482126],0.370854[0.478329],24,0
Hybridindex,7.97[8.97937],8.05865[9.00455],7.88328[8.95382],25,0
Pref0,0.364[0.475924],0.36906[0.477283],0.35905[0.474539],25,0
Signal0,0.364[0.475924],0.36906[0.477283],0.35905[0.474539],25,0
Hybridindex,8.073[8.91249],7.87157[8.84622],8.28265[8.97614],26,0
Pref0,0.36575[0.475502],0.354412[0.472405],0.377551[0.478418],26,0
Signal0,0.36575[0.475502],0.354412[0.472405],0.377551[0.478418],26,0
Hybridindex,7.8565[8.81561],8.03582[8.84928],7.68038[8.77884],27,0
Pref0,0.35425[0.471574],0.363774[0.47342],0.344896[0.469566],27,0
Signal0,0.35425[0.471574],0.363774[0.47342],0.344896[0.469566],27,0
Hybridindex,7.4535[8.65889],7.61489[8.74732],7.28753[8.56382],28,0
Pref0,0.33175[0.465636],0.33925[0.468745],0.324037[0.46229],28,0
Signal0,0.33175[0.465636],0.33925[0.468745],0.324037[0.46229],28,0
Hybridindex,7.2145[8.54675],7.19578[8.5004],7.23307[8.59245],29,0
Pref0,0.3165[0.459976],0.313253[0.458373],0.319721[0.461538],29,0
Signal0,0.3165[0.459976],0.313253[0.458373],0.319721[0.461538],29,0
Hybridindex,7.419[8.57201],7.18939[8.50774],7.66136[8.63272],30,0
Pref0,0.32475[0.462777],0.314021[0.458585],0.336074[0.466893],30,0
Signal0,0.32475[0.462777],0.314021[0.458585],0.336074[0.466893],30,0
Hybridindex,7.46575[8.50166],7.77184[8.6028],7.14072[8.3807],31,0
Pref0,0.32525[0.461885],0.341748[0.467595],0.307732[0.455088],31,0
Signal0,0.32525[0.461885],0.341748[0.467595],0.307732[0.455088],31,0
Hybridindex,7.35475[8.45182],7.44342[8.48082],7.27091[8.42345],32,0
Pref0,0.318[0.460028],0.322016[0.462269],0.314202[0.457868],32,0
Signal0,0.318[0.460028],0.322016[0.462269],0.314202[0.457868],32,0
Hybridindex,7.26075[8.38414],6.97973[8.26735],7.52119[8.48264],33,0
Pref0,0.31125[0.457163],0.296778[0.450825],0.324663[0.462556],33,0
Signal0,0.31125[0.457163],0.296778[0.450825],0.324663[0.462556],33,0
Hybridindex,7.63075[8.46744],7.73702[8.51602],7.51992[8.41504],34,0
Pref0,0.32525[0.464314],0.331048[0.466409],0.319203[0.462041],34,0
Signal0,0.32525[0.464314],0.331048[0.466409],0.319203[0.462041],34,0
Hybridindex,7.4325[8.34916],7.06145[8.18521],7.81029[8.49621],35,0
Pref0,0.3135[0.458768],0.29336[0.449276],0.334006[0.467343],35,0
Signal0,0.3135[0.458768],0.29336[0.449276],0.334006[0.467343],35,0
Hybridindex,7.84625[8.50115],7.93611[8.52389],7.75888[8.47806],36,0
Pref0,0.33475[0.467512],0.339757[0.468243],0.329882[0.466749],36,0
Signal0,0.33475[0.467512],0.339757[0.468243],0.329882[0.466749],36,0
Hybridindex,7.71625[8.42035],7.64308[8.39447],7.78684[8.44465],37,0
Pref0,0.32575[0.464502],0.321792[0.463333],0.329568[0.465594],37,0
Signal0,0.32575[0.464502],0.321792[0.463333],0.329568[0.465594],37,0
Hybridindex,7.758[8.35746],7.72787[8.37611],7.78712[8.3393],38,0
Pref0,0.3255[0.462655],0.326551[0.462948],0.324484[0.46237],38,0
Signal0,0.3255[0.462655],0.326551[0.462948],0.324484[0.46237],38,0
Hybridindex,7.446[8.20704],7.40107[8.18108],7.49333[8.23404],39,0
Pref0,0.305[0.454945],0.302144[0.453313],0.308008[0.456639],39,0
Signal0,0.305[0.454945],0.302144[0.453313],0.308008[0.456639],39,0
Hybridindex,7.2205[8.08145],7.14313[8.09475],7.30331[8.06637],40,0
Pref0,0.292[0.449429],0.289652[0.449047],0.294513[0.449823],40,0
Signal0,0.292[0.449429],0.289652[0.449047],0.294513[0.449823],40,0
Hybridindex,7.08425[7.91464],6.89329[7.82882],7.27445[7.99467],41,0
Pref0,0.28075[0.44278],0.270541[0.43742],0.290918[0.447824],41,0
Signal0,0.28075[0.44278],0.270541[0.43742],0.290918[0.447824],41,0
Hybridindex,6.8815[7.77915],6.63153[7.68663],7.14907[7.86819],42,0
Pref0,0.26675[0.436714],0.255319[0.43046],0.278986[0.442985],42,0
Signal0,0.26675[0.436714],0.255319[0.43046],0.278986[0.442985],42,0
Hybridindex,7.3505[7.99734],7.61388[8.07576],7.07472[7.90498],43,0
Pref0,0.292[0.449984],0.304985[0.455599],0.278403[0.443622],43,0
Signal0,0.292[0.449984],0.304985[0.455599],0.278403[0.443622],43,0
Hybridindex,7.06325[7.84799],6.87338[7.71294],7.25426[7.97698],44,0
Pref0,0.27475[0.441744],0.261715[0.434722],0.287864[0.448315],44,0
Signal0,0.27475[0.441744],0.261715[0.434722],0.287864[0.448315],44,0
Hybridindex,7.24675[7.87452],7.11002[7.77482],7.375[7.96476],45,0
Pref0,0.28375[0.445097],0.27531[0.439383],0.291667[0.450246],45,0
Signal0,0.28375[0.445097],0.27531[0.439383],0.291667[0.450246],45,0
Hybridindex,7.29425[7.89196],7.33836[7.91126],7.25337[7.87382],46,0
Pref0,0.28475[0.446142],0.286383[0.448318],0.283237[0.44411],46,0
Signal0,0.28475[0.446142],0.286383[0.448318],0.283237[0.44411],46,0
Hybridindex,6.88075[7.61375],6.82008[7.60787],6.93916[7.61894],47,0
Pref0,0.25925[0.431757],0.2579[0.430432],0.26055[0.433026],47,0
Signal0,0.25925[0.431757],0.2579[0.430432],0.26055[0.433026],47,0
Hybridindex,6.631[7.49612],6.78535[7.58278],6.4797[7.40707],48,0
Pref0,0.2455[0.424829],0.255556[0.429169],0.235644[0.420298],48,0
Signal0,0.2455[0.424829],0.255556[0.429169],0.235644[0.420298],48,0
Hybridindex,6.4505[7.34207],6.81231[7.54092],6.08359[7.116],49,0
Pref0,0.232[0.417044],0.252234[0.429119],0.21148[0.403396],49,0
Signal0,0.232[0.417044],0.252234[0.429119],0.21148[0.403396],49,0
Hybridindex,6.29475[7.16394],6.12819[7.06742],6.46741[7.2586],50,0
Pref0,0.22075[0.408221],0.211198[0.402097],0.230652[0.414242],50,0
Signal0,0.22075[0.408221],0.211198[0.402097],0.230652[0.414242],50,0
Hybridindex,6.574[7.28264],6.74406[7.40298],6.40051[7.15361],51,0
Pref0,0.23575[0.415689],0.246535[0.422291],0.224747[0.40855],51,0
Signal0,0.23575[0.415689],0.246535[0.422291],0.224747[0.40855],51,0
Hybridindex,6.23525[7.11456],6.18884[7.06067],6.27957[7.16538],52,0
Pref0,0.21575[0.405373],0.212385[0.402373],0.218964[0.408191],52,0
Signal0,0.21575[0.405373],0.212385[0.402373],0.218964[0.408191],52,0
Hybridindex,6.099[6.93053],6.33837[7.13281],5.86296[6.71675],53,0
Pref0,0.204[0.396401],0.22004[0.408459],0.188183[0.383484],53,0
Signal0,0.204[0.396401],0.22004[0.408459],0.188183[0.383484],53,0
Hybridindex,5.992[6.78306],6.00736[6.75124],5.97604[6.81593],54,0
Pref0,0.194[0.389376],0.192836[0.387941],0.195209[0.390858],54,0
Signal0,0.194[0.389376],0.192836[0.387941],0.195209[0.390858],54,0
Hybridindex,5.8805[6.64545],6.01569[6.70866],5.7398[6.57606],55,0
Pref0,0.18425[0.382004],0.190686[0.386236],0.177551[0.377432],55,0
Signal0,0.18425[0.382004],0.190686[0.386236],0.177551[0.377432],55,0
Hybridindex,5.67375[6.46457],6.10091[6.7795],5.25421[6.11056],56,0
Pref0,0.17075[0.371106],0.196771[0.391161],0.145193[0.348406],56,0
Signal0,0.17075[0.371106],0.196771[0.391161],0.145193[0.348406],56,0
Hybridindex,4.95675[5.78742],4.94132[5.77962],4.97208[5.79512],57,0
Pref0,0.12825[0.330419],0.127884[0.329805],0.128614[0.331029],57,0
Signal0,0.12825[0.330419],0.127884[0.329805],0.128614[0.331029],57,0
Hybridindex,4.8095[5.59135],4.84798[5.67017],4.77178[5.51273],58,0
Pref0,0.12175[0.319456],0.126263[0.323674],0.117327[0.315204],58,0
Signal0,0.12175[0.319456],0.126263[0.323674],0.117327[0.315204],58,0
Hybridindex,4.60675[5.27664],4.5305[5.14527],4.683[5.40375],59,0
Pref0,0.10625[0.301804],0.101[0.294617],0.1115[0.308736],59,0
Signal0,0.10625[0.301804],0.101[0.294617],0.1115[0.308736],59,0
Hybridindex,4.531[5.21683],4.52454[5.2081],4.53798[5.22624],60,0
Pref0,0.1035[0.297973],0.104427[0.297438],0.102497[0.298547],60,0
Signal0,0.1035[0.297973],0.104427[0.297438],0.102497[0.298547],60,0
Hybridindex,4.401[5.11414],4.29938[4.99757],4.49708[5.22015],61,0
Pref0,0.096[0.289886],0.090535[0.282429],0.101167[0.296672],61,0
Signal0,0.096[0.289886],0.090535[0.282429],0.101167[0.296672],61,0
Hybridindex,4.53475[5.30596],4.47056[5.3055],4.60143[5.30561],62,0
Pref0,0.10625[0.30139],0.106477[0.300796],0.106014[0.302006],62,0
Signal0,0.10625[0.30139],0.106477[0.300796],0.106014[0.302006],62,0
Hybridindex,4.442[5.15423],4.5816[5.30106],4.31262[5.01086],63,0
Pref0,0.09825[0.291928],0.10343[0.300655],0.0934489[0.283515],63,0
Signal0,0.09825[0.291928],0.10343[0.300655],0.0934489[0.283515],63,0
Hybridindex,4.17525[4.69467],4.17365[4.76999],4.17685[4.61781],64,0
Pref0,0.07925[0.264281],0.0823353[0.26891],0.0761523[0.259513],64,0
Signal0,0.07925[0.264281],0.0823353[0.26891],0.0761523[0.259513],64,0
Hybridindex,3.913[4.24932],3.96311[4.27981],3.86523[4.21949],65,0
Pref0,0.064[0.238546],0.0655738[0.242306],0.0625[0.234895],65,0
Signal0,0.064[0.238546],0.0655738[0.242306],0.0625[0.234895],65,0
Hybridindex,3.979[4.22928],3.93109[4.172],4.02917[4.28787],66,0
Pref0,0.064[0.238021],0.0625611[0.235002],0.0655067[0.241133],66,0
Signal0,0.064[0.238021],0.0625611[0.235002],0.0655067[0.241133],66,0
Hybridindex,3.70075[3.63574],3.70867[3.62658],3.69314[3.64449],67,0
Pref0,0.0465[0.200219],0.0464286[0.19984],0.0465686[0.200582],67,0
Signal0,0.0465[0.200219],0.0464286[0.19984],0.0465686[0.200582],67,0
Hybridindex,3.49075[3.15793],3.334[2.97172],3.64563[3.32447],68,0
Pref0,0.0335[0.169935],0.0291751[0.157489],0.0377734[0.181294],68,0
Signal0,0.0335[0.169935],0.0291751[0.157489],0.0377734[0.181294],68,0
Hybridindex,3.37775[2.72469],3.30411[2.47065],3.45455[2.96459],69,0
Pref0,0.02475[0.142346],0.0166503[0.120059],0.0331971[0.161931],69,0
Signal0,0.02475[0.142346],0.0166503[0.120059],0.0331971[0.161931],69,0
Hybridindex,3.34275[2.32785],3.31804[2.28645],3.36551[2.36513],70,0
Pref0,0.022[0.123556],0.0203337[0.120191],0.0235351[0.126557],70,0
Signal0,0.022[0.123556],0.0203337[0.120191],0.0235351[0.126557],70,0
Hybridindex,3.195[1.57448],3.19089[1.62335],3.19892[1.52633],71,0
Pref0,0.0075[0.0647592],0.0102354[0.0743284],0.00488759[0.053932],71,0
Signal0,0.0075[0.0647592],0.0102354[0.0743284],0.00488759[0.053932],71,0
Hybridindex,3.17925[1.4217],3.17166[1.40819],3.18687[1.4351],72,0
Pref0,0.003[0.0386135],0.00249501[0.0352318],0.00350701[0.0417278],72,0
Signal0,0.003[0.0386135],0.00249501[0.0352318],0.00350701[0.0417278],72,0
Hybridindex,3.1275[1.39221],3.06317[1.35051],3.19459[1.43133],73,0
Pref0,0.00175[0.0295286],0.0029383[0.0382167],0.000510725[0.0159719],73,0
Signal0,0.00175[0.0295286],0.0029383[0.0382167],0.000510725[0.0159719],73,0
Hybridindex,3.14[1.38136],3.13048[1.35972],3.14875[1.4009],74,0
Pref0,0[0],0[0],0[0],74,0
Signal0,0[0],0[0],0[0],74,0
Hybridindex,3.104[1.38679],3.08276[1.37586],3.12615[1.39775],75,0
Pref0,0[0],0[0],0[0],75,0
Signal0,0[0],0[0],0[0],75,0
Hybridindex,3.0695[1.33048],3.04513[1.32046],3.09268[1.33953],76,0
Pref0,0[0],0[0],0[0],76,0
Signal0,0[0],0[0],0[0],76,0
Hybridindex,3.06425[1.30872],3.07473[1.27406],3.05341[1.34355],77,0
Pref0,0[0],0[0],0[0],77,0
Signal0,0[0],0[0],0[0],77,0
Hybridindex,3.1085[1.32947],3.10451[1.34337],3.1123[1.31606],78,0
Pref0,0[0],0[0],0[0],78,0
Signal0,0[0],0[0],0[0],78,0
Hybridindex,3.119[1.32225],3.11516[1.3545],3.12297[1.28809],79,0
Pref0,0[0],0[0],0[0],79,0
Signal0,0[0],0[0],0[0],79,0
Hybridindex,3.12975[1.31388],3.11184[1.25289],3.14723[1.37059],80,0
Pref0,0[0],0[0],0[0],80,0
Signal0,0[0],0[0],0[0],80,0
Hybridindex,3.08675[1.32866],3.10324[1.36225],3.07065[1.29483],81,0
Pref0,0[0],0[0],0[0],81,0
Signal0,0[0],0[0],0[0],81,0
Hybridindex,3.06975[1.31082],3.0801[1.31175],3.0593[1.3098],82,0
Pref0,0[0],0[0],0[0],82,0
Signal0,0[0],0[0],0[0],82,0
Hybridindex,3.1265[1.28715],3.09637[1.32718],3.1561[1.24587],83,0
