X2,X3,X4,X5,Generation,Iter
Hybridindex,10.505[9.93957],10.6162[9.90481],10.396[9.97232],1,0
Pref0,0.52525[0.496978],0.530808[0.49524],0.519802[0.498616],1,0
Signal0,0.52525[0.496978],0.530808[0.49524],0.519802[0.498616],1,0
Hybridindex,10.2332[9.90572],10.454[9.90303],10.0081[9.90339],2,0
Pref0,0.5115[0.495598],0.522277[0.495773],0.500505[0.495179],2,0
Signal0,0.5115[0.495598],0.522277[0.495773],0.500505[0.495179],2,0
Hybridindex,9.66625[9.86837],9.61858[9.87622],9.71508[9.86008],3,0
Pref0,0.4815[0.495134],0.480237[0.495139],0.482794[0.495126],3,0
Signal0,0.4815[0.495134],0.480237[0.495139],0.482794[0.495126],3,0
Hybridindex,10.319[9.83196],9.94715[9.83586],10.6791[9.81477],4,0
Pref0,0.513[0.495309],0.494919[0.49538],0.530512[0.494611],4,0
Signal0,0.513[0.495309],0.494919[0.49538],0.530512[0.494611],4,0
Hybridindex,10.0635[9.79552],10.3254[9.80921],9.79738[9.77441],5,0
Pref0,0.501[0.494216],0.512401[0.49511],0.489415[0.493035],5,0
Signal0,0.501[0.494216],0.512401[0.49511],0.489415[0.493035],5,0
Hybridindex,9.8155[9.7659],9.87298[9.75354],9.75893[9.77771],6,0
Pref0,0.488[0.493818],0.491935[0.492827],0.484127[0.49476],6,0
Signal0,0.488[0.493818],0.491935[0.492827],0.484127[0.49476],6,0
Hybridindex,9.88675[9.76399],9.84974[9.76646],9.92195[9.76151],7,0
Pref0,0.48875[0.495478],0.486154[0.496204],0.49122[0.494774],7,0
Signal0,0.48875[0.495478],0.486154[0.496204],0.49122[0.494774],7,0
Hybridindex,9.78875[9.74504],9.842[9.78389],9.73129[9.70261],8,0
Pref0,0.4815[0.495891],0.484586[0.496862],0.47817[0.494819],8,0
Signal0,0.4815[0.495891],0.484586[0.496862],0.47817[0.494819],8,0
Hybridindex,9.777[9.72073],9.81011[9.71255],9.74261[9.72909],9,0
Pref0,0.48075[0.495484],0.481845[0.495232],0.479613[0.495744],9,0
Signal0,0.48075[0.495484],0.481845[0.495232],0.479613[0.495744],9,0
Hybridindex,9.87575[9.71398],9.75345[9.68988],10.0015[9.7371],10,0
Pref0,0.4835[0.496717],0.477318[0.496018],0.489858[0.497355],10,0
Signal0,0.4835[0.496717],0.477318[0.496018],0.489858[0.497355],10,0
Hybridindex,9.78675[9.66131],9.96577[9.64889],9.62017[9.66988],11,0
Pref0,0.47725[0.495083],0.485477[0.495621],0.469595[0.49446],11,0
Signal0,0.47725[0.495083],0.485477[0.495621],0.469595[0.49446],11,0
Hybridindex,9.63925[9.57655],9.84156[9.57896],9.43161[9.56962],12,0
Pref0,0.46825[0.492308],0.478282[0.492312],0.457953[0.49209],12,0
Signal0,0.46825[0.492308],0.478282[0.492312],0.457953[0.49209],12,0
Hybridindex,9.635[9.56939],9.93573[9.59964],9.3414[9.53062],13,0
