X2,X3,X4,X5,Generation,Iter
Hybridindex,9.93865[9.93827],10.2273[9.93407],9.66587[9.93454],1,0
Pref0,0.496933[0.496914],0.511364[0.496703],0.483294[0.496727],1,0
Signal0,0.496933[0.496914],0.511364[0.496703],0.483294[0.496727],1,0
Hybridindex,9.96606[9.92785],9.7775[9.89074],10.1721[9.96416],2,0
Pref0,0.497389[0.497375],0.4875[0.496078],0.508197[0.498565],2,0
Signal0,0.497389[0.497375],0.4875[0.496078],0.508197[0.498565],2,0
Hybridindex,10.6355[9.92285],10.7705[9.91139],10.5071[9.93204],3,0
Pref0,0.531818[0.496704],0.537313[0.496731],0.526596[0.496622],3,0
Signal0,0.531818[0.496704],0.537313[0.496731],0.526596[0.496622],3,0
Hybridindex,11.8098[9.73786],11.154[9.84284],12.4623[9.58786],4,0
Pref0,0.589421[0.488084],0.555556[0.494356],0.623116[0.479393],4,0
Signal0,0.589421[0.488084],0.555556[0.494356],0.623116[0.479393],4,0
Hybridindex,12.4447[9.50377],12.096[9.61222],12.8109[9.37456],5,0
Pref0,0.618852[0.479298],0.604[0.482891],0.634454[0.474994],5,0
Signal0,0.618852[0.479298],0.604[0.482891],0.634454[0.474994],5,0
Hybridindex,12.3359[9.52876],12.2615[9.38579],12.4127[9.67345],6,0
Pref0,0.613281[0.480945],0.607692[0.476302],0.619048[0.485621],6,0
Signal0,0.613281[0.480945],0.607692[0.476302],0.619048[0.485621],6,0
Hybridindex,11.1781[9.7827],12.407[9.50413],9.41667[9.9063],7,0
Pref0,0.554795[0.493531],0.616279[0.480276],0.466667[0.498888],7,0
Signal0,0.554795[0.493531],0.616279[0.480276],0.466667[0.498888],7,0
Hybridindex,9.45588[9.94275],10.5263[9.98614],8.1[9.71974],8,0
Pref0,0.470588[0.499134],0.526316[0.499307],0.4[0.489898],8,0
Signal0,0.470588[0.499134],0.526316[0.499307],0.4[0.489898],8,0
Hybridindex,5.63889[8.90974],5.125[8.59051],5.78571[8.99348],9,0
Pref0,0.277778[0.447903],0.25[0.433013],0.285714[0.451754],9,0
Signal0,0.277778[0.447903],0.25[0.433013],0.285714[0.451754],9,0
Hybridindex,3.47222[7.39646],2.5625[6.59279],4.2[7.90633],10,0
Pref0,0.166667[0.372678],0.125[0.330719],0.2[0.4],10,0
Signal0,0.166667[0.372678],0.125[0.330719],0.2[0.4],10,0
Hybridindex,6.83333[9.31471],5.25[8.52203],10[10],11,0
Pref0,0.333333[0.471405],0.25[0.433013],0.5[0.5],11,0
Signal0,0.333333[0.471405],0.25[0.433013],0.5[0.5],11,0
Hybridindex,6.77778[9.3515],5.125[8.59051],8.1[9.71802],12,0
Pref0,0.333333[0.471405],0.25[0.433013],0.4[0.489898],12,0
Signal0,0.333333[0.471405],0.25[0.433013],0.4[0.489898],12,0
Hybridindex,3.30769[7.12131],5.85714[8.94712],0.333333[0.235702],13,0
Pref0,0.153846[0.360801],0.285714[0.451754],0[0],13,0
Signal0,0.153846[0.360801],0.285714[0.451754],0[0],13,0
Hybridindex,0.233333[0.309121],0.166667[0.235702],0.333333[0.372678],14,0
Pref0,0[0],0[0],0[0],14,0
Signal0,0[0],0[0],0[0],14,0
Hybridindex,0.3[0.244949],0.25[0.25],0.333333[0.235702],15,0
Pref0,0[0],0[0],0[0],15,0
Signal0,0[0],0[0],0[0],15,0
Hybridindex,0[0],0[0],0[0],16,0
Pref0,0[0],0[0],0[0],16,0
Signal0,0[0],0[0],0[0],16,0
Hybridindex,0[0],0[0],0[0],17,0
Pref0,0[0],0[0],0[0],17,0
Signal0,0[0],0[0],0[0],17,0
Hybridindex,0[0],0[0],0[0],18,0
Pref0,0[0],0[0],0[0],18,0
Signal0,0[0],0[0],0[0],18,0
Hybridindex,0[0],0[0],0[0],19,0
Pref0,0[0],0[0],0[0],19,0
Signal0,0[0],0[0],0[0],19,0
Hybridindex,0[0],0[0],0[0],20,0
Pref0,0[0],0[0],0[0],20,0
Signal0,0[0],0[0],0[0],20,0
Hybridindex,10.1354[9.94248],10.6422[9.91017],9.64444[9.94911],1,0_1
Pref0,0.506772[0.497124],0.53211[0.495508],0.482222[0.497455],1,0_1
Signal0,0.506772[0.497124],0.53211[0.495508],0.482222[0.497455],1,0_1
Hybridindex,9.07835[9.89553],7.81901[9.71973],10.3889[9.90667],2,0_1
Pref0,0.454847[0.494948],0.393229[0.485794],0.51897[0.496238],2,0_1
Signal0,0.454847[0.494948],0.393229[0.485794],0.51897[0.496238],2,0_1
Hybridindex,10.6639[9.86874],11.202[9.84149],10.1149[9.86627],3,0_1
Pref0,0.533445[0.493827],0.559603[0.493088],0.506757[0.493151],3,0_1
Signal0,0.533445[0.493827],0.559603[0.493088],0.506757[0.493151],3,0_1
Hybridindex,9.6758[9.8749],9.4225[9.84557],9.88866[9.89446],4,0_1
Pref0,0.48516[0.494614],0.4725[0.492944],0.495798[0.495763],4,0_1
Signal0,0.48516[0.494614],0.4725[0.492944],0.495798[0.495763],4,0_1
Hybridindex,9.55473[9.84994],9.00292[9.79535],10.1198[9.87363],5,0_1
Pref0,0.474852[0.49565],0.447368[0.492792],0.502994[0.496988],5,0_1
Signal0,0.474852[0.49565],0.447368[0.492792],0.502994[0.496988],5,0_1
Hybridindex,9.157[9.80416],10.5312[9.87698],7.53684[9.46468],6,0_1
Pref0,0.454106[0.493014],0.522321[0.497262],0.373684[0.475552],6,0_1
Signal0,0.454106[0.493014],0.522321[0.497262],0.373684[0.475552],6,0_1
Hybridindex,7.628[9.51166],9.94531[9.83303],5.19672[8.50905],7,0_1
Pref0,0.376[0.480233],0.492188[0.496017],0.254098[0.430621],7,0_1
Signal0,0.376[0.480233],0.492188[0.496017],0.254098[0.430621],7,0_1
Hybridindex,4.40984[8.12682],4.83333[8.37987],4[7.85247],8,0_1
Pref0,0.213115[0.409508],0.233333[0.422953],0.193548[0.395079],8,0_1
Signal0,0.213115[0.409508],0.233333[0.422953],0.193548[0.395079],8,0_1
Hybridindex,3.97436[7.66356],4.75[8.07259],2.73333[6.77709],9,0_1
Pref0,0.192308[0.385895],0.229167[0.407716],0.133333[0.339935],9,0_1
Signal0,0.192308[0.385895],0.229167[0.407716],0.133333[0.339935],9,0_1
Hybridindex,5.72222[8.86664],5.59091[8.83387],5.92857[8.91399],10,0_1
Pref0,0.277778[0.447903],0.272727[0.445362],0.285714[0.451754],10,0_1
Signal0,0.277778[0.447903],0.272727[0.445362],0.285714[0.451754],10,0_1
Hybridindex,7.5[9.68246],0[0],8.57143[9.89743],11,0_1
Pref0,0.375[0.484123],0[0],0.428571[0.494872],11,0_1
Signal0,0.375[0.484123],0[0],0.428571[0.494872],11,0_1
Hybridindex,0[0],0[0],0[0],12,0_1
Pref0,0[0],0[0],0[0],12,0_1
Signal0,0[0],0[0],0[0],12,0_1
Hybridindex,9.65714[9.96549],9.51276[9.98812],9.7973[9.94147],1,0_10
Pref0,0.482857[0.498275],0.475638[0.499406],0.489865[0.497073],1,0_10
Signal0,0.482857[0.498275],0.475638[0.499406],0.489865[0.497073],1,0_10
Hybridindex,9.06868[9.8804],9.04247[9.87276],9.09504[9.88801],2,0_10
Pref0,0.45261[0.494635],0.449315[0.494663],0.455923[0.494584],2,0_10
Signal0,0.45261[0.494635],0.449315[0.494663],0.455923[0.494584],2,0_10
Hybridindex,9.35142[9.8751],9.4949[9.8445],9.19403[9.90617],3,0_10
Pref0,0.467082[0.494887],0.47449[0.493353],0.458955[0.496437],3,0_10
Signal0,0.467082[0.494887],0.47449[0.493353],0.458955[0.496437],3,0_10
Hybridindex,9.22418[9.87109],9.89548[9.88831],8.68409[9.82397],4,0_10
Pref0,0.459698[0.495204],0.491525[0.497095],0.434091[0.492186],4,0_10
Signal0,0.459698[0.495204],0.491525[0.497095],0.434091[0.492186],4,0_10
Hybridindex,9.02174[9.7844],9.74837[9.79214],8.26027[9.71815],5,0_10
Pref0,0.448161[0.492236],0.486928[0.491588],0.407534[0.48963],5,0_10
Signal0,0.448161[0.492236],0.486928[0.491588],0.407534[0.48963],5,0_10
Hybridindex,9.06593[9.78595],9.37179[9.75351],8.83654[9.80395],6,0_10
Pref0,0.447802[0.493107],0.461538[0.492047],0.4375[0.49365],6,0_10
