X2,X3,X4,X5,Generation,Iter
Hybridindex,10.05[9.93969],9.81169[9.91861],10.2926[9.95525],1,0
Pref0,0.5025[0.496985],0.490585[0.49593],0.514632[0.497763],1,0
Signal0,0.5025[0.496985],0.490585[0.49593],0.514632[0.497763],1,0
Hybridindex,10.494[9.92138],9.91658[9.93686],11.0657[9.87281],2,0
Pref0,0.5245[0.496638],0.495477[0.497965],0.553234[0.493643],2,0
Signal0,0.5245[0.496638],0.495477[0.497965],0.553234[0.493643],2,0
Hybridindex,11.3712[9.80733],11.3086[9.81992],11.4336[9.79438],3,0
Pref0,0.56825[0.491901],0.565631[0.492886],0.570858[0.490904],3,0
Signal0,0.56825[0.491901],0.565631[0.492886],0.570858[0.490904],3,0
Hybridindex,11.6163[9.71345],11.5996[9.70447],11.6335[9.72274],4,0
Pref0,0.5805[0.488385],0.578999[0.48772],0.582059[0.489069],4,0
Signal0,0.5805[0.488385],0.578999[0.48772],0.582059[0.489069],4,0
Hybridindex,11.8752[9.61845],11.8335[9.63841],11.9178[9.5979],5,0
Pref0,0.5935[0.485291],0.59217[0.485598],0.594854[0.484975],5,0
Signal0,0.5935[0.485291],0.59217[0.485598],0.594854[0.484975],5,0
Hybridindex,12.0265[9.55773],12.0467[9.57221],12.0065[9.54334],6,0
Pref0,0.604[0.483667],0.603518[0.485299],0.604478[0.482046],6,0
Signal0,0.604[0.483667],0.603518[0.485299],0.604478[0.482046],6,0
Hybridindex,11.808[9.55223],11.9737[9.52648],11.6455[9.57462],7,0
Pref0,0.59375[0.486401],0.60303[0.485123],0.584653[0.487479],7,0
Signal0,0.59375[0.486401],0.60303[0.485123],0.584653[0.487479],7,0
Hybridindex,11.4588[9.51853],11.5293[9.4748],11.3849[9.56355],8,0
Pref0,0.576[0.488338],0.581623[0.485805],0.570113[0.490907],8,0
Signal0,0.576[0.488338],0.581623[0.485805],0.570113[0.490907],8,0
Hybridindex,11.2665[9.53808],11.0218[9.61187],11.5039[9.45987],9,0
Pref0,0.566[0.491319],0.554822[0.494169],0.576847[0.488292],9,0
Signal0,0.566[0.491319],0.554822[0.494169],0.576847[0.488292],9,0
Hybridindex,11.0017[9.48684],11.0285[9.47198],10.975[9.5016],10,0
Pref0,0.55125[0.492695],0.5535[0.493343],0.549[0.492036],10,0
Signal0,0.55125[0.492695],0.5535[0.493343],0.549[0.492036],10,0
Hybridindex,10.6088[9.46342],10.2998[9.48577],10.9233[9.43022],11,0
Pref0,0.53075[0.493892],0.514866[0.494045],0.546922[0.493211],11,0
Signal0,0.53075[0.493892],0.514866[0.494045],0.546922[0.493211],11,0
Hybridindex,11.2875[9.34053],11.1553[9.3742],11.4199[9.30479],12,0
Pref0,0.57[0.491019],0.562438[0.492042],0.577578[0.489875],12,0
Signal0,0.57[0.491019],0.562438[0.492042],0.577578[0.489875],12,0
Hybridindex,11.9667[9.17354],12.0541[9.17153],11.8764[9.17473],13,0
Pref0,0.604[0.484442],0.60767[0.484225],0.600203[0.484637],13,0
Signal0,0.604[0.484442],0.60767[0.484225],0.600203[0.484637],13,0
Hybridindex,12.1288[9.0888],12.1003[9.09373],12.1588[9.0835],14,0
Pref0,0.61275[0.483386],0.612463[0.484683],0.613052[0.482014],14,0
Signal0,0.61275[0.483386],0.612463[0.484683],0.613052[0.482014],14,0
Hybridindex,12.1677[9.06183],12.0918[9.08385],12.2423[9.03953],15,0
Pref0,0.6125[0.483574],0.609485[0.484233],0.615461[0.482908],15,0
Signal0,0.6125[0.483574],0.609485[0.484233],0.615461[0.482908],15,0
Hybridindex,12.1642[9.01214],12.541[8.91719],11.7882[9.09035],16,0
Pref0,0.61325[0.482493],0.633634[0.477114],0.592907[0.486952],16,0
Signal0,0.61325[0.482493],0.633634[0.477114],0.592907[0.486952],16,0
Hybridindex,11.7365[9.04157],11.8714[8.96938],11.5975[9.11328],17,0
Pref0,0.58925[0.487247],0.594581[0.485677],0.583756[0.488798],17,0
Signal0,0.58925[0.487247],0.594581[0.485677],0.583756[0.488798],17,0
Hybridindex,11.7245[9.02966],11.4608[9.03974],11.9784[9.01267],18,0
Pref0,0.59175[0.488064],0.576962[0.489897],0.605986[0.485868],18,0
Signal0,0.59175[0.488064],0.576962[0.489897],0.605986[0.485868],18,0
Hybridindex,12.2253[8.88263],12.3987[8.82347],12.0493[8.93879],19,0
Pref0,0.61975[0.482219],0.627607[0.479834],0.611782[0.484495],19,0
Signal0,0.61975[0.482219],0.627607[0.479834],0.611782[0.484495],19,0
Hybridindex,12.1547[8.8855],11.5899[9.01131],12.6846[8.73271],20,0
Pref0,0.6155[0.483125],0.586777[0.489255],0.642442[0.47573],20,0
Signal0,0.6155[0.483125],0.586777[0.489255],0.642442[0.47573],20,0
Hybridindex,12.5663[8.63019],12.5035[8.64594],12.63[8.6137],21,0
Pref0,0.64025[0.474294],0.637897[0.474898],0.642641[0.473668],21,0
Signal0,0.64025[0.474294],0.637897[0.474898],0.642641[0.473668],21,0
Hybridindex,12.7263[8.50848],12.641[8.54631],12.8092[8.4707],22,0
Pref0,0.6495[0.472652],0.646045[0.475004],0.65286[0.470329],22,0
Signal0,0.6495[0.472652],0.646045[0.475004],0.65286[0.470329],22,0
Hybridindex,12.7368[8.4404],12.69[8.4184],12.7835[8.46208],23,0
