X2,X3,X4,X5,Generation,Iter
Hybridindex,10.305[9.93765],10.0682[9.9264],10.5544[9.9434],1,0
Pref0,0.51525[0.496883],0.503411[0.49632],0.527721[0.49717],1,0
Signal0,0.51525[0.496883],0.503411[0.49632],0.527721[0.49717],1,0
Hybridindex,10.2085[9.90408],10.6043[9.88436],9.79158[9.90772],2,0
Pref0,0.512[0.496846],0.530702[0.495873],0.4923[0.497109],2,0
Signal0,0.512[0.496846],0.530702[0.495873],0.4923[0.497109],2,0
Hybridindex,10.1598[9.86521],10.0082[9.85796],10.3057[9.86999],3,0
Pref0,0.5105[0.496125],0.503058[0.495639],0.517664[0.496486],3,0
Signal0,0.5105[0.496125],0.503058[0.495639],0.517664[0.496486],3,0
Hybridindex,10.5635[9.77972],10.3707[9.78277],10.7425[9.77348],4,0
Pref0,0.5305[0.494287],0.51973[0.495174],0.540501[0.493251],4,0
Signal0,0.5305[0.494287],0.51973[0.495174],0.540501[0.493251],4,0
Hybridindex,11.2172[9.69249],11.1161[9.71487],11.3156[9.66967],5,0
Pref0,0.56175[0.491235],0.555781[0.491749],0.567554[0.490665],5,0
Signal0,0.56175[0.491235],0.555781[0.491749],0.567554[0.490665],5,0
Hybridindex,11.727[9.54832],11.8834[9.52724],11.5721[9.56663],6,0
Pref0,0.58825[0.487685],0.59799[0.486704],0.578607[0.488464],6,0
Signal0,0.58825[0.487685],0.59799[0.486704],0.578607[0.488464],6,0
Hybridindex,11.7067[9.52294],11.4883[9.59342],11.9179[9.44952],7,0
Pref0,0.5875[0.488205],0.575788[0.491125],0.59882[0.485096],7,0
Signal0,0.5875[0.488205],0.575788[0.491125],0.59882[0.485096],7,0
Hybridindex,12.0358[9.4115],11.8861[9.42544],12.1966[9.39384],8,0
Pref0,0.6035[0.484291],0.59749[0.485955],0.609959[0.482413],8,0
Signal0,0.6035[0.484291],0.59749[0.485955],0.609959[0.482413],8,0
Hybridindex,12.5557[9.21689],12.808[9.13004],12.306[9.29533],9,0
Pref0,0.63225[0.477111],0.646231[0.472323],0.618408[0.481405],9,0
Signal0,0.63225[0.477111],0.646231[0.472323],0.618408[0.481405],9,0
Hybridindex,12.137[9.2462],12.3775[9.18884],11.8946[9.29738],10,0
Pref0,0.6095[0.482711],0.624502[0.479082],0.594378[0.485873],10,0
Signal0,0.6095[0.482711],0.624502[0.479082],0.594378[0.485873],10,0
Hybridindex,11.8697[9.22939],11.9646[9.18318],11.7745[9.27458],11,0
Pref0,0.599[0.485488],0.604291[0.483099],0.593687[0.487818],11,0
Signal0,0.599[0.485488],0.604291[0.483099],0.593687[0.487818],11,0
Hybridindex,11.8942[9.19516],11.7583[9.24176],12.0278[9.1472],12,0
Pref0,0.5985[0.486619],0.586781[0.488554],0.61001[0.484435],12,0
Signal0,0.5985[0.486619],0.586781[0.488554],0.61001[0.484435],12,0
Hybridindex,12.513[9.00831],12.7331[8.9172],12.2912[9.09384],13,0
Pref0,0.6315[0.479278],0.643924[0.475446],0.618976[0.482787],13,0
Signal0,0.6315[0.479278],0.643924[0.475446],0.618976[0.482787],13,0
Hybridindex,12.6435[8.9134],12.5069[8.94758],12.7834[8.87607],14,0
Pref0,0.637[0.47695],0.631423[0.478821],0.642713[0.474957],14,0
Signal0,0.637[0.47695],0.631423[0.478821],0.642713[0.474957],14,0
Hybridindex,12.762[8.83037],12.7522[8.84295],12.7721[8.81732],15,0
Pref0,0.64525[0.47516],0.643559[0.476632],0.646999[0.473627],15,0
Signal0,0.64525[0.47516],0.643559[0.476632],0.646999[0.473627],15,0
Hybridindex,12.845[8.73589],12.9464[8.69492],12.7403[8.77675],16,0
Pref0,0.64725[0.474017],0.653543[0.471164],0.640752[0.476859],16,0
Signal0,0.64725[0.474017],0.653543[0.471164],0.640752[0.476859],16,0
Hybridindex,12.8242[8.68402],12.9943[8.61325],12.6382[8.75703],17,0
Pref0,0.647[0.473699],0.657416[0.470015],0.635602[0.477438],17,0
Signal0,0.647[0.473699],0.657416[0.470015],0.635602[0.477438],17,0
Hybridindex,12.6135[8.70185],12.2144[8.77477],13.004[8.61203],18,0
Pref0,0.63475[0.477459],0.61274[0.482955],0.656281[0.471028],18,0
Signal0,0.63475[0.477459],0.61274[0.482955],0.656281[0.471028],18,0
Hybridindex,13.2167[8.47448],12.9361[8.56256],13.5214[8.36718],19,0
Pref0,0.66825[0.466709],0.65562[0.47034],0.68196[0.462344],19,0
Signal0,0.66825[0.466709],0.65562[0.47034],0.68196[0.462344],19,0
Hybridindex,13.2492[8.43912],13.4686[8.32691],13.0355[8.54162],20,0
Pref0,0.67[0.467547],0.681358[0.462403],0.658934[0.472242],20,0
Signal0,0.67[0.467547],0.681358[0.462403],0.658934[0.472242],20,0
Hybridindex,12.8085[8.5014],12.7387[8.54139],12.8809[8.45914],21,0
Pref0,0.64575[0.474744],0.643418[0.475387],0.648167[0.474064],21,0
Signal0,0.64575[0.474744],0.643418[0.475387],0.648167[0.474064],21,0
Hybridindex,12.787[8.45804],12.7616[8.48382],12.814[8.43038],22,0
Pref0,0.6425[0.474809],0.639535[0.475573],0.645661[0.473973],22,0
Signal0,0.6425[0.474809],0.639535[0.475573],0.645661[0.473973],22,0
Hybridindex,12.986[8.36493],12.8614[8.439],13.1096[8.28895],23,0
Pref0,0.65425[0.470725],0.64508[0.474538],0.663347[0.466733],23,0
Signal0,0.65425[0.470725],0.64508[0.474538],0.663347[0.466733],23,0
Hybridindex,13.1532[8.23575],12.8605[8.35535],13.4525[8.10075],24,0
Pref0,0.66175[0.467399],0.649357[0.473791],0.674419[0.460429],24,0
Signal0,0.66175[0.467399],0.649357[0.473791],0.674419[0.460429],24,0
Hybridindex,13.102[8.16873],13.1408[8.12368],13.0622[8.21442],25,0
Pref0,0.658[0.467478],0.663043[0.464764],0.652834[0.470186],25,0
Signal0,0.658[0.467478],0.663043[0.464764],0.652834[0.470186],25,0
Hybridindex,12.9403[8.15842],13.2032[8.02675],12.6699[8.28295],26,0
Pref0,0.65325[0.470786],0.671105[0.46533],0.634888[0.475633],26,0
Signal0,0.65325[0.470786],0.671105[0.46533],0.634888[0.475633],26,0
Hybridindex,12.7918[8.16195],12.6391[8.205],12.9532[8.11305],27,0
Pref0,0.64575[0.474481],0.637646[0.47738],0.654321[0.471243],27,0
Signal0,0.64575[0.474481],0.637646[0.47738],0.654321[0.471243],27,0
Hybridindex,13.2073[7.94885],13.3721[7.88807],13.0499[8.0033],28,0
Pref0,0.67075[0.466068],0.678608[0.46316],0.663245[0.468706],28,0
Signal0,0.67075[0.466068],0.678608[0.46316],0.663245[0.468706],28,0
Hybridindex,13.2952[7.85598],13.3249[7.91519],13.2665[7.79798],29,0
Pref0,0.6795[0.463443],0.679188[0.463515],0.679803[0.463374],29,0
Signal0,0.6795[0.463443],0.679188[0.463515],0.679803[0.463374],29,0
Hybridindex,13.402[7.73994],13.5076[7.67655],13.2999[7.79935],30,0
Pref0,0.6865[0.459856],0.693795[0.455923],0.679449[0.463517],30,0
Signal0,0.6865[0.459856],0.693795[0.455923],0.679449[0.463517],30,0
Hybridindex,13.2718[7.82146],13.3382[7.7644],13.206[7.877],31,0
Pref0,0.679[0.464445],0.68392[0.462507],0.674129[0.466305],31,0
Signal0,0.679[0.464445],0.68392[0.462507],0.674129[0.466305],31,0
Hybridindex,13.169[7.78949],12.9174[7.83023],13.4022[7.74425],32,0
Pref0,0.676[0.464246],0.661123[0.469469],0.689788[0.458921],32,0
Signal0,0.676[0.464246],0.661123[0.469469],0.689788[0.458921],32,0
Hybridindex,13.2812[7.69578],13.2354[7.76669],13.328[7.62262],33,0
