X2,X3,X4,X5,Generation,Iter
Hybridindex,9.9[9.92925],9.66337[9.91476],10.1414[9.9382],1,0
Pref0,0.495[0.496462],0.483168[0.495738],0.507071[0.49691],1,0
Signal0,0.495[0.496462],0.483168[0.495738],0.507071[0.49691],1,0
Hybridindex,10.3972[9.89397],10.624[9.88342],10.1612[9.89942],2,0
Pref0,0.52025[0.495444],0.531863[0.495286],0.508163[0.49532],2,0
Signal0,0.52025[0.495444],0.531863[0.495286],0.508163[0.49532],2,0
Hybridindex,10.0277[9.89835],10.2042[9.90436],9.84553[9.88884],3,0
Pref0,0.502[0.496987],0.510827[0.496921],0.492886[0.496891],3,0
Signal0,0.502[0.496987],0.510827[0.496921],0.492886[0.496891],3,0
Hybridindex,9.74525[9.85015],9.51944[9.83054],9.97242[9.86463],4,0
Pref0,0.48775[0.495707],0.478066[0.495259],0.497492[0.495965],4,0
Signal0,0.48775[0.495707],0.478066[0.495259],0.497492[0.495965],4,0
Hybridindex,9.81075[9.80231],9.32853[9.76774],10.2988[9.81308],5,0
Pref0,0.4915[0.496415],0.466203[0.494855],0.517103[0.496678],5,0
Signal0,0.4915[0.496415],0.466203[0.494855],0.517103[0.496678],5,0
Hybridindex,10.3965[9.70924],10.6306[9.68923],10.161[9.72363],6,0
Pref0,0.523[0.495198],0.536889[0.493866],0.509027[0.496142],6,0
Signal0,0.523[0.495198],0.536889[0.493866],0.509027[0.496142],6,0
Hybridindex,10.0092[9.62502],10.005[9.65311],10.0136[9.59656],7,0
Pref0,0.50275[0.494082],0.501493[0.4955],0.50402[0.492643],7,0
Signal0,0.50275[0.494082],0.501493[0.4955],0.50402[0.492643],7,0
Hybridindex,10.2795[9.50674],10.2285[9.56067],10.3272[9.45573],8,0
Pref0,0.51925[0.493715],0.514478[0.494852],0.523717[0.492606],8,0
Signal0,0.51925[0.493715],0.514478[0.494852],0.523717[0.492606],8,0
Hybridindex,10.1352[9.42864],10.1116[9.41292],10.158[9.44371],9,0
Pref0,0.5135[0.495043],0.512232[0.495498],0.51472[0.494602],9,0
Signal0,0.5135[0.495043],0.512232[0.495498],0.51472[0.494602],9,0
Hybridindex,9.81825[9.33874],9.68298[9.37447],9.94848[9.30236],10,0
Pref0,0.49675[0.495847],0.489297[0.496304],0.503925[0.495301],10,0
Signal0,0.49675[0.495847],0.489297[0.496304],0.503925[0.495301],10,0
Hybridindex,9.6765[9.22241],9.82518[9.2091],9.53337[9.23294],11,0
Pref0,0.48975[0.494742],0.498981[0.495133],0.480864[0.494203],11,0
Signal0,0.48975[0.494742],0.498981[0.495133],0.480864[0.494203],11,0
Hybridindex,9.8345[9.21102],9.79971[9.22832],9.87152[9.19243],12,0
Pref0,0.49725[0.49736],0.493695[0.497042],0.501032[0.497672],12,0
Signal0,0.49725[0.49736],0.493695[0.497042],0.501032[0.497672],12,0
Hybridindex,10.1095[9.13388],10.0203[9.13311],10.2054[9.13374],13,0
Pref0,0.51175[0.496475],0.506757[0.49705],0.517116[0.495799],13,0
Signal0,0.51175[0.496475],0.506757[0.49705],0.517116[0.495799],13,0
Hybridindex,9.86475[9.05181],9.82933[9.06158],9.9001[9.04192],14,0
Pref0,0.498[0.495728],0.497497[0.495974],0.498501[0.495482],14,0
Signal0,0.498[0.495728],0.497497[0.495974],0.498501[0.495482],14,0
Hybridindex,10.0877[9.01846],10.1039[9.00757],10.0721[9.02903],15,0
Pref0,0.512[0.495839],0.510132[0.494548],0.51382[0.497086],15,0
Signal0,0.512[0.495839],0.510132[0.494548],0.51382[0.497086],15,0
Hybridindex,10.053[9.00151],10.0502[8.98892],10.0557[9.01349],16,0
Pref0,0.50975[0.496266],0.51127[0.496789],0.508301[0.495763],16,0
Signal0,0.50975[0.496266],0.51127[0.496789],0.508301[0.495763],16,0
Hybridindex,9.68025[8.91676],9.69522[8.93398],9.66516[8.89935],17,0
Pref0,0.489[0.4946],0.490538[0.496161],0.48745[0.493017],17,0
Signal0,0.489[0.4946],0.490538[0.496161],0.48745[0.493017],17,0
Hybridindex,9.42625[8.80918],9.53645[8.81787],9.31269[8.79878],18,0
Pref0,0.47525[0.492709],0.478818[0.493599],0.471574[0.491764],18,0
Signal0,0.47525[0.492709],0.478818[0.493599],0.471574[0.491764],18,0
Hybridindex,9.5285[8.68294],9.3497[8.65684],9.71018[8.70561],19,0
Pref0,0.48[0.494318],0.470238[0.494621],0.489919[0.493812],19,0
Signal0,0.48[0.494318],0.470238[0.494621],0.489919[0.493812],19,0
Hybridindex,9.82975[8.64926],9.72317[8.67597],9.93569[8.62132],20,0
Pref0,0.4945[0.495701],0.488465[0.495838],0.500499[0.495493],20,0
Signal0,0.4945[0.495701],0.488465[0.495838],0.500499[0.495493],20,0
Hybridindex,9.9305[8.6043],9.80488[8.59352],10.0522[8.61297],21,0
Pref0,0.50025[0.496362],0.493902[0.495881],0.506398[0.49675],21,0
Signal0,0.50025[0.496362],0.493902[0.495881],0.506398[0.49675],21,0
Hybridindex,10.0958[8.55076],10.2955[8.50498],9.91097[8.58875],22,0
Pref0,0.51325[0.496688],0.524974[0.495978],0.502406[0.497098],22,0
Signal0,0.51325[0.496688],0.524974[0.495978],0.502406[0.497098],22,0
Hybridindex,9.70025[8.52259],10.114[8.50083],9.27558[8.524],23,0
Pref0,0.49075[0.497785],0.513327[0.497347],0.467579[0.497168],23,0
Signal0,0.49075[0.497785],0.513327[0.497347],0.467579[0.497168],23,0
Hybridindex,9.22875[8.45403],9.30837[8.43313],9.1467[8.47472],24,0
Pref0,0.46[0.495126],0.466995[0.495939],0.452792[0.494184],24,0
Signal0,0.46[0.495126],0.466995[0.495939],0.452792[0.494184],24,0
Hybridindex,8.95525[8.37772],9.203[8.42246],8.72287[8.32883],25,0
Pref0,0.4455[0.493994],0.46126[0.495118],0.430717[0.492479],25,0
Signal0,0.4455[0.493994],0.46126[0.495118],0.430717[0.492479],25,0
Hybridindex,8.74975[8.30593],8.6218[8.27094],8.87195[8.33738],26,0
Pref0,0.43275[0.491785],0.427329[0.490274],0.437928[0.493168],26,0
Signal0,0.43275[0.491785],0.427329[0.490274],0.437928[0.493168],26,0
Hybridindex,8.68125[8.26851],8.99554[8.33594],8.3619[8.18708],27,0
Pref0,0.42725[0.488961],0.447421[0.49171],0.406754[0.485293],27,0
Signal0,0.42725[0.488961],0.447421[0.49171],0.406754[0.485293],27,0
Hybridindex,8.39975[8.17335],7.99605[8.10352],8.81326[8.22374],28,0
Pref0,0.409[0.486538],0.387846[0.482419],0.430668[0.489775],28,0
Signal0,0.409[0.486538],0.387846[0.482419],0.430668[0.489775],28,0
Hybridindex,8.58325[8.14647],8.65288[8.11298],8.51487[8.17865],29,0
Pref0,0.422[0.489302],0.42886[0.490818],0.415263[0.487713],29,0
Signal0,0.422[0.489302],0.42886[0.490818],0.415263[0.487713],29,0
Hybridindex,8.51725[8.11008],8.61709[8.1188],8.41498[8.09985],30,0
Pref0,0.4165[0.48916],0.422431[0.489172],0.410425[0.489074],30,0
Signal0,0.4165[0.48916],0.422431[0.489172],0.410425[0.489074],30,0
Hybridindex,8.291[8.03266],8.39817[8.05555],8.18762[8.00915],31,0
Pref0,0.404[0.487118],0.40835[0.487367],0.399804[0.486841],31,0
Signal0,0.404[0.487118],0.40835[0.487367],0.399804[0.486841],31,0
Hybridindex,8.17275[7.88841],7.98406[7.80736],8.36295[7.96475],32,0
Pref0,0.392[0.484083],0.37998[0.480483],0.404116[0.487384],32,0
Signal0,0.392[0.484083],0.37998[0.480483],0.404116[0.487384],32,0
Hybridindex,8.453[7.96205],8.51628[8.01434],8.39184[7.91071],33,0
Pref0,0.41[0.488774],0.413021[0.489268],0.40708[0.488279],33,0
Signal0,0.41[0.488774],0.413021[0.489268],0.40708[0.488279],33,0
Hybridindex,8.62825[7.95268],8.93822[7.983],8.28975[7.90558],34,0
Pref0,0.42375[0.490725],0.441571[0.493187],0.404289[0.487278],34,0
Signal0,0.42375[0.490725],0.441571[0.493187],0.404289[0.487278],34,0
Hybridindex,8.42925[7.89299],8.39348[7.86242],8.46708[7.92502],35,0
Pref0,0.41225[0.488799],0.412938[0.488643],0.411523[0.488964],35,0
Signal0,0.41225[0.488799],0.412938[0.488643],0.411523[0.488964],35,0
Hybridindex,8.5515[7.88011],8.65224[7.89803],8.44975[7.86066],36,0
Pref0,0.4185[0.488475],0.422388[0.48964],0.414573[0.487264],36,0
Signal0,0.4185[0.488475],0.422388[0.48964],0.414573[0.487264],36,0
Hybridindex,8.74675[7.90361],8.75836[7.92567],8.73544[7.88203],37,0
Pref0,0.431[0.490652],0.429078[0.491091],0.432873[0.490216],37,0
Signal0,0.431[0.490652],0.429078[0.491091],0.432873[0.490216],37,0
Hybridindex,8.6925[7.82831],8.84265[7.86671],8.55222[7.78965],38,0
Pref0,0.42575[0.489757],0.437888[0.49141],0.41441[0.487935],38,0
Signal0,0.42575[0.489757],0.437888[0.49141],0.41441[0.487935],38,0
