X2,X3,X4,X5,Generation,Iter
Hybridindex,9.66903[9.80347],9.18269[9.84521],10.1395[9.73983],1,0
Pref0,0.483452[0.490173],0.459135[0.492261],0.506977[0.486991],1,0
Signal0,0.483452[0.490173],0.459135[0.492261],0.506977[0.486991],1,0
Hybridindex,10.1669[9.21895],10.169[9.16813],10.1646[9.2746],2,0
Pref0,0.515373[0.46721],0.522346[0.464738],0.507692[0.469798],2,0
Signal0,0.515373[0.46721],0.522346[0.464738],0.507692[0.469798],2,0
Hybridindex,9.90745[7.22403],9.24066[7.05169],10.6092[7.33591],3,0
Pref0,0.503191[0.427126],0.477178[0.425458],0.530568[0.427167],3,0
Signal0,0.503191[0.427126],0.477178[0.425458],0.530568[0.427167],3,0
Hybridindex,10.4645[5.00224],10.4532[4.95218],10.476[5.05296],4,0
Pref0,0.519231[0.390815],0.546784[0.375614],0.491018[0.403848],4,0
Signal0,0.519231[0.390815],0.546784[0.375614],0.491018[0.403848],4,0
Hybridindex,10.9292[3.59175],10.9818[3.59224],10.8725[3.59035],5,0
Pref0,0.525943[0.367342],0.563636[0.357447],0.485294[0.373483],5,0
Signal0,0.525943[0.367342],0.563636[0.357447],0.485294[0.373483],5,0
Hybridindex,10.9567[2.75798],10.8929[2.82113],11.0379[2.67326],6,0
Pref0,0.43[0.36982],0.434524[0.360058],0.424242[0.381806],6,0
Signal0,0.43[0.36982],0.434524[0.360058],0.424242[0.381806],6,0
Hybridindex,10.9529[2.43338],10.9375[2.17712],10.9667[2.64029],7,0
Pref0,0.476471[0.358968],0.4375[0.338886],0.511111[0.372512],7,0
Signal0,0.476471[0.358968],0.4375[0.338886],0.511111[0.372512],7,0
Hybridindex,10.8509[2.22223],11.1212[2.26311],10.4792[2.10891],8,0
Pref0,0.491228[0.344012],0.530303[0.324257],0.4375[0.362644],8,0
Signal0,0.491228[0.344012],0.530303[0.324257],0.4375[0.362644],8,0
Hybridindex,11.0741[1.82424],10.5[2.14834],11.6071[1.24181],9,0
Pref0,0.481481[0.34645],0.461538[0.364878],0.5[0.327327],9,0
Signal0,0.481481[0.34645],0.461538[0.364878],0.5[0.327327],9,0
Hybridindex,11.5938[1.83898],11.9444[1.51739],11.1429[2.09956],10,0
Pref0,0.4375[0.428478],0.5[0.408248],0.357143[0.440315],10,0
Signal0,0.4375[0.428478],0.5[0.408248],0.357143[0.440315],10,0
Hybridindex,11.7308[0.953039],11.95[0.906918],11[0.707107],11,0
Pref0,0.346154[0.410657],0.3[0.4],0.5[0.408248],11,0
Signal0,0.346154[0.410657],0.3[0.4],0.5[0.408248],11,0
Hybridindex,10[0.5],9.5[0],10.5[0],12,0
Pref0,1[0],1[0],1[0],12,0
Signal0,1[0],1[0],1[0],12,0
Hybridindex,8.5[0],0[0],8.5[0],13,0
Pref0,1[0],0[0],1[0],13,0
Signal0,1[0],0[0],1[0],13,0
Hybridindex,10.0236[9.8037],10.1602[9.81392],9.87864[9.79076],1,0_1
Pref0,0.501178[0.490185],0.508009[0.490696],0.493932[0.489538],1,0_1
Signal0,0.501178[0.490185],0.508009[0.490696],0.493932[0.489538],1,0_1
Hybridindex,8.97344[8.91673],9.15692[8.96798],8.79491[8.86293],2,0_1
Pref0,0.451442[0.46329],0.461538[0.461667],0.441617[0.464653],2,0_1
Signal0,0.451442[0.46329],0.461538[0.461667],0.441617[0.464653],2,0_1
Hybridindex,8.68182[7.21672],8.12941[7.01224],9.21947[7.37067],3,0_1
Pref0,0.454545[0.424542],0.403922[0.407749],0.503817[0.434646],3,0_1
Signal0,0.454545[0.424542],0.403922[0.407749],0.503817[0.434646],3,0_1
Hybridindex,9.17228[5.16873],8.8379[5.23751],9.61078[5.04364],4,0_1
Pref0,0.490933[0.388361],0.458904[0.388946],0.532934[0.383561],4,0_1
Signal0,0.490933[0.388361],0.458904[0.388946],0.532934[0.383561],4,0_1
