X2,X3,X4,X5,Generation,Iter
Hybridindex,9.35[9.76614],8.88779[9.69005],9.81873[9.82051],1,0
Pref0,0.4675[0.488307],0.444389[0.484502],0.490937[0.491026],1,0
Signal0,0.4675[0.488307],0.444389[0.484502],0.490937[0.491026],1,0
Hybridindex,9.48325[8.83433],9.55123[8.80997],9.4132[8.85881],2,0
Pref0,0.4745[0.457548],0.476847[0.458318],0.472081[0.45674],2,0
Signal0,0.4745[0.457548],0.476847[0.458318],0.472081[0.45674],2,0
Hybridindex,9.69375[6.98789],9.75794[6.92569],9.62853[7.04993],3,0
Pref0,0.48[0.414849],0.478175[0.410695],0.481855[0.41902],3,0
Signal0,0.48[0.414849],0.478175[0.410695],0.481855[0.41902],3,0
Hybridindex,9.99025[5.21093],10.2748[5.21217],9.72815[5.19602],4,0
Pref0,0.49125[0.379537],0.516684[0.376213],0.467819[0.381075],4,0
Signal0,0.49125[0.379537],0.516684[0.376213],0.467819[0.381075],4,0
Hybridindex,10.1135[3.90991],10.1535[3.96369],10.0753[3.85746],5,0
Pref0,0.49175[0.371224],0.493859[0.367518],0.489736[0.374717],5,0
Signal0,0.49175[0.371224],0.493859[0.367518],0.489736[0.374717],5,0
Hybridindex,9.934[3.08036],9.97817[3.01641],9.88911[3.14338],6,0
Pref0,0.49175[0.368859],0.500496[0.366301],0.482863[0.371229],6,0
Signal0,0.49175[0.368859],0.500496[0.366301],0.482863[0.371229],6,0
Hybridindex,9.9285[2.66193],9.90634[2.63052],9.95106[2.69336],7,0
Pref0,0.498[0.361588],0.506938[0.357493],0.4889[0.365486],7,0
Signal0,0.498[0.361588],0.506938[0.357493],0.4889[0.365486],7,0
Hybridindex,9.9185[2.438],9.89012[2.36149],9.94643[2.51071],8,0
Pref0,0.48375[0.370285],0.47127[0.372209],0.496032[0.367969],8,0
Signal0,0.48375[0.370285],0.47127[0.372209],0.496032[0.367969],8,0
Hybridindex,9.935[2.30863],9.90132[2.30046],9.96789[2.3161],9,0
Pref0,0.51425[0.369015],0.502024[0.373727],0.526186[0.363959],9,0
Signal0,0.51425[0.369015],0.502024[0.373727],0.526186[0.363959],9,0
Hybridindex,10.0273[2.18412],9.94519[2.1301],10.1041[2.23077],10,0
Pref0,0.52125[0.364929],0.518614[0.371788],0.523717[0.358372],10,0
Signal0,0.52125[0.364929],0.518614[0.371788],0.523717[0.358372],10,0
