X2,X3,X4,X5,Generation,Iter
Hybridindex,10.12[9.79722],10.4946[9.80284],9.73711[9.77666],1,0
Pref0,0.506[0.489861],0.524728[0.490142],0.486855[0.488833],1,0
Signal0,0.506[0.489861],0.524728[0.490142],0.486855[0.488833],1,0
Hybridindex,10.2285[8.97034],10.1665[8.94531],10.2876[8.99373],2,0
Pref0,0.5155[0.465575],0.509734[0.467332],0.520996[0.463827],2,0
Signal0,0.5155[0.465575],0.509734[0.467332],0.520996[0.463827],2,0
Hybridindex,10.3383[7.26424],10.1795[7.34441],10.498[7.17914],3,0
Pref0,0.53125[0.422668],0.521436[0.421019],0.541123[0.424091],3,0
Signal0,0.53125[0.422668],0.521436[0.421019],0.541123[0.424091],3,0
Hybridindex,10.4832[5.43722],10.4145[5.43785],10.5489[5.4358],4,0
Pref0,0.5335[0.380956],0.5174[0.378144],0.548876[0.382992],4,0
Signal0,0.5335[0.380956],0.5174[0.378144],0.548876[0.382992],4,0
Hybridindex,10.3837[3.9497],10.5365[3.94985],10.227[3.94339],5,0
Pref0,0.51975[0.370115],0.519743[0.37256],0.519757[0.367589],5,0
Signal0,0.51975[0.370115],0.519743[0.37256],0.519757[0.367589],5,0
Hybridindex,10.3283[3.15834],10.3338[3.13369],10.3229[3.18189],6,0
Pref0,0.5075[0.370059],0.514271[0.370002],0.500981[0.369997],6,0
Signal0,0.5075[0.370059],0.514271[0.370002],0.500981[0.369997],6,0
Hybridindex,10.2912[2.70459],10.3543[2.60327],10.2261[2.80388],7,0
Pref0,0.5115[0.366221],0.50689[0.367144],0.51626[0.365204],7,0
Signal0,0.5115[0.366221],0.50689[0.367144],0.51626[0.365204],7,0
Hybridindex,10.2223[2.47083],10.1604[2.42013],10.2823[2.5176],8,0
Pref0,0.5025[0.370464],0.524873[0.366269],0.480788[0.373211],8,0
Signal0,0.5025[0.370464],0.524873[0.366269],0.480788[0.373211],8,0
Hybridindex,10.2037[2.31211],10.1558[2.32221],10.2483[2.3018],9,0
Pref0,0.4905[0.373376],0.494808[0.368086],0.4865[0.378179],9,0
Signal0,0.4905[0.373376],0.494808[0.368086],0.4865[0.378179],9,0
Hybridindex,10.217[2.26195],10.1285[2.27009],10.3096[2.24966],10,0
Pref0,0.48725[0.364983],0.487781[0.365412],0.486694[0.364532],10,0
Signal0,0.48725[0.364983],0.487781[0.365412],0.486694[0.364532],10,0
Hybridindex,10.1225[2.19659],10.0448[2.23235],10.2045[2.15516],11,0
Pref0,0.4895[0.366933],0.487342[0.369657],0.491778[0.364022],11,0
Signal0,0.4895[0.366933],0.487342[0.369657],0.491778[0.364022],11,0
Hybridindex,10.0245[2.15352],10.036[2.13406],10.0127[2.17324],12,0
Pref0,0.4955[0.367056],0.486673[0.37185],0.504559[0.361845],12,0
Signal0,0.4955[0.367056],0.486673[0.37185],0.504559[0.361845],12,0
Hybridindex,10.0448[2.0634],10.032[2.0797],10.0576[2.04686],13,0
Pref0,0.4965[0.371803],0.497502[0.370953],0.495495[0.372651],13,0
Signal0,0.4965[0.371803],0.497502[0.370953],0.495495[0.372651],13,0
Hybridindex,9.976[2.02075],9.90442[2.01373],10.0438[2.02504],14,0
Pref0,0.507[0.362906],0.50668[0.358721],0.507303[0.366827],14,0
Signal0,0.507[0.362906],0.50668[0.358721],0.507303[0.366827],14,0
Hybridindex,10.0122[2.01432],9.98604[2.00015],10.0368[2.02719],15,0
Pref0,0.50875[0.361315],0.516546[0.359874],0.501452[0.362507],15,0
Signal0,0.50875[0.361315],0.516546[0.359874],0.501452[0.362507],15,0
Hybridindex,10.1152[2.02703],10.0762[1.9934],10.154[2.05918],16,0
Pref0,0.50525[0.36551],0.483952[0.362128],0.526421[0.36762],16,0
