X2,X3,X4,X5,Generation,Iter
Hybridindex,10.0561[8.49012],10.1304[8.4174],9.97685[8.56616],1,0
Pref0,0.502803[0.424506],0.506522[0.42087],0.498843[0.428308],1,0
Signal0,0.502803[0.424506],0.506522[0.42087],0.498843[0.428308],1,0
Hybridindex,10.2754[8.14701],9.91105[8.13068],10.6875[8.14582],2,0
Pref0,0.514306[0.422637],0.5[0.423374],0.530488[0.421217],2,0
Signal0,0.522175[0.426092],0.505391[0.421745],0.541159[0.430167],2,0
Hybridindex,10.7557[7.54616],10.8767[7.52135],10.6468[7.56678],3,0
Pref0,0.521921[0.40099],0.526432[0.408292],0.517857[0.394253],3,0
Signal0,0.548017[0.409683],0.548458[0.414319],0.547619[0.405462],3,0
Hybridindex,11.3433[6.44094],10.8777[6.49456],11.8115[6.35225],4,0
Pref0,0.565395[0.388635],0.548913[0.390511],0.581967[0.38603],4,0
Signal0,0.60218[0.377927],0.584239[0.38267],0.620219[0.372227],4,0
Hybridindex,12.1555[5.55218],11.8109[5.36014],12.5[5.71707],5,0
Pref0,0.630252[0.377754],0.609244[0.373264],0.651261[0.381035],5,0
Signal0,0.636555[0.365601],0.638655[0.366246],0.634454[0.364942],5,0
Hybridindex,13.2908[4.49395],12.4922[4.96275],13.9545[3.9421],6,0
Pref0,0.684397[0.333748],0.617188[0.339372],0.74026[0.318381],6,0
Signal0,0.744681[0.312942],0.710938[0.316286],0.772727[0.307329],6,0
Hybridindex,13.8187[3.26079],13.4375[3.22914],14.2[3.24769],7,0
Pref0,0.7375[0.273576],0.725[0.272718],0.75[0.273861],7,0
Signal0,0.81875[0.253029],0.85[0.229129],0.7875[0.271282],7,0
Hybridindex,14.1944[2.31824],14.1552[2.40008],14.24[2.21865],8,0
Pref0,0.787037[0.265306],0.758621[0.282254],0.82[0.24],8,0
Signal0,0.907407[0.194224],0.913793[0.18887],0.9[0.2],8,0
Hybridindex,14.6351[1.82197],15.625[1.70935],14.3621[1.75625],9,0
Pref0,0.837838[0.234061],0.8125[0.242061],0.844828[0.231317],9,0
Signal0,0.959459[0.13648],1[0],0.948276[0.152272],9,0
Hybridindex,15.3382[1.70518],15.525[1.50395],15.0714[1.92592],10,0
Pref0,0.852941[0.258087],0.875[0.268095],0.821429[0.239579],10,0
Signal0,0.941176[0.161095],0.95[0.15],0.928571[0.174964],10,0
Hybridindex,15.2[1.5748],15.15[1.67407],15.2333[1.50407],11,0
Pref0,0.84[0.272764],0.75[0.25],0.9[0.270801],11,0
Signal0,1[0],1[0],1[0],11,0
Hybridindex,15.7333[1.68193],15.5[1.51186],15.9375[1.793],12,0
Pref0,0.833333[0.298142],0.857143[0.349927],0.8125[0.242061],12,0
Signal0,1[0],1[0],1[0],12,0
Hybridindex,17.5[0.707107],18[0.5],17[0.5],13,0
Pref0,0.75[0.25],1[0],0.5[0],13,0
Signal0,1[0],1[0],1[0],13,0
Hybridindex,18.5[0.5],19[0],18[0],14,0
Pref0,0.75[0.25],0.5[0],1[0],14,0
Signal0,1[0],1[0],1[0],14,0
Hybridindex,0[0],0[0],0[0],15,0
Pref0,0[0],0[0],0[0],15,0
Signal0,0[0],0[0],0[0],15,0
Hybridindex,9.87879[8.68212],9.725[8.81331],10.0235[8.55429],1,0_1
Pref0,0.493939[0.434106],0.48625[0.440665],0.501176[0.427715],1,0_1
Signal0,0.493939[0.434106],0.48625[0.440665],0.501176[0.427715],1,0_1
Hybridindex,9.81259[7.88201],9.78765[7.75661],9.83731[8.00427],2,0_1
Pref0,0.486507[0.414104],0.475904[0.408152],0.497015[0.419655],2,0_1
Signal0,0.495502[0.419692],0.486446[0.411393],0.504478[0.42757],2,0_1
Hybridindex,9.6497[7.21868],9.54545[7.31889],9.75605[7.11342],3,0_1
Pref0,0.477046[0.402056],0.472332[0.4065],0.481855[0.397413],3,0_1
Signal0,0.49501[0.407606],0.503953[0.412244],0.485887[0.402615],3,0_1
Hybridindex,9.56198[6.3728],9.80526[6.46745],9.2948[6.25631],4,0_1
Pref0,0.488981[0.385537],0.502632[0.392352],0.473988[0.377342],4,0_1
Signal0,0.486226[0.385449],0.510526[0.393894],0.459538[0.374141],4,0_1
Hybridindex,9.44538[5.78348],9.04202[5.71324],9.84874[5.82502],5,0_1
Pref0,0.487395[0.388718],0.483193[0.388559],0.491597[0.388831],5,0_1
Signal0,0.497899[0.387564],0.432773[0.377544],0.563025[0.386509],5,0_1
Hybridindex,8.75152[4.95636],8.875[5.32242],8.63529[4.58218],6,0_1
Pref0,0.469697[0.368029],0.5[0.395285],0.441176[0.337915],6,0_1
Signal0,0.457576[0.366829],0.50625[0.383192],0.411765[0.344507],6,0_1
Hybridindex,8.33193[4.532],8.64394[4.49053],7.9434[4.55331],7,0_1
Pref0,0.47479[0.348157],0.484848[0.336759],0.462264[0.361457],7,0_1
Signal0,0.403361[0.368265],0.439394[0.364267],0.358491[0.368287],7,0_1
Hybridindex,8.33088[4.04534],8.06757[4.10201],8.64516[3.95375],8,0_1
Pref0,0.507353[0.378587],0.459459[0.355998],0.564516[0.396394],8,0_1
Signal0,0.433824[0.401325],0.418919[0.376928],0.451613[0.427952],8,0_1
Hybridindex,8.5[3.1845],7.9[2.755],9.13158[3.47109],9,0_1
Pref0,0.487179[0.348756],0.5[0.353553],0.473684[0.343116],9,0_1
Signal0,0.487179[0.366676],0.425[0.326917],0.552632[0.393859],9,0_1
Hybridindex,8.52083[2.608],7.76923[2.50089],9.40909[2.4478],10,0_1
Pref0,0.416667[0.343592],0.384615[0.348284],0.454545[0.334021],10,0_1
Signal0,0.375[0.360844],0.307692[0.312463],0.454545[0.396264],10,0_1
Hybridindex,8.46667[2.34852],9.1875[2.38403],7.64286[2.01271],11,0_1
Pref0,0.333333[0.394405],0.3125[0.347985],0.357143[0.440315],11,0_1
Signal0,0.4[0.270801],0.5[0.25],0.285714[0.247436],11,0_1
Hybridindex,8.77778[2.225],8.16667[2.59272],9.08333[1.94544],12,0_1
Pref0,0.444444[0.437445],0.333333[0.471405],0.5[0.408248],12,0_1
Signal0,0.444444[0.368514],0.333333[0.235702],0.5[0.408248],12,0_1
Hybridindex,10.5[0.92582],10.8333[1.17851],10.25[0.559017],13,0_1
Pref0,0.428571[0.174964],0.5[0],0.375[0.216506],13,0_1
Signal0,0.428571[0.174964],0.5[0],0.375[0.216506],13,0_1
Hybridindex,8[1],0[0],8[1],14,0_1
Pref0,0.25[0.25],0[0],0.25[0.25],14,0_1
Signal0,0.5[0],0[0],0.5[0],14,0_1
Hybridindex,10.1114[8.59498],10.1496[8.50275],10.0737[8.68473],1,0_10
Pref0,0.505569[0.429749],0.507481[0.425138],0.503686[0.434237],1,0_10
Signal0,0.505569[0.429749],0.507481[0.425138],0.503686[0.434237],1,0_10
Hybridindex,9.93131[8.08824],9.29395[7.97032],10.6015[8.15686],2,0_10
Pref0,0.494092[0.419214],0.4683[0.418076],0.521212[0.418698],2,0_10
Signal0,0.49483[0.424041],0.463977[0.422016],0.527273[0.423744],2,0_10
Hybridindex,9.35921[7.30671],8.92915[7.16605],9.80932[7.42446],3,0_10
Pref0,0.471014[0.394303],0.449393[0.385031],0.493644[0.402537],3,0_10
Signal0,0.478261[0.413343],0.463563[0.408275],0.493644[0.418028],3,0_10
Hybridindex,8.95531[6.63068],8.97977[6.73387],8.93243[6.53262],4,0_10
Pref0,0.435754[0.395584],0.442197[0.401745],0.42973[0.389639],4,0_10
Signal0,0.452514[0.394419],0.453757[0.399639],0.451351[0.389471],4,0_10
Hybridindex,8.2433[5.99786],8.24101[6.07221],8.2459[5.91201],5,0_10
Pref0,0.388889[0.38045],0.399281[0.384875],0.377049[0.374994],5,0_10
Signal0,0.390805[0.372101],0.388489[0.374757],0.393443[0.369035],5,0_10
Hybridindex,8.02632[4.99302],7.97802[4.85782],8.09836[5.18733],6,0_10
Pref0,0.391447[0.371332],0.368132[0.369401],0.42623[0.371484],6,0_10
Signal0,0.368421[0.379304],0.368132[0.369401],0.368852[0.393613],6,0_10
Hybridindex,7.81343[4.71805],7.60345[5.04698],7.97368[4.44402],7,0_10
Pref0,0.313433[0.364833],0.258621[0.337861],0.355263[0.378847],7,0_10
Signal0,0.358209[0.384455],0.344828[0.373784],0.368421[0.392096],7,0_10
Hybridindex,6.47656[3.53822],6.95833[3.90045],5.85714[2.89352],8,0_10
Pref0,0.25[0.318689],0.319444[0.356542],0.160714[0.233512],8,0_10
Signal0,0.273438[0.329887],0.305556[0.358968],0.232143[0.28291],8,0_10
Hybridindex,5.64062[2.39542],5.33333[2.0548],6.03571[2.72203],9,0_10
Pref0,0.21875[0.329239],0.138889[0.279163],0.321429[0.358924],9,0_10
Signal0,0.078125[0.181546],0.0833333[0.186339],0.0714286[0.174964],9,0_10
Hybridindex,6.56667[2.39351],6[1],6.65385[2.52971],10,0_10
Pref0,0.2[0.305505],0[0],0.230769[0.317162],10,0_10
Signal0,0.0333333[0.124722],0[0],0.0384615[0.133235],10,0_10
Hybridindex,6.04167[1.36104],5.4[0.734847],6.5[1.51186],11,0_10
Pref0,0.166667[0.235702],0.2[0.244949],0.142857[0.225877],11,0_10
Signal0,0[0],0[0],0[0],11,0_10
Hybridindex,5.88462[1.57081],5.16667[1.10554],6.5[1.64751],12,0_10
Pref0,0.192308[0.243252],0.166667[0.235702],0.214286[0.247436],12,0_10
Signal0,0[0],0[0],0[0],12,0_10
Hybridindex,7[1.77951],7.5[2],6[0],13,0_10
Pref0,0[0],0[0],0[0],13,0_10
Signal0,0[0],0[0],0[0],13,0_10
Hybridindex,6.375[0.649519],7[0],5.75[0.25],14,0_10
Pref0,0[0],0[0],0[0],14,0_10
Signal0,0[0],0[0],0[0],14,0_10
Hybridindex,6[0.5],6[0.5],0[0],15,0_10
Pref0,0[0],0[0],0[0],15,0_10
Signal0,0[0],0[0],0[0],15,0_10
Hybridindex,8.68493[8.48885],9.00181[8.57877],8.36397[8.38459],1,0_100
Pref0,0.434247[0.424442],0.450091[0.428938],0.418199[0.419229],1,0_100
Signal0,0.434247[0.424442],0.450091[0.428938],0.418199[0.419229],1,0_100
Hybridindex,7.62844[7.51349],7.5063[7.68921],7.75213[7.32917],2,0_100
Pref0,0.387421[0.393204],0.379202[0.399064],0.395745[0.387],2,0_100
Signal0,0.379493[0.397218],0.37395[0.403339],0.385106[0.390841],2,0_100
Hybridindex,6.97059[6.66487],6.85166[6.63622],7.08951[6.69129],3,0_100
Pref0,0.340153[0.37252],0.33376[0.370575],0.346547[0.374346],3,0_100
Signal0,0.347826[0.381629],0.327366[0.377084],0.368286[0.385036],3,0_100
Hybridindex,5.81107[5.37966],5.56885[5.13986],6.05016[5.59602],4,0_100
Pref0,0.28013[0.335999],0.277049[0.325623],0.283172[0.345908],4,0_100
Signal0,0.279316[0.344447],0.255738[0.326695],0.302589[0.359602],4,0_100
Hybridindex,4.69831[3.97231],4.53441[3.87348],4.87665[4.06963],5,0_100
Pref0,0.227848[0.297289],0.240891[0.3046],0.213656[0.288454],5,0_100
Signal0,0.219409[0.300075],0.200405[0.297288],0.240088[0.301722],5,0_100
Hybridindex,3.89482[2.8788],3.89073[3.0757],3.89873[2.67712],6,0_100
Pref0,0.202265[0.282204],0.205298[0.300505],0.199367[0.263496],6,0_100
Signal0,0.150485[0.23629],0.139073[0.238365],0.161392[0.233771],6,0_100
Hybridindex,3.67476[2.39509],3.77679[2.60051],3.55319[2.11814],7,0_100
Pref0,0.199029[0.29428],0.200893[0.279187],0.196809[0.311295],7,0_100
Signal0,0.123786[0.221353],0.151786[0.239412],0.0904255[0.192447],7,0_100
Hybridindex,3.9292[2.25564],3.65179[1.99311],4.20175[2.45639],8,0_100
Pref0,0.176991[0.273622],0.169643[0.271845],0.184211[0.275165],8,0_100
Signal0,0.0265487[0.112114],0.0267857[0.112585],0.0263158[0.111648],8,0_100
Hybridindex,4.09028[1.83584],4[1.66905],4.17568[1.97695],9,0_100
Pref0,0.138889[0.238953],0.114286[0.209956],0.162162[0.261339],9,0_100
Signal0,0.0138889[0.0821678],0.0142857[0.0832993],0.0135135[0.0810811],9,0_100
Hybridindex,4.44118[1.9356],4.6[1.67531],4.31579[2.11019],10,0_100
Pref0,0.102941[0.202172],0.133333[0.221108],0.0789474[0.182321],10,0_100
Signal0,0[0],0[0],0[0],10,0_100
Hybridindex,4.30556[1.54685],4.55[1.78115],4[1.11803],11,0_100
Pref0,0.0833333[0.186339],0.1[0.2],0.0625[0.165359],11,0_100
Signal0,0[0],0[0],0[0],11,0_100
Hybridindex,3.96154[1.6345],3.8125[1.99902],4.2[0.678233],12,0_100
Pref0,0.0769231[0.180401],0.0625[0.165359],0.1[0.2],12,0_100
Signal0,0[0],0[0],0[0],12,0_100
Hybridindex,4.20833[1.0095],4[1.19523],4.5[0.547723],13,0_100
Pref0,0.125[0.216506],0.0714286[0.174964],0.2[0.244949],13,0_100
Signal0,0[0],0[0],0[0],13,0_100
Hybridindex,4.08333[1.09608],4.66667[1.31233],3.5[0],14,0_100
Pref0,0.166667[0.235702],0[0],0.333333[0.235702],14,0_100
Signal0,0[0],0[0],0[0],14,0_100
Hybridindex,4.375[0.544862],4[0.5],4.75[0.25],15,0_100
Pref0,0.125[0.216506],0.25[0.25],0[0],15,0_100
Signal0,0[0],0[0],0[0],15,0_100
Hybridindex,4.33333[0.235702],4.5[0],4.25[0.25],16,0_100
Pref0,0.166667[0.235702],0.5[0],0[0],16,0_100
Signal0,0[0],0[0],0[0],16,0_100
Hybridindex,4[1],4[1],0[0],17,0_100
Pref0,0[0],0[0],0[0],17,0_100
Signal0,0[0],0[0],0[0],17,0_100
Hybridindex,9.53672[8.77271],9.66292[8.90012],9.40909[8.64007],1,0_11
Pref0,0.476836[0.438636],0.483146[0.445006],0.470455[0.432004],1,0_11
Signal0,0.476836[0.438636],0.483146[0.445006],0.470455[0.432004],1,0_11
Hybridindex,9.89315[7.91451],9.44851[7.94724],10.3307[7.85765],2,0_11
Pref0,0.498656[0.422802],0.48103[0.424095],0.516[0.420806],2,0_11
Signal0,0.49664[0.416788],0.47832[0.417525],0.514667[0.415273],2,0_11
Hybridindex,12.3696[6.92696],12.6577[6.84163],12.0859[6.99836],3,0_11
Pref0,0.627953[0.38789],0.644841[0.380389],0.611328[0.39443],3,0_11
Signal0,0.623524[0.385831],0.639881[0.385471],0.607422[0.385508],3,0_11
Hybridindex,12.9983[6.18116],12.8157[6.38526],13.1944[5.94792],4,0_11
Pref0,0.664621[0.371214],0.655172[0.379506],0.674769[0.361821],4,0_11
Signal0,0.670201[0.364885],0.66056[0.370776],0.680556[0.358161],4,0_11
Hybridindex,13.8461[5.12303],13.822[5.05964],13.8723[5.19113],5,0_11
Pref0,0.70229[0.349183],0.695122[0.355755],0.710106[0.341701],5,0_11
Signal0,0.744275[0.332886],0.742683[0.32983],0.746011[0.336179],5,0_11
Hybridindex,14.5106[4.18472],14.2726[4.13835],14.7588[4.21827],6,0_11
Pref0,0.740883[0.333708],0.755639[0.327995],0.72549[0.338881],6,0_11
Signal0,0.808061[0.286638],0.81203[0.291493],0.803922[0.281425],6,0_11
Hybridindex,15.4248[2.82521],15.4831[2.79118],15.3611[2.86057],7,0_11
Pref0,0.803835[0.300957],0.79661[0.302326],0.811728[0.299255],7,0_11
Signal0,0.893805[0.211589],0.90678[0.201854],0.87963[0.220868],7,0_11
Hybridindex,15.4768[2.38676],15.4019[2.29835],15.569[2.4881],8,0_11
Pref0,0.806701[0.296033],0.813084[0.302044],0.798851[0.288274],8,0_11
Signal0,0.93299[0.170337],0.929907[0.17359],0.936782[0.16617],8,0_11
Hybridindex,15.6976[1.94669],15.6579[1.99815],15.7313[1.90116],9,0_11
Pref0,0.834677[0.259666],0.850877[0.228744],0.820896[0.282598],9,0_11
Signal0,0.96371[0.129723],0.964912[0.127721],0.962687[0.131394],9,0_11
Hybridindex,15.75[1.74226],15.75[1.5683],15.75[1.8775],10,0_11
Pref0,0.851351[0.269255],0.838235[0.263478],0.8625[0.273576],10,0_11
Signal0,0.986486[0.0810811],1[0],0.975[0.108972],10,0_11
Hybridindex,15.3152[1.50852],15.3095[1.53899],15.32[1.48243],11,0_11
Pref0,0.826087[0.23814],0.833333[0.235702],0.82[0.24],11,0_11
Signal0,0.98913[0.0729153],0.97619[0.106479],1[0],11,0_11
Hybridindex,15.0606[1.77422],15.2222[2.15524],14.8667[1.13235],12,0_11
Pref0,0.878788[0.247114],0.861111[0.223952],0.9[0.270801],12,0_11
Signal0,1[0],1[0],1[0],12,0_11
Hybridindex,15.1818[1.70257],14.5714[1.63507],15.4667[1.65798],13,0_11
Pref0,0.909091[0.24478],0.857143[0.349927],0.933333[0.169967],13,0_11
Signal0,1[0],1[0],1[0],13,0_11
Hybridindex,14.55[1.49081],13.6667[0.62361],14.9286[1.59079],14,0_11
Pref0,1[0],1[0],1[0],14,0_11
Signal0,1[0],1[0],1[0],14,0_11
Hybridindex,14.6[0.916515],14.75[0.75],14.5[1],15,0_11
Pref0,1[0],1[0],1[0],15,0_11
Signal0,1[0],1[0],1[0],15,0_11
Hybridindex,13.8333[1.06719],14.6667[0.849837],13[0.408248],16,0_11
Pref0,1[0],1[0],1[0],16,0_11
Signal0,1[0],1[0],1[0],16,0_11
Hybridindex,13.1[1.15758],12.3333[0.849837],14.25[0.25],17,0_11
Pref0,1[0],1[0],1[0],17,0_11
Signal0,1[0],1[0],1[0],17,0_11
Hybridindex,13[0],0[0],13[0],18,0_11
Pref0,1[0],0[0],1[0],18,0_11
Signal0,1[0],0[0],1[0],18,0_11
Hybridindex,10.0683[8.6567],10.0227[8.61099],10.1144[8.70233],1,0_12
Pref0,0.503417[0.432835],0.501134[0.430549],0.505721[0.435117],1,0_12
