X2,X3,X4,X5,Generation,Iter
Hybridindex,10.19[8.61185],10.4008[8.54725],9.96929[8.67349],1,0
Pref0,0.5095[0.430592],0.520039[0.427362],0.498465[0.433674],1,0
Signal0,0.5095[0.430592],0.520039[0.427362],0.498465[0.433674],1,0
Hybridindex,10.1293[7.92901],10.1109[7.91799],10.149[7.94081],2,0
Pref0,0.505[0.414095],0.505304[0.416303],0.504673[0.411704],2,0
Signal0,0.505[0.41228],0.502411[0.412841],0.507788[0.411657],2,0
Hybridindex,9.99725[7.23155],10.0451[7.30073],9.9475[7.15865],3,0
Pref0,0.5065[0.406765],0.511776[0.412464],0.501019[0.400686],3,0
Signal0,0.5115[0.407269],0.513739[0.411211],0.509174[0.403119],3,0
Hybridindex,10.382[6.57108],10.5901[6.6056],10.1675[6.52837],4,0
Pref0,0.52375[0.402257],0.531527[0.404398],0.515736[0.399881],4,0
Signal0,0.52975[0.405265],0.543842[0.404164],0.515228[0.405885],4,0
Hybridindex,10.4138[5.86291],10.7122[5.84058],10.1074[5.86997],5,0
Pref0,0.53075[0.388496],0.550346[0.389817],0.510638[0.386104],5,0
Signal0,0.534[0.398552],0.555281[0.397927],0.512158[0.398012],5,0
Hybridindex,10.4733[5.18569],10.5964[5.19523],10.3523[5.17345],6,0
Pref0,0.52975[0.386639],0.534309[0.384925],0.525273[0.388264],6,0
Signal0,0.5485[0.389741],0.562059[0.390262],0.535183[0.388768],6,0
Hybridindex,10.5802[4.60665],10.6528[4.60291],10.5117[4.60912],7,0
Pref0,0.535[0.387008],0.541667[0.386983],0.528696[0.386926],7,0
Signal0,0.5575[0.38268],0.565329[0.387035],0.550097[0.378367],7,0
Hybridindex,10.7082[4.12535],10.5835[4.15916],10.836[4.08648],8,0
Pref0,0.54625[0.378465],0.545455[0.373146],0.547065[0.383835],8,0
Signal0,0.574[0.383763],0.554348[0.38629],0.59413[0.380105],8,0
Hybridindex,10.7665[3.66452],10.7264[3.67901],10.8055[3.64993],9,0
Pref0,0.54825[0.378546],0.54154[0.382358],0.554788[0.374679],9,0
Signal0,0.596[0.375545],0.583587[0.376425],0.608095[0.374289],9,0
Hybridindex,10.9332[3.25241],10.8241[3.23548],11.0457[3.26595],10,0
Pref0,0.56[0.378682],0.564039[0.380352],0.555838[0.376908],10,0
Signal0,0.63825[0.361264],0.629557[0.363634],0.647208[0.358586],10,0
Hybridindex,11.101[2.88068],11.1621[2.87771],11.0377[2.88239],11,0
Pref0,0.57475[0.358172],0.573183[0.355697],0.576375[0.360713],11,0
Signal0,0.68375[0.346209],0.680255[0.347844],0.687373[0.34447],11,0
Hybridindex,11.4047[2.59134],11.4518[2.58287],11.3551[2.59933],12,0
Pref0,0.593[0.370609],0.605648[0.367612],0.579651[0.373282],12,0
Signal0,0.73425[0.326346],0.739533[0.321382],0.728674[0.331414],12,0
Hybridindex,11.657[2.2942],11.6397[2.33323],11.6745[2.25387],13,0
Pref0,0.6085[0.355637],0.605865[0.35387],0.611167[0.357397],13,0
Signal0,0.791[0.300115],0.788767[0.301361],0.79326[0.298832],13,0
Hybridindex,11.7907[2.13497],11.6977[2.10539],11.8874[2.16103],14,0
Pref0,0.63325[0.346583],0.636408[0.339629],0.629969[0.353631],14,0
Signal0,0.85525[0.250843],0.873405[0.238924],0.836391[0.26132],14,0
Hybridindex,11.811[2.03452],11.844[2.04014],11.778[2.02835],15,0
Pref0,0.637[0.346383],0.649[0.342489],0.625[0.349821],15,0
Signal0,0.91175[0.198335],0.912[0.198131],0.9115[0.198539],15,0
Hybridindex,11.7432[2.02681],11.8328[2.02383],11.657[2.02593],16,0
Pref0,0.65525[0.332825],0.668196[0.328323],0.642787[0.336632],16,0
Signal0,0.9495[0.153133],0.950561[0.154287],0.948479[0.152007],16,0
Hybridindex,11.7182[1.98595],11.7558[1.99365],11.6818[1.97776],17,0
Pref0,0.66175[0.331982],0.659898[0.336549],0.663547[0.327479],17,0
Signal0,0.97325[0.112514],0.970051[0.118649],0.976355[0.10613],17,0
Hybridindex,11.7067[1.9846],11.6454[1.98529],11.7707[1.98186],18,0
Pref0,0.65875[0.337525],0.669931[0.338179],0.647089[0.336447],18,0
Signal0,0.985[0.0852936],0.987757[0.0772759],0.982125[0.0928341],18,0
Hybridindex,11.66[2.00054],11.5799[1.92599],11.7337[2.06396],19,0
Pref0,0.65575[0.333717],0.65762[0.33059],0.654031[0.336557],19,0
Signal0,0.991[0.0664756],0.990605[0.0678898],0.991363[0.0651461],19,0
Hybridindex,11.6553[1.92114],11.7103[1.8962],11.6006[1.94402],20,0
Pref0,0.6515[0.336226],0.648594[0.333094],0.654382[0.339279],20,0
Signal0,0.99625[0.0431386],0.99498[0.0498482],0.99751[0.0351969],20,0
Hybridindex,11.6717[1.91053],11.6751[1.9383],11.6682[1.88107],21,0
Pref0,0.6445[0.343322],0.652153[0.344924],0.636503[0.341456],21,0
Signal0,0.998[0.0315595],0.998043[0.0312193],0.997955[0.031911],21,0
Hybridindex,11.71[1.94997],11.7129[1.98776],11.707[1.91105],22,0
Pref0,0.6475[0.339844],0.649254[0.339903],0.645729[0.339774],22,0
Signal0,0.9985[0.027345],0.998507[0.0272771],0.998492[0.0274134],22,0
Hybridindex,11.665[1.94088],11.7111[1.8961],11.6181[1.98435],23,0
Pref0,0.6425[0.337185],0.657582[0.33531],0.627144[0.338394],23,0
Signal0,0.9995[0.0158035],0.999504[0.0157329],0.999495[0.015875],23,0
Hybridindex,11.6623[1.92173],11.7356[1.92191],11.5848[1.9185],24,0
Pref0,0.6355[0.334499],0.629503[0.334303],0.641829[0.33459],24,0
Signal0,0.99975[0.0111775],0.999513[0.0155946],1[0],24,0
Hybridindex,11.6798[1.89936],11.6627[1.87904],11.6974[1.92],25,0
Pref0,0.649[0.344672],0.646018[0.345026],0.652085[0.344279],25,0
Signal0,1[0],1[0],1[0],25,0
Hybridindex,11.6862[1.87968],11.5937[1.86514],11.7793[1.88962],26,0
Pref0,0.6535[0.333448],0.657029[0.341567],0.64995[0.325038],26,0
Signal0,1[0],1[0],1[0],26,0
Hybridindex,11.6922[1.90989],11.6268[1.93358],11.7564[1.88417],27,0
Pref0,0.64475[0.341207],0.639899[0.344325],0.649505[0.338056],27,0
Signal0,1[0],1[0],1[0],27,0
Hybridindex,11.6798[1.88549],11.6602[1.89487],11.6997[1.87564],28,0
Pref0,0.64825[0.337116],0.649357[0.342284],0.647118[0.331745],28,0
Signal0,1[0],1[0],1[0],28,0
Hybridindex,11.642[1.86033],11.6967[1.88984],11.5904[1.83055],29,0
Pref0,0.63575[0.341609],0.632338[0.348964],0.63897[0.334489],29,0
Signal0,1[0],1[0],1[0],29,0
Hybridindex,11.6762[1.75508],11.6724[1.73642],11.6801[1.77325],30,0
Pref0,0.6225[0.343138],0.623488[0.346531],0.621528[0.339764],30,0
Signal0,1[0],1[0],1[0],30,0
Hybridindex,11.7415[1.79963],11.7487[1.85702],11.7345[1.74187],31,0
Pref0,0.62025[0.340095],0.621074[0.341018],0.619447[0.339192],31,0
Signal0,1[0],1[0],1[0],31,0
Hybridindex,11.7178[1.82201],11.7181[1.80001],11.7174[1.84423],32,0
Pref0,0.62375[0.343964],0.619683[0.346693],0.627907[0.341101],32,0
Signal0,1[0],1[0],1[0],32,0
Hybridindex,11.713[1.78987],11.6364[1.8013],11.7891[1.77516],33,0
Pref0,0.62475[0.349374],0.615848[0.356019],0.633599[0.342412],33,0
Signal0,1[0],1[0],1[0],33,0
Hybridindex,11.749[1.79632],11.7639[1.83506],11.735[1.75893],34,0
Pref0,0.62475[0.342144],0.624742[0.338136],0.624757[0.345875],34,0
Signal0,1[0],1[0],1[0],34,0
Hybridindex,11.7257[1.76449],11.7544[1.80803],11.6951[1.71613],35,0
Pref0,0.61325[0.341027],0.617021[0.34327],0.609213[0.338564],35,0
Signal0,1[0],1[0],1[0],35,0
Hybridindex,11.7297[1.77281],11.7232[1.76574],11.7367[1.7802],36,0
Pref0,0.61[0.342637],0.599415[0.340364],0.62115[0.344664],36,0
Signal0,1[0],1[0],1[0],36,0
Hybridindex,11.6873[1.83045],11.6286[1.82443],11.7477[1.83468],37,0
Pref0,0.609[0.35195],0.608867[0.347007],0.609137[0.356972],37,0
Signal0,1[0],1[0],1[0],37,0
Hybridindex,11.6687[1.81381],11.7248[1.80196],11.6158[1.82336],38,0
Pref0,0.602[0.346909],0.612654[0.345331],0.591926[0.348095],38,0
Signal0,1[0],1[0],1[0],38,0
Hybridindex,11.6505[1.79613],11.6381[1.80948],11.6639[1.78149],39,0
Pref0,0.608[0.348692],0.608277[0.348334],0.6077[0.349078],39,0
Signal0,1[0],1[0],1[0],39,0
Hybridindex,11.6735[1.76625],11.7012[1.76337],11.6493[1.76841],40,0
Pref0,0.605[0.344202],0.604077[0.337887],0.605805[0.349617],40,0
Signal0,1[0],1[0],1[0],40,0
Hybridindex,11.7185[1.78697],11.6813[1.83179],11.7574[1.73795],41,0
Pref0,0.6055[0.346222],0.615836[0.344661],0.594678[0.34752],41,0
Signal0,1[0],1[0],1[0],41,0
Hybridindex,11.7372[1.75459],11.8549[1.73055],11.6095[1.77149],42,0
Pref0,0.608[0.34545],0.606148[0.344464],0.61001[0.346506],42,0
Signal0,1[0],1[0],1[0],42,0
Hybridindex,11.702[1.78022],11.7159[1.83863],11.689[1.72354],43,0
Pref0,0.61325[0.34066],0.625[0.336141],0.602229[0.344482],43,0
Signal0,1[0],1[0],1[0],43,0
Hybridindex,11.654[1.75913],11.6387[1.7866],11.6681[1.73332],44,0
Pref0,0.5875[0.341458],0.589155[0.341174],0.585975[0.341713],44,0
Signal0,1[0],1[0],1[0],44,0
Hybridindex,11.722[1.76039],11.6987[1.74457],11.7444[1.77514],45,0
Pref0,0.59675[0.343896],0.599081[0.350673],0.594515[0.337255],45,0
Signal0,1[0],1[0],1[0],45,0
Hybridindex,11.7103[1.75625],11.7512[1.71896],11.669[1.79204],46,0
Pref0,0.58825[0.345813],0.580259[0.347027],0.596289[0.344401],46,0
Signal0,1[0],1[0],1[0],46,0
Hybridindex,11.6705[1.79372],11.6605[1.74859],11.68[1.83557],47,0
Pref0,0.575[0.349464],0.57641[0.349443],0.573659[0.349479],47,0
Signal0,1[0],1[0],1[0],47,0
Hybridindex,11.6915[1.78706],11.6708[1.84094],11.7107[1.73531],48,0
Pref0,0.592[0.351832],0.596573[0.347844],0.587753[0.355443],48,0
Signal0,1[0],1[0],1[0],48,0
Hybridindex,11.6807[1.78828],11.6313[1.75316],11.7296[1.82101],49,0
Pref0,0.5925[0.35312],0.591046[0.35107],0.593936[0.355129],49,0
Signal0,1[0],1[0],1[0],49,0
Hybridindex,11.6895[1.82759],11.6554[1.82215],11.72[1.83189],50,0
Pref0,0.59625[0.345125],0.597561[0.338458],0.59508[0.350961],50,0
Signal0,1[0],1[0],1[0],50,0
Hybridindex,11.6598[1.81111],11.6831[1.78859],11.6376[1.83199],51,0
Pref0,0.5855[0.354528],0.595897[0.353421],0.57561[0.355295],51,0
Signal0,1[0],1[0],1[0],51,0
Hybridindex,11.6568[1.8014],11.5846[1.821],11.7305[1.77812],52,0
Pref0,0.5865[0.351806],0.579624[0.347864],0.593529[0.355654],52,0
Signal0,1[0],1[0],1[0],52,0
Hybridindex,11.6013[1.80876],11.5477[1.81945],11.6532[1.7968],53,0
Pref0,0.594[0.340461],0.6[0.334026],0.588177[0.346493],53,0
Signal0,1[0],1[0],1[0],53,0
Hybridindex,11.6045[1.7612],11.6488[1.76434],11.5604[1.75696],54,0
Pref0,0.59375[0.344726],0.58517[0.345687],0.602295[0.343553],54,0
Signal0,1[0],1[0],1[0],54,0
Hybridindex,11.5772[1.75311],11.5286[1.71107],11.6274[1.79403],55,0
Pref0,0.60075[0.343474],0.610837[0.34209],0.590355[0.344586],55,0
Signal0,1[0],1[0],1[0],55,0
Hybridindex,11.593[1.7978],11.5684[1.74142],11.6173[1.85151],56,0
Pref0,0.5955[0.344427],0.593561[0.350766],0.597416[0.338035],56,0
Signal0,1[0],1[0],1[0],56,0
Hybridindex,11.5845[1.81407],11.5921[1.81112],11.5772[1.81686],57,0
Pref0,0.58[0.344746],0.58393[0.344748],0.576246[0.344703],57,0
Signal0,1[0],1[0],1[0],57,0
Hybridindex,11.5322[1.75523],11.5287[1.71393],11.5356[1.79355],58,0
Pref0,0.58125[0.343181],0.584189[0.34226],0.57846[0.34403],58,0
Signal0,1[0],1[0],1[0],58,0
Hybridindex,11.5433[1.77764],11.5674[1.78709],11.5187[1.76763],59,0
Pref0,0.582[0.346808],0.592666[0.344985],0.57114[0.34832],59,0
Signal0,1[0],1[0],1[0],59,0
Hybridindex,11.5395[1.78043],11.576[1.80873],11.501[1.7493],60,0
Pref0,0.5815[0.34294],0.586745[0.343102],0.575975[0.342682],60,0
Signal0,1[0],1[0],1[0],60,0
Hybridindex,11.517[1.76003],11.4922[1.78489],11.5402[1.73612],61,0
Pref0,0.5815[0.344395],0.566184[0.342242],0.595837[0.345784],61,0
Signal0,1[0],1[0],1[0],61,0
Hybridindex,11.4935[1.78996],11.5445[1.79312],11.4425[1.78534],62,0
Pref0,0.57475[0.351479],0.585[0.344637],0.5645[0.357896],62,0
Signal0,1[0],1[0],1[0],62,0
Hybridindex,11.51[1.78105],11.502[1.80326],11.518[1.75848],63,0
Pref0,0.56175[0.348657],0.565435[0.338156],0.558058[0.358833],63,0
Signal0,1[0],1[0],1[0],63,0
Hybridindex,11.532[1.77299],11.5066[1.82728],11.5569[1.71785],64,0
Pref0,0.56975[0.350014],0.569262[0.349788],0.570227[0.350235],64,0
Signal0,1[0],1[0],1[0],64,0
Hybridindex,11.5415[1.74607],11.4863[1.7199],11.5911[1.76777],65,0
Pref0,0.579[0.349298],0.585624[0.342643],0.573055[0.355059],65,0
Signal0,1[0],1[0],1[0],65,0
Hybridindex,11.4938[1.74731],11.4878[1.719],11.4995[1.77406],66,0
Pref0,0.57825[0.351428],0.576531[0.349577],0.579902[0.35319],66,0
Signal0,1[0],1[0],1[0],66,0
Hybridindex,11.5085[1.76456],11.522[1.79624],11.495[1.73233],67,0
Pref0,0.58075[0.353701],0.568136[0.345116],0.593313[0.361613],67,0
Signal0,1[0],1[0],1[0],67,0
Hybridindex,11.3837[1.76702],11.4424[1.74403],11.3262[1.7874],68,0
Pref0,0.57575[0.348406],0.571212[0.348488],0.580198[0.348269],68,0
Signal0,1[0],1[0],1[0],68,0
Hybridindex,11.3358[1.78477],11.39[1.72798],11.2805[1.83915],69,0
Pref0,0.5755[0.351496],0.586224[0.351971],0.564581[0.350676],69,0
Signal0,1[0],1[0],1[0],69,0
Hybridindex,11.3175[1.80588],11.3499[1.7804],11.2847[1.83072],70,0
Pref0,0.578[0.349165],0.584493[0.348696],0.571429[0.349516],70,0
Signal0,1[0],1[0],1[0],70,0
Hybridindex,11.3217[1.77935],11.3758[1.75374],11.2692[1.80237],71,0
Pref0,0.592[0.345378],0.586714[0.347894],0.59714[0.342836],71,0
Signal0,1[0],1[0],1[0],71,0
Hybridindex,11.2427[1.74662],11.2092[1.76374],11.2738[1.73006],72,0
Pref0,0.59525[0.346486],0.610302[0.341856],0.581328[0.350138],72,0
Signal0,1[0],1[0],1[0],72,0
Hybridindex,11.2425[1.73333],11.1901[1.69042],11.2968[1.77509],73,0
Pref0,0.60075[0.347454],0.590864[0.335147],0.610998[0.359482],73,0
Signal0,1[0],1[0],1[0],73,0
Hybridindex,11.2178[1.69763],11.2322[1.7381],11.2041[1.65843],74,0
Pref0,0.59625[0.350158],0.584449[0.350922],0.607386[0.34907],74,0
Signal0,1[0],1[0],1[0],74,0
Hybridindex,11.236[1.74787],11.1878[1.67302],11.2831[1.81674],75,0
Pref0,0.58325[0.351702],0.58249[0.35502],0.583992[0.348431],75,0
Signal0,1[0],1[0],1[0],75,0
Hybridindex,11.2532[1.71653],11.2249[1.6928],11.2814[1.7393],76,0
Pref0,0.5845[0.344035],0.583835[0.348188],0.585159[0.339863],76,0
Signal0,1[0],1[0],1[0],76,0
Hybridindex,11.2417[1.74891],11.2234[1.74252],11.261[1.75537],77,0
Pref0,0.5965[0.343056],0.599707[0.34082],0.593142[0.345351],77,0
Signal0,1[0],1[0],1[0],77,0
Hybridindex,11.2148[1.75293],11.2723[1.74393],11.161[1.75959],78,0
Pref0,0.60075[0.345651],0.585404[0.343083],0.615087[0.34742],78,0
Signal0,1[0],1[0],1[0],78,0
Hybridindex,11.1435[1.76236],11.1305[1.7927],11.1576[1.72864],79,0
Pref0,0.6[0.349285],0.599328[0.347695],0.600731[0.351004],79,0
Signal0,1[0],1[0],1[0],79,0
Hybridindex,11.2372[1.82088],11.2139[1.85032],11.2601[1.79131],80,0
Pref0,0.59675[0.34607],0.584429[0.340552],0.608803[0.350965],80,0
Signal0,1[0],1[0],1[0],80,0
Hybridindex,11.2127[1.7461],11.1939[1.74279],11.2324[1.74933],81,0
Pref0,0.60575[0.345604],0.60284[0.34383],0.608784[0.347418],81,0
Signal0,1[0],1[0],1[0],81,0
Hybridindex,11.1222[1.72849],11.1408[1.76712],11.103[1.68721],82,0
Pref0,0.594[0.353432],0.588813[0.35747],0.599388[0.349106],82,0
Signal0,1[0],1[0],1[0],82,0
Hybridindex,11.1613[1.78588],11.1732[1.78067],11.1481[1.79155],83,0
Pref0,0.596[0.353248],0.576594[0.35851],0.617492[0.34606],83,0
Signal0,1[0],1[0],1[0],83,0
Hybridindex,11.2065[1.74208],11.2323[1.735],11.1826[1.74829],84,0
Pref0,0.59775[0.349027],0.598233[0.3524],0.597303[0.345871],84,0
Signal0,1[0],1[0],1[0],84,0
Hybridindex,11.1655[1.69473],11.1625[1.72063],11.1685[1.66858],85,0
Pref0,0.6015[0.341976],0.590772[0.336712],0.612164[0.346801],85,0
Signal0,1[0],1[0],1[0],85,0
Hybridindex,11.1725[1.72685],11.1277[1.66014],11.2158[1.78789],86,0
Pref0,0.59875[0.346227],0.590539[0.34195],0.606686[0.350129],86,0
Signal0,1[0],1[0],1[0],86,0
Hybridindex,11.0988[1.71461],11.0581[1.69902],11.1385[1.7288],87,0
Pref0,0.5895[0.343496],0.578868[0.342253],0.599901[0.344391],87,0
Signal0,1[0],1[0],1[0],87,0
Hybridindex,11.0633[1.70569],11.101[1.73837],11.0228[1.66898],88,0
Pref0,0.582[0.353236],0.589855[0.350491],0.573575[0.355965],88,0
Signal0,1[0],1[0],1[0],88,0
Hybridindex,11.0922[1.71904],11.1222[1.72963],11.0649[1.7089],89,0
Pref0,0.57175[0.350681],0.575551[0.349727],0.56829[0.351511],89,0
Signal0,1[0],1[0],1[0],89,0
Hybridindex,11.106[1.7172],11.115[1.73536],11.0971[1.69912],90,0
Pref0,0.56925[0.346885],0.557013[0.343645],0.581269[0.349622],90,0
Signal0,1[0],1[0],1[0],90,0
Hybridindex,11.1605[1.74069],11.1958[1.66746],11.1267[1.80734],91,0
Pref0,0.56925[0.346525],0.561861[0.349565],0.576321[0.343441],91,0
Signal0,1[0],1[0],1[0],91,0
Hybridindex,11.1508[1.7743],11.2204[1.75751],11.0871[1.78714],92,0
Pref0,0.5745[0.347419],0.574869[0.344587],0.574163[0.349986],92,0
Signal0,1[0],1[0],1[0],92,0
Hybridindex,11.1273[1.69239],11.1886[1.70195],11.0636[1.68005],93,0
Pref0,0.5715[0.345887],0.580059[0.340064],0.562627[0.351602],93,0
Signal0,1[0],1[0],1[0],93,0
Hybridindex,11.11[1.68223],11.0968[1.65832],11.1235[1.70627],94,0
Pref0,0.57325[0.350727],0.562747[0.356705],0.584008[0.344164],94,0
Signal0,1[0],1[0],1[0],94,0
Hybridindex,11.0925[1.69719],11.1484[1.69351],11.0419[1.69892],95,0
Pref0,0.56525[0.350525],0.577895[0.351292],0.55381[0.349435],95,0
Signal0,1[0],1[0],1[0],95,0
Hybridindex,11.0817[1.72313],11.0463[1.71635],11.1152[1.72885],96,0
Pref0,0.56425[0.345683],0.587539[0.346468],0.542274[0.343496],96,0
Signal0,1[0],1[0],1[0],96,0
Hybridindex,11.0683[1.72626],10.9835[1.74358],11.1527[1.70465],97,0
Pref0,0.561[0.355358],0.559619[0.357012],0.562375[0.353697],97,0
Signal0,1[0],1[0],1[0],97,0
Hybridindex,11.0772[1.73296],11.0273[1.75299],11.1296[1.71013],98,0
Pref0,0.56225[0.349285],0.565918[0.349107],0.558402[0.34943],98,0
