X2,X3,X4,X5,Generation,Iter
Hybridindex,10.2788[9.9353],10.5623[9.93508],10[9.92762],1,0
Pref0,0.513939[0.496765],0.528117[0.496754],0.5[0.496381],1,0
Signal0,0.513939[0.496765],0.528117[0.496754],0.5[0.496381],1,0
Hybridindex,10.5544[9.79653],10.8926[9.76298],10.2074[9.81874],2,0
Pref0,0.524673[0.488742],0.54298[0.487245],0.505882[0.489562],2,0
Signal0,0.526125[0.490889],0.54298[0.487245],0.508824[0.494004],2,0
Hybridindex,10.8192[9.75004],10.6512[9.78993],11.008[9.70154],3,0
Pref0,0.532957[0.491305],0.52669[0.492108],0.54[0.490306],3,0
Signal0,0.537665[0.488564],0.533808[0.489857],0.542[0.487069],3,0
Hybridindex,10.9743[9.7492],11.215[9.78756],10.7196[9.70194],4,0
Pref0,0.546272[0.493315],0.56[0.496387],0.531746[0.489625],4,0
Signal0,0.547558[0.488611],0.5575[0.490351],0.537037[0.486542],4,0
Hybridindex,10.1685[9.71001],9.43885[9.67353],10.9609[9.68742],5,0
Pref0,0.501873[0.494347],0.464029[0.493265],0.542969[0.492234],5,0
Signal0,0.503745[0.491487],0.47482[0.488441],0.535156[0.492854],5,0
Hybridindex,12.1287[9.53187],10.5424[9.80457],13.3442[9.13295],6,0
Pref0,0.599265[0.476738],0.525424[0.490794],0.655844[0.457689],6,0
Signal0,0.599265[0.484388],0.516949[0.495455],0.662338[0.465997],6,0
Hybridindex,11.1782[9.12681],11.0957[8.85921],11.275[9.43063],7,0
Pref0,0.557471[0.469931],0.553191[0.463957],0.5625[0.476806],7,0
Signal0,0.557471[0.469931],0.542553[0.470737],0.575[0.468375],7,0
Hybridindex,8.61017[8.76872],9.03448[8.88328],8.2[8.63674],8,0
Pref0,0.423729[0.467717],0.431034[0.486439],0.416667[0.448764],8,0
Signal0,0.440678[0.470167],0.448276[0.47967],0.433333[0.460676],8,0
Hybridindex,6.70408[8.2313],4.77083[6.92516],8.56[8.92896],9,0
Pref0,0.316327[0.459524],0.1875[0.376732],0.44[0.496387],9,0
Signal0,0.336735[0.456112],0.229167[0.407716],0.44[0.475815],9,0
Hybridindex,11.1034[8.71026],10.5[8.92705],11.5938[8.49856],10,0
Pref0,0.534483[0.472175],0.5[0.480384],0.5625[0.463512],10,0
Signal0,0.568966[0.486439],0.538462[0.498519],0.59375[0.474959],10,0
Hybridindex,8.6875[8.66183],10.8571[8.60529],7[8.32333],11,0
Pref0,0.46875[0.483113],0.571429[0.494872],0.388889[0.458123],11,0
Signal0,0.46875[0.483113],0.571429[0.494872],0.388889[0.458123],11,0
Hybridindex,13.375[7.89811],9[8.75357],15.5625[6.39549],12,0
Pref0,0.708333[0.431003],0.5[0.5],0.8125[0.347985],12,0
Signal0,0.708333[0.431003],0.5[0.5],0.8125[0.347985],12,0
Hybridindex,18.2353[1.28473],17.8333[1.35401],18.6875[1.02888],13,0
Pref0,1[0],1[0],1[0],13,0
Signal0,1[0],1[0],1[0],13,0
Hybridindex,17.9375[1.28544],18.5[0],17.8571[1.35526],14,0
Pref0,1[0],1[0],1[0],14,0
Signal0,1[0],1[0],1[0],14,0
Hybridindex,17.3636[1.34993],17.6[1.28062],17.1667[1.37437],15,0
Pref0,1[0],1[0],1[0],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,15.6[1.59374],15.6[1.59374],0[0],16,0
Pref0,1[0],1[0],0[0],16,0
Signal0,1[0],1[0],0[0],16,0
Hybridindex,10.2983[9.95368],10.3883[9.94376],10.2113[9.96249],1,0_1
Pref0,0.514916[0.497684],0.519417[0.497188],0.510563[0.498124],1,0_1
Signal0,0.514916[0.497684],0.519417[0.497188],0.510563[0.498124],1,0_1
Hybridindex,10.7163[9.88775],11.2577[9.81178],10.2419[9.92962],2,0_1
Pref0,0.535817[0.494388],0.562883[0.490589],0.512097[0.496481],2,0_1
Signal0,0.535817[0.494388],0.562883[0.490589],0.512097[0.496481],2,0_1
Hybridindex,10.4958[9.87521],10.9834[9.82469],9.98969[9.90201],3,0_1
Pref0,0.523609[0.494778],0.548013[0.493514],0.498282[0.494816],3,0_1
Signal0,0.525295[0.495546],0.551325[0.491499],0.498282[0.498276],3,0_1
Hybridindex,9.56237[9.8497],9.89516[9.88743],9.18203[9.79256],4,0_1
Pref0,0.47957[0.495259],0.495968[0.495935],0.460829[0.493819],4,0_1
Signal0,0.478495[0.49467],0.493952[0.49693],0.460829[0.491481],4,0_1
Hybridindex,10.0212[9.83196],9.33333[9.81127],10.5974[9.81221],5,0_1
Pref0,0.5[0.497343],0.465116[0.494881],0.529221[0.497517],5,0_1
Signal0,0.5053[0.494643],0.476744[0.493604],0.529221[0.494243],5,0_1
Hybridindex,10.3668[9.84347],10.9408[9.82812],9.96296[9.83421],6,0_1
Pref0,0.521739[0.4968],0.552632[0.497222],0.5[0.495349],6,0_1
Signal0,0.516304[0.494267],0.546053[0.49456],0.49537[0.492985],6,0_1
Hybridindex,9.74603[9.82763],10.0507[9.76245],9.37719[9.89341],7,0_1
Pref0,0.492063[0.495952],0.507246[0.492647],0.473684[0.499307],7,0_1
Signal0,0.480159[0.489577],0.485507[0.481325],0.473684[0.499307],7,0_1
Hybridindex,12.0329[9.72258],13.1316[9.47065],10.9342[9.8463],8,0_1
Pref0,0.605263[0.488794],0.657895[0.474415],0.552632[0.497222],8,0_1
Signal0,0.605263[0.488794],0.657895[0.474415],0.552632[0.497222],8,0_1
Hybridindex,12.7692[9.55809],14.2381[9.00743],11.0556[9.89092],9,0_1
Pref0,0.641026[0.4797],0.714286[0.451754],0.555556[0.496904],9,0_1
Signal0,0.641026[0.4797],0.714286[0.451754],0.555556[0.496904],9,0_1
Hybridindex,12.6364[9.55627],11.5[9.7254],14[9.16515],10,0_1
Pref0,0.636364[0.481046],0.583333[0.493007],0.7[0.458258],10,0_1
Signal0,0.636364[0.481046],0.583333[0.493007],0.7[0.458258],10,0_1
Hybridindex,13.7692[9.18321],15.4444[8.26117],10[10],11,0_1
Pref0,0.692308[0.461538],0.777778[0.41574],0.5[0.5],11,0_1
Signal0,0.692308[0.461538],0.777778[0.41574],0.5[0.5],11,0_1
Hybridindex,0[0],0[0],0[0],12,0_1
Pref0,0[0],0[0],0[0],12,0_1
Signal0,0[0],0[0],0[0],12,0_1
Hybridindex,9.55368[9.92948],9.43925[9.93735],9.67581[9.91961],1,0_10
Pref0,0.477684[0.496474],0.471963[0.496868],0.483791[0.49598],1,0_10
Signal0,0.477684[0.496474],0.471963[0.496868],0.483791[0.49598],1,0_10
Hybridindex,9.7414[9.91682],9.68698[9.94077],9.7997[9.89076],2,0_10
Pref0,0.487106[0.496238],0.48338[0.497641],0.491098[0.4947],2,0_10
Signal0,0.48639[0.49802],0.484765[0.496989],0.488131[0.499116],2,0_10
Hybridindex,8.91494[9.78482],9.32839[9.79489],8.51829[9.75871],3,0_10
Pref0,0.448133[0.489947],0.470339[0.488392],0.426829[0.490491],3,0_10
Signal0,0.442946[0.490958],0.461864[0.492128],0.424797[0.489145],3,0_10
Hybridindex,9.22012[9.88175],8.62187[9.86625],9.74317[9.86561],4,0_10
Pref0,0.460641[0.492565],0.428125[0.493226],0.489071[0.490222],4,0_10
Signal0,0.459184[0.497599],0.43125[0.495251],0.483607[0.498362],4,0_10
Hybridindex,9.97393[9.82998],10.024[9.90954],9.92523[9.75178],5,0_10
Pref0,0.5[0.491636],0.5[0.495169],0.5[0.488178],5,0_10
Signal0,0.49763[0.495232],0.504808[0.497567],0.490654[0.492852],5,0_10
Hybridindex,9.88618[9.84799],10.2656[9.95182],9.47458[9.71737],6,0_10
Pref0,0.504065[0.491786],0.523438[0.495524],0.483051[0.486827],6,0_10
Signal0,0.495935[0.495902],0.515625[0.499756],0.474576[0.490794],6,0_10
Hybridindex,7.33133[9.50056],6.33333[9.06694],8.21591[9.78426],7,0_10
Pref0,0.373494[0.477464],0.307692[0.461538],0.431818[0.483723],7,0_10
Signal0,0.36747[0.478982],0.320513[0.459754],0.409091[0.491666],7,0_10
Hybridindex,6.67[9.1802],4.48[8.0056],8.86[9.74014],8,0_10
Pref0,0.35[0.460977],0.24[0.402989],0.46[0.488262],8,0_10
Signal0,0.33[0.464866],0.22[0.401995],0.44[0.496387],8,0_10
Hybridindex,10.4688[9.63793],12.3077[9.73009],9.21053[9.36864],9,0_10
Pref0,0.53125[0.483113],0.615385[0.486504],0.473684[0.47222],9,0_10
Signal0,0.515625[0.491877],0.615385[0.486504],0.447368[0.48381],9,0_10
Hybridindex,7.76471[8.93295],9.71429[8.56011],6.4[8.93532],10,0_10
Pref0,0.411765[0.461306],0.5[0.46291],0.35[0.45],10,0_10
Signal0,0.352941[0.446051],0.428571[0.416497],0.3[0.458258],10,0_10
Hybridindex,6.83333[9.32142],5[8.66025],8.3[9.5687],11,0_10
Pref0,0.333333[0.471405],0.25[0.433013],0.4[0.489898],11,0_10
Signal0,0.333333[0.471405],0.25[0.433013],0.4[0.489898],11,0_10
Hybridindex,5.375[8.46592],5.375[8.46592],0[0],12,0_10
Pref0,0.25[0.433013],0.25[0.433013],0[0],12,0_10
Signal0,0.25[0.433013],0.25[0.433013],0[0],12,0_10
Hybridindex,9.85542[9.92639],9.3662[9.92092],10.3713[9.90603],1,0_100
Pref0,0.492771[0.49632],0.46831[0.496046],0.518564[0.495302],1,0_100
Signal0,0.492771[0.49632],0.46831[0.496046],0.518564[0.495302],1,0_100
Hybridindex,11.009[9.80716],11.2427[9.77396],10.7616[9.83614],2,0_100
Pref0,0.548872[0.490759],0.55848[0.489153],0.5387[0.49225],2,0_100
Signal0,0.550376[0.490607],0.561404[0.488794],0.5387[0.49225],2,0_100
Hybridindex,10.8227[9.82897],11.4128[9.7841],10.2352[9.83834],3,0_100
Pref0,0.540046[0.493781],0.566514[0.492073],0.513699[0.494069],3,0_100
Signal0,0.543478[0.492911],0.573394[0.489925],0.513699[0.494069],3,0_100
Hybridindex,9.92994[9.77672],10.4277[9.76321],9.41935[9.76423],4,0_100
Pref0,0.498408[0.49278],0.522013[0.49318],0.474194[0.491192],4,0_100
Signal0,0.498408[0.487909],0.525157[0.484991],0.470968[0.489367],4,0_100
Hybridindex,9.27326[9.77082],8.92353[9.71642],9.61494[9.81165],5,0_100
Pref0,0.462209[0.491227],0.441176[0.487562],0.482759[0.493919],5,0_100
Signal0,0.468023[0.494588],0.447059[0.491238],0.488506[0.496985],5,0_100
Hybridindex,9.45327[9.71739],9.52344[9.6915],9.34884[9.75486],6,0_100
Pref0,0.46729[0.489473],0.46875[0.483113],0.465116[0.498782],6,0_100
Signal0,0.476636[0.494754],0.476562[0.495524],0.476744[0.493604],6,0_100
Hybridindex,8.37097[9.3894],7.25[9.02341],9.56667[9.62179],7,0_100
Pref0,0.403226[0.47382],0.328125[0.443871],0.483333[0.491313],7,0_100
Signal0,0.41129[0.487953],0.359375[0.471606],0.466667[0.498888],7,0_100
Hybridindex,7.87805[9.3403],7.4375[9.09935],8.5[9.63602],8,0_100
Pref0,0.365854[0.468839],0.333333[0.448764],0.411765[0.492153],8,0_100
Signal0,0.378049[0.478571],0.354167[0.467243],0.411765[0.492153],8,0_100
Hybridindex,7.44118[9.28928],10.5[9.51315],5.77273[8.72396],9,0_100
Pref0,0.323529[0.451832],0.416667[0.448764],0.272727[0.445362],9,0_100
Signal0,0.352941[0.477885],0.5[0.5],0.272727[0.445362],9,0_100
Hybridindex,2.8125[6.51411],6.83333[9.31248],0.4[0.583095],10,0_100
Pref0,0.125[0.330719],0.333333[0.471405],0[0],10,0_100
Signal0,0.125[0.330719],0.333333[0.471405],0[0],10,0_100
Hybridindex,0.333333[0.235702],0.5[0],0.25[0.25],11,0_100
Pref0,0[0],0[0],0[0],11,0_100
Signal0,0[0],0[0],0[0],11,0_100
Hybridindex,0.25[0.25],0[0],0.5[0],12,0_100
Pref0,0[0],0[0],0[0],12,0_100
Signal0,0[0],0[0],0[0],12,0_100
Hybridindex,0[0],0[0],0[0],13,0_100
Pref0,0[0],0[0],0[0],13,0_100
Signal0,0[0],0[0],0[0],13,0_100
Hybridindex,10.4096[9.94024],10.3881[9.93518],10.4308[9.94522],1,0_11
Pref0,0.520478[0.497012],0.519406[0.496759],0.521542[0.497261],1,0_11
Signal0,0.520478[0.497012],0.519406[0.496759],0.521542[0.497261],1,0_11
Hybridindex,11.2222[9.86066],10.9098[9.91846],11.5452[9.79007],2,0_11
Pref0,0.560417[0.493882],0.543716[0.496712],0.577684[0.490341],2,0_11
Signal0,0.560417[0.494584],0.545082[0.497277],0.576271[0.491282],2,0_11
Hybridindex,11.3653[9.767],10.171[9.82228],12.4628[9.5856],3,0_11
Pref0,0.566901[0.489247],0.507353[0.492537],0.621622[0.47973],3,0_11
Signal0,0.566021[0.49161],0.503676[0.494441],0.623311[0.481934],3,0_11
Hybridindex,12.6699[9.47709],12.8571[9.35293],12.506[9.58141],4,0_11
Pref0,0.632258[0.473187],0.640553[0.46768],0.625[0.477835],4,0_11
Signal0,0.632258[0.478834],0.642857[0.473108],0.622984[0.483598],4,0_11
Hybridindex,12.8718[9.32503],13.6292[9.03878],12.1102[9.54386],5,0_11
Pref0,0.638028[0.469452],0.679775[0.454362],0.596045[0.480508],5,0_11
Signal0,0.642254[0.471934],0.682584[0.454787],0.601695[0.485202],5,0_11
Hybridindex,11.7888[9.58624],12.0315[9.49615],11.5053[9.68273],6,0_11
Pref0,0.582524[0.485704],0.594595[0.481708],0.568421[0.489954],6,0_11
Signal0,0.592233[0.483954],0.599099[0.483138],0.584211[0.484782],6,0_11
Hybridindex,13.0636[9.26654],13.7604[8.75951],12.5242[9.60613],7,0_11
Pref0,0.645455[0.468777],0.677083[0.450574],0.620968[0.480973],7,0_11
Signal0,0.659091[0.466768],0.697917[0.441819],0.629032[0.483064],7,0_11
Hybridindex,13.6286[9.01811],13.5179[9.0529],13.7024[8.99409],8,0_11
Pref0,0.685714[0.464231],0.678571[0.467025],0.690476[0.462297],8,0_11
Signal0,0.685714[0.464231],0.678571[0.467025],0.690476[0.462297],8,0_11
Hybridindex,15.2614[8.05696],15.2955[7.91526],15.2273[8.19607],9,0_11
Pref0,0.772727[0.41907],0.772727[0.41907],0.772727[0.41907],9,0_11
Signal0,0.772727[0.41907],0.772727[0.41907],0.772727[0.41907],9,0_11
Hybridindex,14.9032[8.15715],14.6[8.24459],15.1875[8.06395],10,0_11
Pref0,0.741935[0.43757],0.733333[0.442217],0.75[0.433013],10,0_11
Signal0,0.741935[0.43757],0.733333[0.442217],0.75[0.433013],10,0_11
Hybridindex,13.2143[8.54341],9.57143[9.03338],16.8571[6.15116],11,0_11
Pref0,0.642857[0.479157],0.428571[0.494872],0.857143[0.349927],11,0_11
Signal0,0.642857[0.479157],0.428571[0.494872],0.857143[0.349927],11,0_11
Hybridindex,20[0],20[0],20[0],12,0_11
Pref0,1[0],1[0],1[0],12,0_11
Signal0,1[0],1[0],1[0],12,0_11
Hybridindex,20[0],20[0],20[0],13,0_11
Pref0,1[0],1[0],1[0],13,0_11
Signal0,1[0],1[0],1[0],13,0_11
Hybridindex,20[0],20[0],0[0],14,0_11
Pref0,1[0],1[0],0[0],14,0_11
Signal0,1[0],1[0],0[0],14,0_11
Hybridindex,10.4935[9.97015],9.6875[9.98308],11.2644[9.89655],1,0_12
Pref0,0.524677[0.498508],0.484375[0.499154],0.563218[0.494827],1,0_12
Signal0,0.524677[0.498508],0.484375[0.499154],0.563218[0.494827],1,0_12
Hybridindex,11.3495[9.82503],11.264[9.8131],11.4266[9.83514],2,0_12
Pref0,0.566578[0.491162],0.561798[0.490472],0.570886[0.491742],2,0_12
Signal0,0.567244[0.49141],0.563202[0.491009],0.570886[0.491742],2,0_12
Hybridindex,10.9671[9.87801],10.9343[9.869],10.9967[9.88603],3,0_12
Pref0,0.547578[0.493805],0.54562[0.493312],0.549342[0.494243],3,0_12
Signal0,0.548443[0.494159],0.547445[0.494064],0.549342[0.494243],3,0_12
Hybridindex,10.378[9.85776],9.99215[9.8444],10.7085[9.85718],4,0_12
