X2,X3,X4,X5,Generation,Iter
Hybridindex,9.985[9.95238],10.5397[9.92628],9.40877[9.9467],1,0
Pref0,0.49925[0.497619],0.526987[0.496314],0.470438[0.497335],1,0
Signal0,0.49925[0.497619],0.526987[0.496314],0.470438[0.497335],1,0
Hybridindex,9.21[9.90465],9.11241[9.89943],9.30433[9.90878],2,0
Pref0,0.4605[0.495923],0.455748[0.495478],0.465093[0.49631],2,0
Signal0,0.4605[0.495166],0.455748[0.494964],0.465093[0.495318],2,0
Hybridindex,8.8915[9.83754],8.65845[9.80111],9.12177[9.86801],3,0
Pref0,0.444[0.493066],0.433099[0.491171],0.454771[0.494696],3,0
Signal0,0.4445[0.492615],0.434105[0.489768],0.454771[0.495198],3,0
Hybridindex,9.015[9.86162],9.22696[9.88976],8.79919[9.82819],4,0
Pref0,0.45025[0.494621],0.460357[0.496184],0.43996[0.492812],4,0
Signal0,0.44925[0.494519],0.459366[0.495104],0.438951[0.493711],4,0
Hybridindex,9.2325[9.86244],9.00363[9.85889],9.44589[9.86096],5,0
Pref0,0.46125[0.495604],0.449741[0.49538],0.471981[0.495572],5,0
Signal0,0.4605[0.495671],0.449741[0.49538],0.470531[0.495732],5,0
Hybridindex,9.729[9.8278],9.8946[9.82706],9.56925[9.82586],6,0
Pref0,0.48825[0.494456],0.497963[0.494878],0.47888[0.493868],6,0
Signal0,0.48725[0.495189],0.495927[0.49538],0.47888[0.494862],6,0
Hybridindex,9.4035[9.75074],9.65531[9.75327],9.15269[9.74176],7,0
Pref0,0.47175[0.493282],0.485972[0.492736],0.457585[0.493417],7,0
Signal0,0.46875[0.493101],0.480461[0.492803],0.457086[0.493121],7,0
Hybridindex,9.319[9.71925],9.44461[9.73566],9.19289[9.7011],8,0
Pref0,0.46625[0.492682],0.473054[0.49324],0.459419[0.492027],8,0
Signal0,0.46675[0.491955],0.47505[0.491826],0.458417[0.491943],8,0
Hybridindex,9.17675[9.64218],8.75871[9.56362],9.59899[9.70261],9,0
Pref0,0.46075[0.491767],0.438308[0.488347],0.483417[0.494163],9,0
Signal0,0.4585[0.489926],0.436816[0.486369],0.480402[0.492525],9,0
Hybridindex,9.509[9.65761],9.40481[9.63657],9.6085[9.67661],10,0
Pref0,0.47675[0.493543],0.469294[0.493124],0.483871[0.493837],10,0
Signal0,0.47625[0.493266],0.468782[0.491793],0.483382[0.494562],10,0
Hybridindex,9.38775[9.61524],9.17832[9.64233],9.5976[9.58343],11,0
Pref0,0.4715[0.493394],0.461039[0.493191],0.481982[0.493375],11,0
Signal0,0.47075[0.493224],0.461039[0.493697],0.48048[0.492557],11,0
Hybridindex,9.6305[9.57532],9.8371[9.53556],9.43476[9.60873],12,0
Pref0,0.48475[0.493601],0.497945[0.49301],0.472249[0.493837],12,0
Signal0,0.48175[0.492993],0.492292[0.492693],0.471762[0.493069],12,0
Hybridindex,9.2195[9.49454],9.40166[9.49816],9.02914[9.48702],13,0
Pref0,0.4655[0.49225],0.478963[0.491909],0.451431[0.492212],13,0
Signal0,0.4595[0.491029],0.469178[0.490895],0.449387[0.490966],13,0
Hybridindex,9.31625[9.47442],9.37487[9.45568],9.26137[9.4916],14,0
Pref0,0.468[0.491656],0.473113[0.491185],0.463214[0.492049],14,0
Signal0,0.4645[0.491925],0.467942[0.491401],0.461278[0.492392],14,0
Hybridindex,9.25825[9.41358],9.04577[9.38339],9.46819[9.43862],15,0
Pref0,0.462[0.4897],0.453219[0.48837],0.470676[0.490856],15,0
Signal0,0.459[0.490988],0.448189[0.490433],0.469682[0.491301],15,0
Hybridindex,9.49525[9.33695],9.21145[9.28697],9.81336[9.38245],16,0
Pref0,0.47475[0.490905],0.461684[0.488949],0.489396[0.492676],16,0
Signal0,0.47025[0.491162],0.454115[0.489265],0.488335[0.492652],16,0
Hybridindex,9.76325[9.34095],9.8335[9.321],9.6913[9.36079],17,0
Pref0,0.487[0.491763],0.490613[0.491188],0.4833[0.492324],17,0
Signal0,0.488[0.492551],0.491601[0.492211],0.484312[0.492871],17,0
Hybridindex,9.443[9.26045],9.31483[9.26781],9.57587[9.25095],18,0
Pref0,0.4695[0.490734],0.46169[0.491085],0.477597[0.490238],18,0
Signal0,0.4705[0.491813],0.464637[0.490306],0.476578[0.493297],18,0
Hybridindex,9.849[9.2423],9.5823[9.21343],10.0982[9.26226],19,0
Pref0,0.4915[0.492116],0.480849[0.492065],0.501451[0.491954],19,0
Signal0,0.48875[0.492695],0.474638[0.491784],0.501934[0.49318],19,0
Hybridindex,9.75325[9.17841],10.0781[9.15546],9.4124[9.19009],20,0
Pref0,0.48325[0.489484],0.499023[0.489139],0.466701[0.489299],20,0
Signal0,0.4825[0.49086],0.500977[0.490136],0.463115[0.490872],20,0
Hybridindex,9.3345[9.07088],9.69329[9.05565],8.98771[9.0721],21,0
Pref0,0.46075[0.487426],0.480163[0.487758],0.441986[0.48637],21,0
Signal0,0.461[0.487318],0.483215[0.487872],0.439528[0.485818],21,0
Hybridindex,9.5185[9.00859],9.82631[9.00566],9.21315[9.0011],22,0
Pref0,0.47375[0.489066],0.48996[0.489754],0.457669[0.487851],22,0
Signal0,0.47275[0.488756],0.490462[0.489508],0.455179[0.487374],22,0
Hybridindex,9.09875[8.91453],9.11424[8.91631],9.08291[8.91269],23,0
Pref0,0.451[0.487954],0.453511[0.488052],0.448433[0.48784],23,0
Signal0,0.44775[0.486205],0.448566[0.485523],0.446916[0.486899],23,0
Hybridindex,9.08375[8.83536],9.245[8.84423],8.9225[8.82353],24,0
Pref0,0.44725[0.486921],0.458[0.489118],0.4365[0.484477],24,0
Signal0,0.4475[0.48682],0.46[0.487237],0.435[0.486081],24,0
Hybridindex,8.89225[8.75226],8.52424[8.72143],9.30063[8.76828],25,0
Pref0,0.43575[0.485538],0.4173[0.48387],0.456224[0.486563],25,0
Signal0,0.4365[0.484993],0.414449[0.48239],0.46097[0.486696],25,0
Hybridindex,9.1965[8.70422],8.86831[8.66203],9.51883[8.73345],26,0
Pref0,0.45[0.48734],0.432896[0.486744],0.466799[0.48734],26,0
Signal0,0.45375[0.486041],0.436428[0.484362],0.470763[0.487085],26,0
Hybridindex,9.5415[8.66802],9.3767[8.68574],9.71649[8.64572],27,0
Pref0,0.47175[0.488187],0.463107[0.486815],0.480928[0.489474],27,0
Signal0,0.475[0.486955],0.46699[0.486096],0.483505[0.487721],27,0
Hybridindex,9.633[8.60353],9.97187[8.56881],9.28521[8.6252],28,0
Pref0,0.48025[0.488605],0.496051[0.487235],0.464032[0.489477],28,0
Signal0,0.48025[0.489883],0.497532[0.488509],0.462513[0.490655],28,0
Hybridindex,9.418[8.51609],9.0999[8.49181],9.74644[8.52865],29,0
Pref0,0.46625[0.490139],0.448819[0.489394],0.484248[0.490257],29,0
Signal0,0.46625[0.489118],0.449803[0.486976],0.483232[0.490741],29,0
Hybridindex,9.798[8.5538],10.0253[8.58156],9.57651[8.52083],30,0
Pref0,0.4835[0.491912],0.49848[0.493368],0.468904[0.49005],30,0
Signal0,0.486[0.49199],0.502533[0.49439],0.469891[0.489103],30,0
Hybridindex,9.12275[8.4949],8.50638[8.4277],9.763[8.51704],31,0
Pref0,0.44675[0.489938],0.415113[0.485215],0.479613[0.49265],31,0
Signal0,0.44325[0.48929],0.409225[0.484655],0.478593[0.491571],31,0
Hybridindex,9.79275[8.49626],9.91431[8.50342],9.67312[8.4875],32,0
Pref0,0.4895[0.49106],0.492944[0.491306],0.486111[0.490794],32,0
Signal0,0.482[0.492114],0.487903[0.491721],0.47619[0.492431],32,0
Hybridindex,10.1378[8.4643],10.1019[8.45686],10.1719[8.47124],33,0
Pref0,0.5055[0.490122],0.499488[0.490431],0.51123[0.489759],33,0
Signal0,0.50025[0.491554],0.499488[0.491474],0.500977[0.491628],33,0
Hybridindex,10.0885[8.36272],10.465[8.38391],9.72315[8.32586],34,0
Pref0,0.50225[0.488743],0.519797[0.488823],0.485222[0.488063],34,0
Signal0,0.49675[0.488993],0.517259[0.48814],0.476847[0.488998],34,0
Hybridindex,9.93275[8.30612],10.1808[8.28594],9.68273[8.31893],35,0
Pref0,0.4855[0.490194],0.49751[0.48866],0.473394[0.491438],35,0
Signal0,0.48625[0.490088],0.501992[0.488917],0.470382[0.490754],35,0
Hybridindex,9.7445[8.24947],9.65152[8.23992],9.83564[8.2578],36,0
Pref0,0.47325[0.490571],0.466667[0.490207],0.479703[0.490841],36,0
Signal0,0.4745[0.49229],0.465152[0.491388],0.483663[0.493001],36,0
Hybridindex,9.90675[8.24743],9.94313[8.25559],9.86957[8.23892],37,0
Pref0,0.48075[0.490158],0.485658[0.490304],0.475733[0.489957],37,0
Signal0,0.48475[0.491063],0.487141[0.491604],0.482305[0.490496],37,0
Hybridindex,9.97525[8.26024],10.2143[8.27227],9.72194[8.2399],38,0
Pref0,0.4875[0.492284],0.500486[0.494134],0.473738[0.48994],38,0
Signal0,0.48975[0.491192],0.504373[0.492145],0.474253[0.489705],38,0
Hybridindex,9.98[8.18527],10.1494[8.13439],9.81031[8.23244],39,0
Pref0,0.49275[0.490991],0.501499[0.488885],0.483984[0.492937],39,0
Signal0,0.48975[0.489152],0.5[0.488632],0.479479[0.489458],39,0
Hybridindex,10.0407[8.15536],9.73433[8.14514],10.3311[8.15442],40,0
Pref0,0.49575[0.49179],0.47739[0.490928],0.513145[0.491973],40,0
Signal0,0.4955[0.490642],0.478931[0.490734],0.511198[0.490038],40,0
Hybridindex,9.961[8.11642],10.1117[8.11116],9.80103[8.11894],41,0
Pref0,0.49075[0.489938],0.499029[0.491183],0.481959[0.488459],41,0
Signal0,0.49325[0.491253],0.503883[0.491663],0.481959[0.490565],41,0
Hybridindex,9.85175[8.02011],9.69342[8.05524],10.011[7.98145],42,0
Pref0,0.48575[0.488541],0.477069[0.487606],0.494483[0.489324],42,0
Signal0,0.48475[0.48851],0.478066[0.490201],0.491474[0.486712],42,0
Hybridindex,10.1357[7.92494],10.443[7.95596],9.8285[7.88184],43,0
Pref0,0.50175[0.491296],0.525[0.49079],0.4785[0.490701],43,0
Signal0,0.501[0.486825],0.5215[0.48558],0.4805[0.487206],43,0
Hybridindex,9.9055[7.85357],9.97992[7.84965],9.83167[7.85676],44,0
Pref0,0.4885[0.490273],0.493976[0.488794],0.483068[0.491676],44,0
Signal0,0.4885[0.486691],0.493976[0.48622],0.483068[0.487097],44,0
Hybridindex,9.718[7.89368],9.71186[7.89977],9.72379[7.88794],45,0
Pref0,0.47275[0.490543],0.470103[0.491299],0.475243[0.489817],45,0
Signal0,0.47425[0.490369],0.471134[0.49136],0.477184[0.489416],45,0
Hybridindex,9.5245[7.73824],9.4782[7.74623],9.57386[7.72941],46,0
Pref0,0.46125[0.486183],0.460756[0.483407],0.461777[0.489123],46,0
Signal0,0.4615[0.487871],0.459302[0.486036],0.463843[0.489808],46,0
Hybridindex,9.43825[7.67728],9.44574[7.65528],9.43097[7.6986],47,0
Pref0,0.4505[0.487391],0.453347[0.486485],0.447732[0.488254],47,0
Signal0,0.45575[0.487767],0.456389[0.487287],0.455128[0.488233],47,0
Hybridindex,9.4175[7.6507],9.13323[7.58547],9.70291[7.70509],48,0
Pref0,0.446[0.487426],0.427645[0.486345],0.464429[0.487815],48,0
Signal0,0.45275[0.48851],0.433633[0.486686],0.471944[0.489585],48,0
Hybridindex,9.587[7.54741],9.48088[7.47888],9.69745[7.61651],49,0
Pref0,0.46125[0.489769],0.44951[0.489247],0.473469[0.490013],49,0
Signal0,0.464[0.487293],0.454412[0.487219],0.47398[0.487168],49,0
Hybridindex,9.79725[7.49038],9.62658[7.45859],9.97739[7.51959],50,0
Pref0,0.478[0.490934],0.464946[0.489657],0.491778[0.491902],50,0
Signal0,0.4775[0.490911],0.467381[0.491066],0.488181[0.490521],50,0
Hybridindex,9.93275[7.41583],9.62336[7.43278],10.2354[7.3867],51,0
Pref0,0.489[0.490285],0.467644[0.488973],0.509891[0.490666],51,0
Signal0,0.48825[0.490904],0.468655[0.491102],0.507418[0.489953],51,0
Hybridindex,10.3558[7.38546],10.1165[7.39101],10.5931[7.37229],52,0
Pref0,0.51575[0.488495],0.497992[0.488827],0.533367[0.487526],52,0
Signal0,0.515[0.488902],0.496486[0.487533],0.533367[0.489565],52,0
Hybridindex,10.5775[7.34125],10.5312[7.35523],10.6219[7.32755],53,0
Pref0,0.5315[0.488117],0.531154[0.486592],0.531832[0.489573],53,0
Signal0,0.53475[0.488792],0.534729[0.488707],0.53477[0.488873],53,0
Hybridindex,11.044[7.2692],11.0327[7.25122],11.0556[7.28749],54,0
Pref0,0.5655[0.486014],0.564851[0.486452],0.566162[0.485566],54,0
Signal0,0.56325[0.485412],0.563366[0.484865],0.563131[0.485969],54,0
Hybridindex,11.2483[7.17856],11.2299[7.19233],11.2678[7.16378],55,0
Pref0,0.57775[0.484593],0.578412[0.485659],0.577042[0.483449],55,0
Signal0,0.57775[0.484593],0.576476[0.485968],0.579111[0.483115],55,0
Hybridindex,11.0503[7.17108],11.18[7.15557],10.9268[7.18362],56,0
Pref0,0.564[0.487498],0.573846[0.485358],0.554634[0.489341],56,0
Signal0,0.568[0.485928],0.58[0.482791],0.556585[0.48862],56,0
Hybridindex,10.775[7.15162],11.027[7.12451],10.5319[7.16928],57,0
Pref0,0.54925[0.487801],0.569246[0.482685],0.529961[0.491915],57,0
Signal0,0.549[0.488466],0.567719[0.485793],0.530943[0.490354],57,0
Hybridindex,10.3855[7.1722],10.4517[7.19799],10.3201[7.14602],58,0
Pref0,0.52425[0.491464],0.529678[0.491246],0.518887[0.491621],58,0
Signal0,0.52525[0.491159],0.528169[0.490053],0.522366[0.492233],58,0
Hybridindex,10.2855[7.1339],10.1371[7.13987],10.4402[7.12437],59,0
Pref0,0.51875[0.492213],0.508815[0.493266],0.529111[0.490898],59,0
Signal0,0.51925[0.492193],0.512243[0.492447],0.526558[0.491822],59,0
Hybridindex,10.4927[7.02752],10.4673[7.0196],10.5179[7.03525],60,0
Pref0,0.53525[0.489778],0.534205[0.490695],0.536282[0.488868],60,0
Signal0,0.53025[0.490367],0.527163[0.491647],0.5333[0.48908],60,0
Hybridindex,10.8458[6.93416],10.8391[6.94854],10.8518[6.92109],61,0
Pref0,0.55925[0.487713],0.556782[0.488494],0.561487[0.486994],61,0
Signal0,0.559[0.487616],0.555731[0.489153],0.561964[0.486199],61,0
Hybridindex,10.8793[6.87612],10.9109[6.91553],10.8483[6.83729],62,0
Pref0,0.5655[0.486528],0.565283[0.485143],0.565711[0.487877],62,0
Signal0,0.56425[0.486052],0.565283[0.486185],0.563241[0.485921],62,0
Hybridindex,10.9462[6.81685],10.752[6.85333],11.1452[6.77351],63,0
Pref0,0.56775[0.484804],0.550395[0.485898],0.585526[0.483035],63,0
Signal0,0.569[0.485014],0.551877[0.485996],0.586538[0.483379],63,0
Hybridindex,11.304[6.71921],11.2453[6.72933],11.3635[6.70841],64,0
Pref0,0.595[0.482157],0.590367[0.48439],0.599698[0.479835],64,0
Signal0,0.59425[0.481915],0.588878[0.48287],0.599698[0.480883],64,0
Hybridindex,11.356[6.65577],11.3955[6.64341],11.3157[6.66811],65,0
Pref0,0.5925[0.481346],0.597525[0.481483],0.587374[0.481152],65,0
Signal0,0.593[0.480209],0.59802[0.480095],0.587879[0.480272],65,0
Hybridindex,11.1478[6.67331],11.2039[6.70253],11.0924[6.6439],66,0
Pref0,0.58325[0.482125],0.586606[0.483933],0.57994[0.480312],66,0
Signal0,0.5835[0.48247],0.587613[0.483752],0.579444[0.481169],66,0
Hybridindex,11.1928[6.58802],11.2107[6.60607],11.1754[6.57041],67,0
Pref0,0.58275[0.482729],0.585787[0.483747],0.579803[0.481721],67,0
Signal0,0.58375[0.481],0.58731[0.480579],0.580296[0.481383],67,0
Hybridindex,11.1975[6.56344],11.2176[6.59325],11.1776[6.53373],68,0
Pref0,0.58925[0.48157],0.594975[0.481074],0.583582[0.481993],68,0
Signal0,0.586[0.481772],0.58794[0.48293],0.58408[0.480615],68,0
Hybridindex,11.0597[6.53524],11.0493[6.532],11.0701[6.53841],69,0
Pref0,0.57725[0.483381],0.577968[0.483851],0.576541[0.482915],69,0
Signal0,0.576[0.482156],0.573944[0.48188],0.578032[0.482419],69,0
Hybridindex,11.1297[6.50623],11.3014[6.43236],10.9574[6.57506],70,0
Pref0,0.57875[0.483139],0.589321[0.481966],0.568136[0.484082],70,0
Signal0,0.582[0.48195],0.589321[0.481966],0.574649[0.481823],70,0
Hybridindex,10.883[6.47662],10.9216[6.43113],10.8458[6.51998],71,0
Pref0,0.5635[0.483702],0.567719[0.48211],0.55943[0.485198],71,0
Signal0,0.562[0.483638],0.569756[0.480762],0.554519[0.48628],71,0
Hybridindex,11.0122[6.36924],11.2252[6.38675],10.7959[6.34408],72,0
Pref0,0.5705[0.483249],0.58631[0.480772],0.554435[0.485226],72,0
Signal0,0.57025[0.483932],0.586806[0.480941],0.553427[0.486375],72,0
Hybridindex,11.0828[6.27696],11.0772[6.26427],11.0883[6.28958],73,0
Pref0,0.57625[0.484831],0.583166[0.481207],0.569361[0.488316],73,0
Signal0,0.57725[0.484156],0.58517[0.480856],0.569361[0.487293],73,0
Hybridindex,10.9563[6.29263],10.9257[6.2873],10.9874[6.2979],74,0
Pref0,0.565[0.486852],0.560456[0.487009],0.569627[0.486649],74,0
Signal0,0.566[0.487231],0.561447[0.486885],0.570636[0.487539],74,0
