X2,X3,X4,X5,Generation,Iter
Hybridindex,9.8[9.95289],10.2753[9.93207],9.30824[9.95052],1,0
Pref0,0.49[0.497644],0.513766[0.496603],0.465412[0.497526],1,0
Signal0,0.49[0.497644],0.513766[0.496603],0.465412[0.497526],1,0
Hybridindex,9.28475[9.91031],9.13724[9.89648],9.42963[9.92175],2,0
Pref0,0.4645[0.495721],0.457114[0.49511],0.471754[0.496215],2,0
Signal0,0.46425[0.49583],0.457114[0.49511],0.471259[0.496436],2,0
Hybridindex,9.3475[9.89162],9.27628[9.88344],9.41858[9.89927],3,0
Pref0,0.46725[0.495532],0.463463[0.495138],0.471029[0.495897],3,0
Signal0,0.4665[0.495356],0.462462[0.495063],0.470529[0.495616],3,0
Hybridindex,9.748[9.88862],9.811[9.85466],9.685[9.92206],4,0
Pref0,0.487[0.496317],0.4905[0.495136],0.4835[0.497471],4,0
Signal0,0.48725[0.495694],0.4905[0.494631],0.484[0.496733],4,0
Hybridindex,9.4095[9.84268],9.44848[9.85275],9.37129[9.83265],5,0
Pref0,0.47075[0.495247],0.470707[0.495587],0.470792[0.494913],5,0
Signal0,0.4705[0.494095],0.471212[0.495362],0.469802[0.492849],5,0
Hybridindex,9.20675[9.81134],9.0669[9.82446],9.34493[9.7964],6,0
Pref0,0.4605[0.494661],0.453219[0.49502],0.467694[0.494201],6,0
Signal0,0.4615[0.493222],0.453722[0.493286],0.469185[0.493038],6,0
Hybridindex,8.97475[9.74829],9.15545[9.794],8.7904[9.69798],7,0
Pref0,0.4475[0.493451],0.455941[0.494314],0.438889[0.49242],7,0
Signal0,0.44975[0.492291],0.458416[0.493777],0.440909[0.490612],7,0
Hybridindex,8.82075[9.71447],8.99385[9.69974],8.65576[9.72563],8,0
Pref0,0.44[0.492341],0.448258[0.492398],0.432129[0.492158],8,0
Signal0,0.44325[0.491584],0.45543[0.490495],0.431641[0.492339],8,0
Hybridindex,8.80425[9.6727],8.92985[9.6857],8.67739[9.65789],9,0
Pref0,0.4385[0.491394],0.444776[0.49191],0.432161[0.49079],9,0
Signal0,0.43925[0.490086],0.446269[0.489795],0.432161[0.490278],9,0
Hybridindex,8.45075[9.5995],8.25327[9.56274],8.64627[9.63178],10,0
Pref0,0.42075[0.488973],0.410553[0.486542],0.430846[0.491159],10,0
Signal0,0.421[0.489141],0.410553[0.486025],0.431343[0.491988],10,0
Hybridindex,8.79025[9.63614],8.96954[9.66423],8.59834[9.60227],11,0
Pref0,0.438[0.491585],0.448743[0.492971],0.426501[0.489836],11,0
Signal0,0.43775[0.491681],0.44971[0.493071],0.424948[0.489865],11,0
Hybridindex,8.6405[9.59415],8.82513[9.65238],8.45771[9.53263],12,0
Pref0,0.43075[0.489979],0.439196[0.492222],0.422388[0.487604],12,0
Signal0,0.42975[0.490092],0.440201[0.492345],0.419403[0.48763],12,0
Hybridindex,8.42025[9.49663],8.17615[9.45949],8.6738[9.52844],13,0
Pref0,0.42[0.487699],0.404809[0.484567],0.43578[0.490433],13,0
Signal0,0.41875[0.486594],0.407262[0.48479],0.430683[0.488175],13,0
Hybridindex,8.579[9.5091],9.0817[9.56423],8.05368[9.42254],14,0
Pref0,0.43225[0.490189],0.459393[0.492174],0.403885[0.486489],14,0
Signal0,0.42825[0.49013],0.453033[0.491857],0.402352[0.486972],14,0
Hybridindex,8.05175[9.37883],8.02356[9.35459],8.0836[9.40604],15,0
Pref0,0.40425[0.485239],0.401508[0.484887],0.407348[0.485618],15,0
Signal0,0.40275[0.486228],0.401037[0.48552],0.404686[0.487019],15,0
Hybridindex,7.88875[9.29603],8.29397[9.4283],7.50098[9.15089],16,0
Pref0,0.3955[0.483042],0.416667[0.488056],0.375245[0.477317],16,0
Signal0,0.39475[0.48275],0.416667[0.487532],0.373777[0.477187],16,0
Hybridindex,7.4245[9.1354],6.94118[8.98664],7.87876[9.25005],17,0
Pref0,0.37075[0.476623],0.346233[0.469491],0.393792[0.482095],17,0
Signal0,0.371[0.47656],0.346233[0.469491],0.394277[0.48195],17,0
Hybridindex,7.961[9.23011],8.07685[9.25739],7.84469[9.20118],18,0
Pref0,0.3975[0.483987],0.404192[0.48408],0.390782[0.483801],18,0
Signal0,0.39975[0.483037],0.406687[0.483794],0.392786[0.482175],18,0
Hybridindex,7.72[9.09561],7.78189[9.11208],7.64936[9.07625],19,0
