X2,X3,X4,X5,Generation,Iter
Hybridindex,10.095[9.94691],10.2807[9.94752],9.89659[9.94242],1,0
Pref0,0.50475[0.497345],0.514037[0.497376],0.494829[0.497121],1,0
Signal0,0.50475[0.497345],0.514037[0.497376],0.494829[0.497121],1,0
Hybridindex,10.1445[9.90964],9.81868[9.9226],10.4782[9.88521],2,0
Pref0,0.507[0.495934],0.491107[0.49645],0.523279[0.494877],2,0
Signal0,0.50675[0.496064],0.490613[0.496689],0.523279[0.494877],2,0
Hybridindex,10.6315[9.82568],10.6421[9.79669],10.6212[9.85371],3,0
Pref0,0.5315[0.492451],0.53198[0.491287],0.531034[0.493577],3,0
Signal0,0.52975[0.493194],0.528934[0.492508],0.530542[0.493857],3,0
Hybridindex,10.661[9.80809],10.1972[9.82651],11.1147[9.76875],4,0
Pref0,0.5335[0.49308],0.510111[0.493536],0.55638[0.491557],4,0
Signal0,0.533[0.493367],0.510111[0.49456],0.555391[0.491166],4,0
Hybridindex,11.0835[9.70929],11.326[9.65535],10.838[9.75744],5,0
Pref0,0.55275[0.491521],0.566103[0.489303],0.539235[0.493387],5,0
Signal0,0.55275[0.490757],0.563618[0.488871],0.541751[0.492415],5,0
Hybridindex,10.8733[9.68408],10.9262[9.68963],10.8229[9.67852],6,0
Pref0,0.54325[0.492701],0.545128[0.493043],0.541463[0.492369],6,0
Signal0,0.542[0.490903],0.545641[0.49065],0.538537[0.491119],6,0
Hybridindex,10.7165[9.66095],10.8534[9.66022],10.576[9.65968],7,0
Pref0,0.5325[0.4934],0.538006[0.494078],0.526849[0.492639],7,0
Signal0,0.5315[0.491434],0.5385[0.491787],0.524316[0.490968],7,0
Hybridindex,10.8242[9.61322],10.7724[9.57894],10.8745[9.64604],8,0
Pref0,0.53925[0.492529],0.538618[0.492353],0.539862[0.492698],8,0
Signal0,0.5355[0.490907],0.535061[0.490292],0.535925[0.491501],8,0
Hybridindex,11.0225[9.55632],11.1332[9.54034],10.9105[9.57116],9,0
Pref0,0.5495[0.491731],0.557654[0.490117],0.541247[0.493223],9,0
Signal0,0.546[0.48978],0.55169[0.489261],0.540241[0.490237],9,0
Hybridindex,10.615[9.5385],10.6992[9.50653],10.5293[9.57019],10,0
Pref0,0.529[0.492604],0.530228[0.492086],0.52775[0.493128],10,0
Signal0,0.52675[0.491334],0.529732[0.488833],0.523713[0.49385],10,0
