X2,X3,X4,X5,Generation,Iter
Hybridindex,10.1[9.94937],10.125[9.94619],10.0729[9.95275],1,0
Pref0,0.505[0.497469],0.50625[0.497309],0.503646[0.497637],1,0
Signal0,0.505[0.497469],0.50625[0.497309],0.503646[0.497637],1,0
Hybridindex,10.1215[9.90569],10.3214[9.89645],9.9306[9.91075],2,0
Pref0,0.506[0.496451],0.51433[0.496456],0.498045[0.496317],2,0
Signal0,0.507[0.495934],0.515865[0.495635],0.498534[0.496072],2,0
Hybridindex,9.9805[9.87332],10.0321[9.86779],9.92763[9.8787],3,0
Pref0,0.49875[0.495604],0.50247[0.494779],0.494939[0.496419],3,0
Signal0,0.49925[0.4951],0.501976[0.494531],0.496457[0.495667],3,0
Hybridindex,9.70275[9.85192],9.69408[9.82657],9.71107[9.87616],4,0
Pref0,0.4865[0.495043],0.486721[0.49443],0.486288[0.49563],4,0
Signal0,0.48425[0.494345],0.482635[0.493269],0.485798[0.495369],4,0
Hybridindex,10.0113[9.81333],9.95406[9.82037],10.0711[9.8056],5,0
Pref0,0.50125[0.494341],0.498045[0.495331],0.504606[0.493281],5,0
Signal0,0.49975[0.495101],0.498045[0.495824],0.501535[0.494336],5,0
Hybridindex,10.0955[9.74098],10.1527[9.72046],10.0421[9.7598],6,0
Pref0,0.50575[0.492028],0.511387[0.491517],0.500484[0.492448],6,0
Signal0,0.50175[0.493074],0.503623[0.491898],0.5[0.494163],6,0
Hybridindex,10.1493[9.69779],10.0601[9.73737],10.2366[9.65804],7,0
Pref0,0.50825[0.491739],0.506061[0.492329],0.510396[0.49115],7,0
Signal0,0.50225[0.492565],0.499495[0.494158],0.50495[0.490983],7,0
Hybridindex,10.1118[9.65669],10.1419[9.63507],10.0811[9.67851],8,0
Pref0,0.508[0.491107],0.511905[0.49034],0.504032[0.491853],8,0
Signal0,0.50125[0.492314],0.50248[0.491741],0.5[0.492893],8,0
Hybridindex,9.9035[9.59202],10.1291[9.61033],9.67653[9.56821],9,0
Pref0,0.50075[0.491553],0.513958[0.491],0.487462[0.491751],9,0
Signal0,0.49375[0.49253],0.502991[0.49271],0.484453[0.492174],9,0
Hybridindex,9.912[9.54815],10.0879[9.56348],9.74364[9.53043],10,0
Pref0,0.499[0.491934],0.507669[0.49299],0.490705[0.490778],10,0
Signal0,0.4935[0.492907],0.503579[0.494073],0.483855[0.491596],10,0
Hybridindex,9.6675[9.45045],9.74517[9.43999],9.59243[9.45994],11,0
Pref0,0.48775[0.491909],0.491353[0.491718],0.484267[0.492069],11,0
Signal0,0.4805[0.491548],0.483723[0.491266],0.477384[0.491801],11,0
Hybridindex,9.80075[9.41797],10.0754[9.44486],9.52886[9.38336],12,0
Pref0,0.492[0.493139],0.50804[0.493613],0.476119[0.492154],12,0
Signal0,0.4855[0.490703],0.500503[0.492404],0.470647[0.48856],12,0
Hybridindex,9.874[9.34622],10.149[9.36346],9.599[9.32085],13,0
Pref0,0.49575[0.492805],0.5085[0.493637],0.483[0.491641],13,0
Signal0,0.49[0.490306],0.505[0.490383],0.475[0.48977],13,0
Hybridindex,9.56275[9.31502],9.80769[9.33525],9.31085[9.28744],14,0
Pref0,0.48075[0.492701],0.492604[0.492743],0.46856[0.492361],14,0
Signal0,0.47575[0.489936],0.486686[0.490612],0.464503[0.488984],14,0
Hybridindex,9.28575[9.27141],9.32633[9.23295],9.24525[9.30945],15,0
Pref0,0.4635[0.490324],0.463964[0.489328],0.463037[0.491316],15,0
Signal0,0.46225[0.488313],0.465465[0.488157],0.459041[0.488449],15,0
Hybridindex,9.28525[9.25594],9.21377[9.23497],9.35297[9.27526],16,0
Pref0,0.4605[0.491365],0.454265[0.488527],0.466407[0.493967],16,0
Signal0,0.4615[0.490936],0.456835[0.490597],0.46592[0.491215],16,0
Hybridindex,9.18625[9.19468],9.34885[9.21678],9.02398[9.1697],17,0
Pref0,0.45475[0.490996],0.462462[0.493037],0.447053[0.48883],17,0
Signal0,0.4545[0.491101],0.461461[0.491434],0.447552[0.490669],17,0
Hybridindex,9.17975[9.12283],9.13249[9.16703],9.22562[9.0795],18,0
Pref0,0.45525[0.489001],0.452792[0.48954],0.457635[0.488466],18,0
Signal0,0.45575[0.489303],0.453299[0.48933],0.458128[0.489264],18,0
Hybridindex,9.02075[9.04258],8.50921[8.96099],9.56502[9.09705],19,0
