X2,X3,X4,X5,Generation,Iter
Hybridindex,10.1[9.94937],10.3469[9.95424],9.84864[9.93812],1,0
Pref0,0.505[0.497469],0.517344[0.497712],0.492432[0.496906],1,0
Signal0,0.505[0.497469],0.517344[0.497712],0.492432[0.496906],1,0
Hybridindex,9.88125[9.90489],10.0348[9.92407],9.73867[9.88491],2,0
Pref0,0.49425[0.495572],0.501558[0.49635],0.487464[0.494753],2,0
Signal0,0.4945[0.495953],0.502077[0.496609],0.487464[0.49524],2,0
Hybridindex,10.0727[9.86006],10.361[9.84078],9.77393[9.87113],3,0
Pref0,0.503[0.494713],0.516699[0.493291],0.488798[0.495783],3,0
Signal0,0.5045[0.494702],0.519155[0.492953],0.489308[0.496051],3,0
Hybridindex,9.7305[9.88688],10.0224[9.88972],9.40914[9.87378],4,0
Pref0,0.48725[0.496702],0.502385[0.496883],0.470588[0.495967],4,0
Signal0,0.48825[0.496978],0.502863[0.497121],0.472164[0.496323],4,0
Hybridindex,9.2845[9.79191],9.4445[9.80996],9.11864[9.7704],5,0
Pref0,0.46525[0.49312],0.473477[0.493359],0.456721[0.492728],5,0
Signal0,0.46725[0.493257],0.474951[0.494182],0.459267[0.49217],5,0
Hybridindex,9.60125[9.72924],9.34526[9.70212],9.85317[9.7493],6,0
Pref0,0.4815[0.492349],0.467238[0.49052],0.495536[0.49374],6,0
Signal0,0.48325[0.492539],0.46875[0.492413],0.49752[0.492245],6,0
Hybridindex,9.66225[9.73211],9.78507[9.72631],9.54163[9.7363],7,0
Pref0,0.48675[0.494671],0.492936[0.494113],0.480674[0.495143],7,0
Signal0,0.48425[0.49485],0.487891[0.494526],0.480674[0.495143],7,0
Hybridindex,9.6765[9.68338],9.61395[9.66501],9.74134[9.70196],8,0
Pref0,0.4865[0.494538],0.485265[0.494348],0.48778[0.494731],8,0
Signal0,0.486[0.495029],0.483792[0.495047],0.488289[0.495001],8,0
Hybridindex,9.29625[9.6276],9.5885[9.64044],8.9939[9.60494],9,0
Pref0,0.46775[0.493036],0.484267[0.492568],0.450661[0.492938],9,0
Signal0,0.4675[0.493653],0.481318[0.495451],0.453204[0.491378],9,0
Hybridindex,8.9285[9.53326],8.93167[9.53944],8.92566[9.52774],10,0
Pref0,0.45025[0.490561],0.451801[0.489895],0.448864[0.491151],10,0
Signal0,0.44825[0.490354],0.450742[0.489248],0.446023[0.491329],10,0
Hybridindex,9.21575[9.51531],9.15866[9.48868],9.27273[9.54146],11,0
Pref0,0.46375[0.492758],0.45996[0.492586],0.467532[0.492901],11,0
Signal0,0.46[0.491833],0.458458[0.491699],0.461538[0.491963],11,0
Hybridindex,9.25375[9.45824],8.74217[9.43942],9.78834[9.44831],12,0
Pref0,0.463[0.490796],0.440313[0.488477],0.486708[0.492092],12,0
Signal0,0.4605[0.490092],0.434442[0.488225],0.48773[0.490558],12,0
Hybridindex,9.86025[9.42598],9.79226[9.41057],9.93494[9.44232],13,0
Pref0,0.49225[0.490984],0.488539[0.491438],0.496327[0.490451],13,0
Signal0,0.494[0.489861],0.490449[0.490019],0.497901[0.489658],13,0
Hybridindex,9.87225[9.37738],9.61345[9.35229],10.1179[9.39455],14,0
Pref0,0.49325[0.490489],0.48152[0.489277],0.504386[0.491378],14,0
Signal0,0.49425[0.490247],0.480493[0.488712],0.50731[0.491343],14,0
Hybridindex,9.91425[9.31075],9.7051[9.30553],10.1315[9.31119],15,0
Pref0,0.495[0.490383],0.484789[0.491352],0.505607[0.489147],15,0
Signal0,0.49825[0.489257],0.488714[0.488956],0.508155[0.489372],15,0
Hybridindex,10.5277[9.26516],10.3157[9.29384],10.7368[9.23202],16,0
Pref0,0.5305[0.490989],0.521652[0.492424],0.539225[0.489412],16,0
Signal0,0.531[0.490703],0.520645[0.491956],0.541212[0.489249],16,0
Hybridindex,10.6632[9.17893],10.9001[9.18652],10.4306[9.16551],17,0
Pref0,0.537[0.489521],0.546418[0.490438],0.52775[0.488442],17,0
Signal0,0.537[0.488755],0.54894[0.488905],0.525273[0.488323],17,0
Hybridindex,10.4855[9.13344],10.287[9.12571],10.6925[9.13691],18,0
Pref0,0.52625[0.489577],0.515181[0.490871],0.537794[0.487957],18,0
Signal0,0.52675[0.488784],0.514691[0.488135],0.539326[0.489143],18,0
Hybridindex,11.2312[9.03289],11.4081[8.99792],11.0541[9.06434],19,0
Pref0,0.567[0.486581],0.576424[0.486484],0.557558[0.486495],19,0
Signal0,0.56625[0.486298],0.575924[0.485792],0.556557[0.486612],19,0
Hybridindex,11.1587[8.95335],11.0614[8.91621],11.2547[8.98879],20,0
Pref0,0.56375[0.485346],0.559416[0.486468],0.568024[0.4842],20,0
Signal0,0.56375[0.485089],0.558409[0.485554],0.569017[0.484572],20,0
Hybridindex,11.2055[8.93083],11.0739[8.93962],11.329[8.92082],21,0
Pref0,0.56625[0.485269],0.555269[0.487756],0.57655[0.482697],21,0
Signal0,0.56825[0.485764],0.560434[0.487143],0.575581[0.484353],21,0
Hybridindex,11.5712[8.82024],11.0589[8.93483],12.0765[8.67618],22,0
Pref0,0.58775[0.481845],0.56143[0.4857],0.613704[0.476593],22,0
Signal0,0.58925[0.483642],0.56143[0.489829],0.616683[0.475872],22,0
Hybridindex,12.061[8.63794],12.0054[8.64738],12.1178[8.62791],23,0
Pref0,0.6165[0.475056],0.609792[0.476773],0.623357[0.473195],23,0
Signal0,0.61625[0.476037],0.615232[0.475227],0.61729[0.47686],23,0
Hybridindex,12.0892[8.60098],12.2008[8.53194],11.9718[8.67157],24,0
Pref0,0.62225[0.47374],0.62768[0.47272],0.61653[0.474746],24,0
Signal0,0.61675[0.476177],0.624269[0.474399],0.60883[0.477915],24,0
Hybridindex,11.8968[8.56522],11.5793[8.62552],12.2079[8.49419],25,0
Pref0,0.6105[0.477011],0.591919[0.481092],0.628713[0.472268],25,0
