X2,X3,X4,X5,Generation,Iter
Hybridindex,12.3787[8.27907],12.0323[8.353],12.7427[8.18487],1,0
Pref0,0.618935[0.413953],0.601617[0.41765],0.637136[0.409243],1,0
Signal0,0.618935[0.413953],0.601617[0.41765],0.637136[0.409243],1,0
Hybridindex,15.6491[5.85107],15.4429[6.00277],15.8407[5.69982],2,0
Pref0,0.779052[0.31965],0.766667[0.331423],0.79056[0.307861],2,0
Signal0,0.770642[0.327385],0.757143[0.343518],0.783186[0.311122],2,0
Hybridindex,17.2543[3.64804],16.8725[3.9816],17.5911[3.28955],3,0
Pref0,0.86148[0.251704],0.850202[0.258127],0.871429[0.245469],3,0
Signal0,0.877609[0.229907],0.864372[0.248122],0.889286[0.211861],3,0
Hybridindex,18.0084[2.27385],18.0775[2.20857],17.9356[2.33851],4,0
Pref0,0.896386[0.219773],0.901408[0.210405],0.891089[0.229118],4,0
Signal0,0.936145[0.170455],0.92723[0.182858],0.945545[0.155764],4,0
Hybridindex,18.3845[1.64941],18.3817[1.66787],18.3872[1.63102],5,0
Pref0,0.918561[0.194616],0.923664[0.179835],0.913534[0.208028],5,0
Signal0,0.977273[0.104149],0.980916[0.0958008],0.973684[0.111648],5,0
Hybridindex,18.4229[1.41968],18.56[1.47865],18.32[1.36477],6,0
Pref0,0.925714[0.185692],0.9[0.216025],0.945[0.156445],6,0
Signal0,0.982857[0.090981],0.986667[0.0805536],0.98[0.0979796],6,0
Hybridindex,18.2419[1.17515],18.25[1.06161],18.2339[1.2786],7,0
Pref0,0.951613[0.147825],0.951613[0.147825],0.951613[0.147825],7,0
Signal0,0.991935[0.0629859],0.991935[0.0629859],0.991935[0.0629859],7,0
Hybridindex,17.8813[1.14084],17.9146[1.12566],17.8462[1.15555],8,0
Pref0,0.96875[0.121031],0.97561[0.107704],0.961538[0.133235],8,0
Signal0,1[0],1[0],1[0],8,0
Hybridindex,17.5612[1.22321],17.275[1.1987],17.7586[1.20072],9,0
Pref0,0.989796[0.070696],1[0],0.982759[0.0912328],9,0
Signal0,1[0],1[0],1[0],9,0
Hybridindex,17.7317[1.24007],17.5455[1.33066],17.9474[1.08694],10,0
Pref0,1[0],1[0],1[0],10,0
Signal0,1[0],1[0],1[0],10,0
Hybridindex,17.3[1.26886],18.1111[1.21969],16.6364[0.855222],11,0
Pref0,1[0],1[0],1[0],11,0
Signal0,1[0],1[0],1[0],11,0
Hybridindex,18.0357[0.915429],17.9167[1.16964],18.125[0.649519],12,0
Pref0,1[0],1[0],1[0],12,0
Signal0,1[0],1[0],1[0],12,0
Hybridindex,18.3125[0.555512],18.125[0.414578],18.5[0.612372],13,0
Pref0,1[0],1[0],1[0],13,0
Signal0,1[0],1[0],1[0],13,0
Hybridindex,18.3889[0.613631],18.1667[0.849837],18.5[0.408248],14,0
Pref0,1[0],1[0],1[0],14,0
Signal0,1[0],1[0],1[0],14,0
Hybridindex,18[0.816497],18[1],18[0.755929],15,0
Pref0,1[0],1[0],1[0],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,18[1],17.4[0.860233],18.6[0.734847],16,0
Pref0,1[0],1[0],1[0],16,0
Signal0,1[0],1[0],1[0],16,0
Hybridindex,18.1667[0.881917],17.7[0.812404],18.75[0.559017],17,0
Pref0,1[0],1[0],1[0],17,0
Signal0,1[0],1[0],1[0],17,0
Hybridindex,17.9[0.860233],17.8333[1.0274],18[0.5],18,0
Pref0,1[0],1[0],1[0],18,0
Signal0,1[0],1[0],1[0],18,0
Hybridindex,16.75[0.25],16.75[0.25],0[0],19,0
Pref0,1[0],1[0],0[0],19,0
Signal0,1[0],1[0],0[0],19,0
Hybridindex,12.5856[8.17959],12.7564[8.13143],12.4027[8.22692],1,0_1
Pref0,0.629282[0.408979],0.637821[0.406571],0.620137[0.411346],1,0_1
Signal0,0.629282[0.408979],0.637821[0.406571],0.620137[0.411346],1,0_1
Hybridindex,15.0433[6.01629],15.0377[6.04207],15.0488[5.99094],2,0_1
Pref0,0.754[0.331387],0.765499[0.328758],0.742744[0.333557],2,0_1
Signal0,0.756[0.325265],0.75876[0.320709],0.753298[0.329641],2,0_1
Hybridindex,16.6378[3.94597],16.2867[4.10121],16.9828[3.75537],3,0_1
Pref0,0.822357[0.280942],0.812937[0.285072],0.831615[0.27651],3,0_1
Signal0,0.857019[0.254778],0.844406[0.26659],0.869416[0.241969],3,0_1
Hybridindex,17.4669[2.4918],17.5273[2.33512],17.4178[2.61128],4,0_1
Pref0,0.86152[0.249636],0.885246[0.228922],0.842222[0.263725],4,0_1
Signal0,0.938725[0.174812],0.953552[0.145143],0.926667[0.194822],4,0_1
Hybridindex,17.838[1.79657],17.6607[1.90513],17.9751[1.6952],5,0_1
Pref0,0.898754[0.212238],0.889286[0.224148],0.906077[0.202243],5,0_1
Signal0,0.975078[0.108812],0.967857[0.122631],0.980663[0.0964084],5,0_1
Hybridindex,17.8369[1.6687],17.9298[1.61527],17.7479[1.71361],6,0_1
Pref0,0.901288[0.22437],0.881579[0.241547],0.920168[0.204808],6,0_1
Signal0,0.98927[0.0724547],0.991228[0.0656431],0.987395[0.0783813],6,0_1
Hybridindex,17.7338[1.33883],17.5746[1.29941],17.8819[1.35783],7,0_1
Pref0,0.877698[0.238715],0.858209[0.270516],0.895833[0.203058],7,0_1
Signal0,0.992806[0.059543],0.992537[0.0606272],0.993056[0.0585149],7,0_1
Hybridindex,17.7874[1.26544],17.7386[1.43213],17.8372[1.06597],8,0_1
Pref0,0.844828[0.243423],0.840909[0.256123],0.848837[0.229633],8,0_1
Signal0,1[0],1[0],1[0],8,0_1
Hybridindex,17.7364[1.29283],17.6207[1.31736],17.8654[1.25236],9,0_1
Pref0,0.845455[0.249959],0.810345[0.275862],0.884615[0.210663],9,0_1
Signal0,1[0],1[0],1[0],9,0_1
Hybridindex,17.3833[1.37649],17.5[1.2792],17.3158[1.42543],10,0_1
Pref0,0.783333[0.30777],0.772727[0.248965],0.789474[0.337007],10,0_1
Signal0,1[0],1[0],1[0],10,0_1
Hybridindex,17.4474[0.998614],17.625[0.73951],17.4[1.05198],11,0_1
Pref0,0.710526[0.337007],0.625[0.414578],0.733333[0.309121],11,0_1
Signal0,1[0],1[0],1[0],11,0_1
Hybridindex,17.7059[1.08545],17.7727[1.21288],17.5833[0.786165],12,0_1
Pref0,0.705882[0.34551],0.636364[0.374828],0.833333[0.235702],12,0_1
Signal0,1[0],1[0],1[0],12,0_1
Hybridindex,17.75[1.0133],17.8571[0.914732],17.6429[1.09265],13,0_1
Pref0,0.821429[0.239579],0.857143[0.225877],0.785714[0.247436],13,0_1
Signal0,1[0],1[0],1[0],13,0_1
Hybridindex,17.6[0.734847],18.25[0.25],17.1667[0.62361],14,0_1
Pref0,0.8[0.244949],0.5[0],1[0],14,0_1
Signal0,1[0],1[0],1[0],14,0_1
Hybridindex,18.25[0.25],0[0],18.25[0.25],15,0_1
Pref0,0.75[0.25],0[0],0.75[0.25],15,0_1
Signal0,1[0],0[0],1[0],15,0_1
Hybridindex,12.5153[8.16635],12.3544[8.28456],12.6651[8.05178],1,0_10
Pref0,0.625763[0.408318],0.617722[0.414228],0.633255[0.402589],1,0_10
Signal0,0.625763[0.408318],0.617722[0.414228],0.633255[0.402589],1,0_10
