X2,X3,X4,X5,Generation,Iter
Hybridindex,12.72[8.15485],12.85[8.07858],12.5881[8.22937],1,0
Pref0,0.636[0.407743],0.642502[0.403929],0.629406[0.411469],1,0
Signal0,0.636[0.407743],0.642502[0.403929],0.629406[0.411469],1,0
Hybridindex,15.4098[5.84993],15.4692[5.816],15.3516[5.88236],2,0
Pref0,0.7715[0.324481],0.772497[0.324765],0.770524[0.3242],2,0
Signal0,0.7715[0.323323],0.771992[0.322456],0.771019[0.324168],2,0
Hybridindex,16.8117[3.83835],16.8131[3.82882],16.8105[3.84762],3,0
Pref0,0.851[0.256513],0.85613[0.254783],0.846002[0.25809],3,0
Signal0,0.8675[0.243298],0.865755[0.24648],0.8692[0.240144],3,0
Hybridindex,17.404[2.59225],17.3499[2.56746],17.4545[2.61419],4,0
Pref0,0.88775[0.22085],0.889752[0.217049],0.88588[0.224328],4,0
Signal0,0.93075[0.174153],0.929607[0.176852],0.931818[0.171587],4,0
Hybridindex,17.672[1.93098],17.6926[1.93249],17.6496[1.92908],5,0
Pref0,0.905[0.210297],0.912584[0.203347],0.896767[0.217292],5,0
Signal0,0.967[0.125144],0.965418[0.128746],0.968717[0.12109],5,0
Hybridindex,17.719[1.67542],17.7146[1.68588],17.7235[1.6645],6,0
Pref0,0.9125[0.200858],0.909627[0.207155],0.915479[0.194069],6,0
Signal0,0.986[0.0824864],0.986739[0.0803417],0.985234[0.0846455],6,0
Hybridindex,17.7345[1.51699],17.703[1.56379],17.7667[1.46701],7,0
Pref0,0.911[0.197684],0.908911[0.200543],0.913131[0.194701],7,0
Signal0,0.99375[0.0555512],0.994554[0.0518953],0.992929[0.0590369],7,0
Hybridindex,17.7293[1.43677],17.7752[1.43626],17.6822[1.43577],8,0
Pref0,0.91425[0.196906],0.910079[0.199597],0.918522[0.194017],8,0
Signal0,0.99575[0.0459014],0.996542[0.0414402],0.994939[0.0500475],8,0
Hybridindex,17.7275[1.37595],17.6792[1.37559],17.78[1.37442],9,0
Pref0,0.91625[0.195859],0.917867[0.197797],0.914494[0.193719],9,0
Signal0,0.997[0.0386135],0.998079[0.0309342],0.995829[0.0454765],9,0
Hybridindex,17.7458[1.31994],17.6892[1.34804],17.8036[1.28795],10,0
Pref0,0.91425[0.199429],0.915514[0.195114],0.912955[0.203746],10,0
Signal0,0.99675[0.0401801],0.996047[0.0442794],0.99747[0.0354793],10,0
Hybridindex,17.7115[1.29249],17.6688[1.32244],17.7572[1.25803],11,0
Pref0,0.90725[0.201922],0.902321[0.204245],0.912526[0.19927],11,0
Signal0,0.998[0.0315595],0.998549[0.026893],0.997412[0.0358789],11,0
Hybridindex,17.7213[1.29785],17.7359[1.27601],17.7064[1.31955],12,0
Pref0,0.89925[0.213247],0.902874[0.209964],0.89556[0.216477],12,0
Signal0,0.99875[0.0249687],0.998018[0.031419],0.999495[0.015875],12,0
Hybridindex,17.749[1.31805],17.7604[1.29852],17.7374[1.33742],13,0
Pref0,0.8975[0.216203],0.892644[0.219356],0.902414[0.212852],13,0
Signal0,0.99975[0.0111775],1[0],0.999497[0.0158511],13,0
Hybridindex,17.7288[1.30472],17.7353[1.32638],17.7227[1.28409],14,0
Pref0,0.8875[0.221571],0.884695[0.229413],0.890126[0.213937],14,0
Signal0,0.9995[0.0158035],0.998966[0.0227155],1[0],14,0
Hybridindex,17.729[1.26977],17.7416[1.24401],17.7153[1.29711],15,0
Pref0,0.8935[0.218307],0.892138[0.218106],0.894984[0.218516],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,17.684[1.28273],17.6849[1.30378],17.683[1.2612],16,0
Pref0,0.899[0.210473],0.898305[0.210935],0.899699[0.210005],16,0
Signal0,1[0],1[0],1[0],16,0
Hybridindex,17.731[1.24525],17.7532[1.2502],17.7087[1.23987],17,0
Pref0,0.90725[0.21041],0.902098[0.217619],0.912412[0.202798],17,0
Signal0,1[0],1[0],1[0],17,0
Hybridindex,17.7225[1.22004],17.7828[1.19317],17.6659[1.2421],18,0
Pref0,0.905[0.204267],0.906605[0.20266],0.903492[0.205755],18,0
Signal0,1[0],1[0],1[0],18,0
Hybridindex,17.7273[1.25737],17.7242[1.29777],17.7303[1.21588],19,0
Pref0,0.901[0.210236],0.901705[0.212137],0.900299[0.208326],19,0
Signal0,1[0],1[0],1[0],19,0
Hybridindex,17.736[1.22344],17.7169[1.21387],17.7565[1.23329],20,0
Pref0,0.8985[0.211418],0.901449[0.208394],0.895337[0.21457],20,0
Signal0,1[0],1[0],1[0],20,0
Hybridindex,17.708[1.22993],17.7436[1.25449],17.6741[1.20514],21,0
Pref0,0.90175[0.214411],0.9[0.214834],0.903415[0.213994],21,0
Signal0,1[0],1[0],1[0],21,0
Hybridindex,17.747[1.23965],17.7257[1.24798],17.7687[1.23072],22,0
Pref0,0.90275[0.213699],0.90396[0.214993],0.901515[0.212365],22,0
Signal0,1[0],1[0],1[0],22,0
Hybridindex,17.7503[1.22648],17.7313[1.24541],17.7688[1.20735],23,0
Pref0,0.904[0.206843],0.905556[0.205774],0.902475[0.207874],23,0
Signal0,1[0],1[0],1[0],23,0
Hybridindex,17.744[1.20591],17.7477[1.18639],17.7403[1.22499],24,0
Pref0,0.90075[0.216851],0.899198[0.215077],0.902293[0.21859],24,0
Signal0,1[0],1[0],1[0],24,0
Hybridindex,17.7628[1.19659],17.7455[1.18521],17.7798[1.20745],25,0
Pref0,0.909[0.201169],0.906754[0.204842],0.91121[0.197462],25,0
Signal0,1[0],1[0],1[0],25,0
Hybridindex,17.766[1.18269],17.7682[1.15751],17.7638[1.20748],26,0
Pref0,0.9125[0.203945],0.907278[0.2127],0.917753[0.194601],26,0
Signal0,1[0],1[0],1[0],26,0
Hybridindex,17.7613[1.18643],17.7522[1.18959],17.7712[1.18289],27,0
Pref0,0.90975[0.204279],0.908134[0.205617],0.911518[0.20279],27,0
Signal0,1[0],1[0],1[0],27,0
Hybridindex,17.765[1.17133],17.7901[1.15916],17.7391[1.18319],28,0
Pref0,0.9115[0.202898],0.917241[0.194881],0.905584[0.210678],28,0
Signal0,1[0],1[0],1[0],28,0
Hybridindex,17.783[1.18824],17.7712[1.20673],17.7946[1.16964],29,0
Pref0,0.91475[0.197123],0.910282[0.202094],0.919147[0.192004],29,0
Signal0,1[0],1[0],1[0],29,0
Hybridindex,17.776[1.15621],17.7657[1.13951],17.7866[1.17312],30,0
