X2,X3,X4,X5,Generation,Iter
Hybridindex,12.325[8.31531],12.1471[8.33936],12.505[8.28701],1,0
Pref0,0.61625[0.415765],0.607356[0.416968],0.625252[0.41435],1,0
Signal0,0.61625[0.415765],0.607356[0.416968],0.625252[0.41435],1,0
Hybridindex,15.261[6.16572],15.104[6.20419],15.4164[6.12344],2,0
Pref0,0.7575[0.339034],0.751759[0.338017],0.763184[0.339941],2,0
Signal0,0.75425[0.337982],0.744221[0.340195],0.764179[0.335481],2,0
Hybridindex,16.9962[4.03434],17.0138[3.89379],16.9795[4.16355],3,0
Pref0,0.847[0.26569],0.847692[0.263375],0.846341[0.267871],3,0
Signal0,0.87225[0.245061],0.88[0.23416],0.864878[0.25478],3,0
Hybridindex,17.6968[2.59854],17.7565[2.45955],17.6375[2.72814],4,0
Pref0,0.887[0.22579],0.893574[0.213074],0.880478[0.237553],4,0
Signal0,0.92725[0.183936],0.932731[0.179225],0.921813[0.188336],4,0
Hybridindex,17.793[2.01063],17.8188[2.00596],17.7685[2.01475],5,0
Pref0,0.89325[0.221877],0.899384[0.21288],0.887427[0.229942],5,0
Signal0,0.95975[0.137858],0.957392[0.141428],0.961988[0.134344],5,0
Hybridindex,17.8925[1.69586],17.9392[1.63768],17.8448[1.75205],6,0
Pref0,0.89725[0.216373],0.900099[0.214255],0.894338[0.21848],6,0
Signal0,0.98275[0.0912548],0.986152[0.0820493],0.979272[0.0996712],6,0
Hybridindex,17.9617[1.49471],17.9453[1.46293],17.9793[1.52767],7,0
Pref0,0.889[0.220066],0.876453[0.230852],0.902376[0.207117],7,0
Signal0,0.99125[0.0655625],0.992248[0.0617728],0.990186[0.0693593],7,0
Hybridindex,17.936[1.40032],17.9425[1.42138],17.9298[1.38001],8,0
Pref0,0.897[0.214805],0.896304[0.213811],0.897661[0.215741],8,0
Signal0,0.995[0.0497494],0.99538[0.0478405],0.994639[0.0514935],8,0
Hybridindex,17.9415[1.32111],17.9667[1.33647],17.9189[1.30675],9,0
Pref0,0.894[0.21625],0.895877[0.211942],0.892315[0.220031],9,0
Signal0,0.99625[0.0431386],0.9963[0.042851],0.996205[0.0433951],9,0
Hybridindex,17.962[1.26345],17.9308[1.28097],17.9935[1.24475],10,0
Pref0,0.89725[0.213465],0.885956[0.222472],0.908635[0.20335],10,0
Signal0,0.997[0.0386135],0.997012[0.0385369],0.996988[0.0386905],10,0
Hybridindex,17.9145[1.24074],17.9402[1.21955],17.8895[1.26051],11,0
Pref0,0.90425[0.208463],0.901116[0.210304],0.907298[0.206612],11,0
Signal0,0.9985[0.027345],0.998479[0.0275379],0.998521[0.0271562],11,0
Hybridindex,17.918[1.24188],17.9362[1.23875],17.9008[1.24459],12,0
Pref0,0.9015[0.211063],0.902263[0.214483],0.900778[0.207775],12,0
Signal0,0.99925[0.0193504],0.998971[0.0226571],0.999514[0.015587],12,0
Hybridindex,17.9355[1.2209],17.9291[1.22546],17.9418[1.21633],13,0
Pref0,0.90025[0.216044],0.902513[0.21744],0.89801[0.214629],13,0
Signal0,1[0],1[0],1[0],13,0
Hybridindex,17.9135[1.22342],17.8955[1.23185],17.9317[1.21459],14,0
Pref0,0.90525[0.206513],0.901493[0.213355],0.909045[0.199292],14,0
Signal0,1[0],1[0],1[0],14,0
Hybridindex,17.9138[1.21426],17.9106[1.21495],17.9171[1.21353],15,0
Pref0,0.91025[0.202657],0.90958[0.202347],0.910952[0.202979],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,17.945[1.19278],17.9559[1.1989],17.9342[1.18656],16,0
Pref0,0.9235[0.190126],0.923771[0.189246],0.92323[0.190996],16,0
Signal0,1[0],1[0],1[0],16,0
Hybridindex,17.9805[1.20234],17.9735[1.19128],17.9878[1.21363],17,0
Pref0,0.92875[0.178321],0.924287[0.181954],0.933367[0.174363],17,0
Signal0,1[0],1[0],1[0],17,0
Hybridindex,17.9868[1.18552],18.0071[1.18512],17.967[1.18556],18,0
Pref0,0.9215[0.185978],0.926396[0.179999],0.916749[0.191482],18,0
Signal0,1[0],1[0],1[0],18,0
Hybridindex,17.979[1.22405],18.059[1.17367],17.9017[1.26606],19,0
Pref0,0.9165[0.195647],0.920142[0.19132],0.912979[0.199677],19,0
Signal0,1[0],1[0],1[0],19,0
Hybridindex,18.004[1.19069],17.9796[1.21632],18.0286[1.1637],20,0
Pref0,0.92075[0.191297],0.917413[0.199864],0.924121[0.182173],20,0
Signal0,1[0],1[0],1[0],20,0
Hybridindex,18.015[1.1462],18.0185[1.13439],18.0117[1.15731],21,0
Pref0,0.92425[0.18611],0.92[0.18608],0.928293[0.186049],21,0
Signal0,1[0],1[0],1[0],21,0
Hybridindex,18.0075[1.15215],18.0267[1.14471],17.9879[1.15937],22,0
Pref0,0.92725[0.184614],0.929278[0.182556],0.925177[0.186672],22,0
Signal0,1[0],1[0],1[0],22,0
Hybridindex,18.0018[1.1571],17.9704[1.14104],18.0329[1.17203],23,0
Pref0,0.9285[0.18135],0.923347[0.18562],0.933633[0.176845],23,0
Signal0,1[0],1[0],1[0],23,0
