X2,X3,X4,X5,Generation,Iter
Hybridindex,9.875[9.93148],9.74798[9.92091],10[9.9403],1,0
Pref0,0.49375[0.496574],0.487399[0.496045],0.5[0.497015],1,0
Signal0,0.49375[0.496574],0.487399[0.496045],0.5[0.497015],1,0
Hybridindex,10.3328[9.88855],10.1518[9.91661],10.5204[9.85587],2,0
Pref0,0.51725[0.495053],0.509332[0.49572],0.525458[0.494227],2,0
Signal0,0.51775[0.494783],0.509823[0.495462],0.525967[0.493943],2,0
Hybridindex,10.701[9.81656],10.7932[9.83445],10.6126[9.79856],3,0
Pref0,0.535[0.492976],0.538815[0.494118],0.531342[0.49185],3,0
Signal0,0.534[0.493299],0.540347[0.493219],0.527914[0.493299],3,0
Hybridindex,10.2577[9.8025],10.4426[9.80681],10.0721[9.79465],4,0
Pref0,0.513[0.493032],0.523952[0.492382],0.502004[0.49344],4,0
Signal0,0.50975[0.494752],0.519461[0.494854],0.5[0.494458],4,0
Hybridindex,10.0943[9.73811],9.8335[9.77477],10.3597[9.69343],5,0
Pref0,0.50175[0.492313],0.488107[0.494125],0.515641[0.49007],5,0
Signal0,0.49875[0.493835],0.484638[0.495782],0.513118[0.49143],5,0
Hybridindex,9.9215[9.65905],10.1602[9.67379],9.67111[9.63722],6,0
Pref0,0.494[0.489861],0.505371[0.490357],0.48207[0.489057],6,0
Signal0,0.488[0.492043],0.500977[0.492125],0.474385[0.491589],6,0
Hybridindex,9.49425[9.63682],9.73733[9.66723],9.2667[9.6027],7,0
Pref0,0.473[0.489664],0.48759[0.489128],0.459342[0.489772],7,0
Signal0,0.4645[0.492686],0.477249[0.494017],0.452565[0.491137],7,0
Hybridindex,9.02775[9.50536],8.70461[9.48032],9.34895[9.51932],8,0
Pref0,0.449[0.485952],0.433801[0.483562],0.464108[0.487846],8,0
Signal0,0.43725[0.488556],0.421264[0.4866],0.453141[0.489977],8,0
Hybridindex,9.14925[9.45539],9.24549[9.47275],9.04224[9.43489],9,0
Pref0,0.45025[0.486467],0.45679[0.486556],0.442978[0.486264],9,0
Signal0,0.43725[0.489323],0.44302[0.490248],0.430834[0.488213],9,0
Hybridindex,9.17125[9.39455],9.70365[9.46715],8.62373[9.28752],10,0
Pref0,0.452[0.48497],0.482742[0.486452],0.420385[0.481399],10,0
Signal0,0.4345[0.490112],0.464497[0.49277],0.403651[0.485434],10,0
Hybridindex,8.59325[9.26247],8.48679[9.2368],8.69636[9.28611],11,0
Pref0,0.422[0.481836],0.41311[0.481698],0.43061[0.481813],11,0
Signal0,0.4025[0.486049],0.39685[0.484286],0.407972[0.487688],11,0
Hybridindex,8.29625[9.16486],8.43647[9.16383],8.14706[9.16359],12,0
Pref0,0.40775[0.478398],0.414161[0.479101],0.400929[0.477555],12,0
Signal0,0.38575[0.482257],0.392338[0.482526],0.378741[0.481872],12,0
Hybridindex,8.12625[9.11934],7.91821[9.07438],8.34584[9.16144],13,0
Pref0,0.39675[0.47667],0.385589[0.475092],0.40853[0.478048],13,0
Signal0,0.3785[0.480091],0.367089[0.477444],0.390545[0.482577],13,0
Hybridindex,8.49575[9.16993],8.46912[9.17897],8.52259[9.16073],14,0
Pref0,0.41725[0.479612],0.416833[0.478945],0.417671[0.480283],14,0
Signal0,0.3965[0.483774],0.396912[0.483369],0.396084[0.484182],14,0
Hybridindex,8.2925[9.06858],8.26258[9.04424],8.32207[9.09248],15,0
Pref0,0.40775[0.475778],0.406439[0.475558],0.409046[0.475992],15,0
Signal0,0.385[0.480651],0.384809[0.479521],0.385189[0.481764],15,0
Hybridindex,7.85775[8.95057],7.77783[8.90632],7.93719[8.99363],16,0
Pref0,0.391[0.469967],0.392177[0.466704],0.389831[0.473186],16,0
Signal0,0.3595[0.47593],0.354062[0.474015],0.364905[0.477766],16,0
Hybridindex,8.0925[9.00126],7.76663[8.95155],8.43303[9.04038],17,0
Pref0,0.40825[0.470326],0.39726[0.466293],0.419734[0.474233],17,0
Signal0,0.37125[0.479112],0.355186[0.474978],0.388037[0.482824],17,0
Hybridindex,8.4955[9.05658],8.65978[9.08664],8.33383[9.02399],18,0
Pref0,0.42275[0.47661],0.432964[0.477616],0.412698[0.475404],18,0
Signal0,0.39325[0.482938],0.404234[0.484021],0.38244[0.481626],18,0
Hybridindex,8.06325[8.89357],8.31381[8.95509],7.81319[8.82466],19,0
Pref0,0.39525[0.470534],0.406907[0.473357],0.383616[0.467411],19,0
Signal0,0.36825[0.475675],0.380881[0.479118],0.355644[0.471877],19,0
Hybridindex,7.881[8.8082],7.79749[8.79821],7.96368[8.8173],20,0
Pref0,0.38875[0.467973],0.388945[0.466978],0.388557[0.468955],20,0
Signal0,0.355[0.473524],0.351256[0.472336],0.358706[0.474668],20,0
Hybridindex,7.6405[8.68106],7.50098[8.62842],7.78601[8.73325],21,0
Pref0,0.37375[0.463072],0.365328[0.461795],0.382533[0.464238],21,0
Signal0,0.34025[0.467819],0.334966[0.465185],0.345761[0.470487],21,0
Hybridindex,7.87175[8.71921],7.78771[8.76318],7.95596[8.67412],22,0
Pref0,0.38075[0.466534],0.378122[0.46788],0.383383[0.465167],22,0
Signal0,0.34875[0.471167],0.346653[0.471687],0.350851[0.470636],22,0
Hybridindex,7.63625[8.56832],7.63932[8.54543],7.63337[8.58977],23,0
Pref0,0.36625[0.462045],0.371517[0.460239],0.3613[0.463682],23,0
Signal0,0.33525[0.466082],0.334881[0.465065],0.335597[0.467035],23,0
Hybridindex,7.31475[8.46893],7.29659[8.47407],7.33283[8.46377],24,0
Pref0,0.3505[0.457056],0.349699[0.455928],0.351297[0.458174],24,0
Signal0,0.318[0.460843],0.316132[0.459819],0.31986[0.461853],24,0
Hybridindex,7.27[8.45733],7.1349[8.39412],7.41146[8.52071],25,0
Pref0,0.3475[0.457432],0.344086[0.455102],0.351075[0.459831],25,0
Signal0,0.31725[0.459867],0.309384[0.45719],0.325486[0.46251],25,0
Hybridindex,7.4545[8.47711],7.97887[8.60917],6.96068[8.32068],26,0
Pref0,0.35525[0.46035],0.384536[0.466472],0.32767[0.452781],26,0
Signal0,0.32675[0.462179],0.355155[0.46959],0.3[0.453466],26,0
Hybridindex,6.59075[8.09464],6.22008[7.87679],6.96967[8.29433],27,0
Pref0,0.309[0.44161],0.29179[0.43228],0.326593[0.450267],27,0
Signal0,0.2775[0.442994],0.256677[0.431388],0.298787[0.453565],27,0
Hybridindex,7.02675[8.24278],6.73646[8.07448],7.29471[8.38623],28,0
Pref0,0.33075[0.448307],0.318229[0.441389],0.342308[0.454294],28,0
Signal0,0.2995[0.451995],0.284375[0.443548],0.313462[0.459213],28,0
Hybridindex,7.35075[8.31723],7.10494[8.22853],7.58317[8.39363],29,0
Pref0,0.355[0.452742],0.343107[0.447701],0.366245[0.457172],29,0
Signal0,0.3165[0.45807],0.304527[0.452883],0.327821[0.462635],29,0
Hybridindex,7.63575[8.37184],7.57305[8.42138],7.69504[8.3243],30,0
Pref0,0.3715[0.459334],0.371399[0.45972],0.371595[0.458969],30,0
Signal0,0.32875[0.462924],0.328704[0.462847],0.328794[0.462996],30,0
Hybridindex,7.69675[8.32503],7.33011[8.24841],8.08842[8.38843],31,0
