X2,X3,X4,X5,Generation,Iter
Hybridindex,9.77[9.91701],9.79063[9.91771],9.74925[9.91626],1,0
Pref0,0.4885[0.495851],0.489531[0.495885],0.487462[0.495813],1,0
Signal0,0.4885[0.495851],0.489531[0.495885],0.487462[0.495813],1,0
Hybridindex,9.5295[9.89643],9.67791[9.89374],9.38748[9.89693],2,0
Pref0,0.47675[0.495565],0.484663[0.49514],0.469178[0.495853],2,0
Signal0,0.476[0.495907],0.484151[0.495382],0.4682[0.496284],2,0
Hybridindex,9.25925[9.84094],9.38641[9.8409],9.12423[9.83919],3,0
Pref0,0.46175[0.493874],0.467476[0.494298],0.45567[0.493351],3,0
Signal0,0.461[0.494195],0.467476[0.494298],0.454124[0.493993],3,0
Hybridindex,9.0135[9.78044],8.69344[9.7387],9.34729[9.81267],4,0
Pref0,0.4515[0.491068],0.436337[0.488719],0.467314[0.493009],4,0
Signal0,0.447[0.49289],0.43046[0.490919],0.464249[0.494349],4,0
Hybridindex,9.08375[9.73105],9.38198[9.76274],8.81446[9.69447],5,0
Pref0,0.4545[0.490081],0.469968[0.491116],0.440533[0.488725],5,0
Signal0,0.44775[0.493097],0.4647[0.493976],0.432445[0.491801],5,0
Hybridindex,8.8805[9.69921],8.87683[9.69645],8.88438[9.70213],6,0
Pref0,0.4465[0.488506],0.445472[0.488372],0.447585[0.488645],6,0
Signal0,0.4355[0.493041],0.436709[0.492283],0.434224[0.493837],6,0
Hybridindex,8.9735[9.66359],8.92717[9.66093],9.02201[9.66614],7,0
Pref0,0.451[0.48821],0.447214[0.488529],0.454964[0.487844],7,0
Signal0,0.43875[0.492822],0.435484[0.493102],0.44217[0.492505],7,0
Hybridindex,8.7325[9.62356],8.74076[9.62699],8.72466[9.6203],8,0
Pref0,0.4395[0.485376],0.438398[0.486263],0.440546[0.48453],8,0
Signal0,0.42675[0.491182],0.427618[0.491349],0.425926[0.491021],8,0
Hybridindex,8.86975[9.53046],8.66932[9.50329],9.07179[9.55352],9,0
Pref0,0.445[0.481897],0.437251[0.481269],0.452811[0.482403],9,0
Signal0,0.43325[0.487257],0.421315[0.48717],0.445281[0.487049],9,0
Hybridindex,8.81925[9.50217],8.95869[9.55827],8.6946[9.44999],10,0
Pref0,0.44275[0.481505],0.450742[0.483257],0.435606[0.479821],10,0
Signal0,0.4325[0.486512],0.439089[0.488477],0.42661[0.484673],10,0
Hybridindex,8.69275[9.46586],8.75[9.48515],8.63596[9.44634],11,0
Pref0,0.43875[0.480233],0.445783[0.480098],0.431773[0.480264],11,0
Signal0,0.423[0.486899],0.426205[0.488138],0.419821[0.485646],11,0
Hybridindex,8.79975[9.42442],8.66667[9.3948],8.93994[9.45351],12,0
Pref0,0.45175[0.478588],0.441033[0.479281],0.463039[0.477598],12,0
Signal0,0.4235[0.487491],0.417641[0.485953],0.429671[0.48903],12,0
Hybridindex,8.8885[9.41021],8.9311[9.40447],8.84699[9.41561],13,0
Pref0,0.4565[0.479695],0.461499[0.478554],0.451629[0.480755],13,0
Signal0,0.42375[0.488427],0.424519[0.4886],0.423001[0.488257],13,0
Hybridindex,8.4035[9.3214],7.97559[9.2229],8.85246[9.40272],14,0
Pref0,0.43475[0.476568],0.414551[0.47163],0.455943[0.480784],14,0
Signal0,0.39975[0.484329],0.379395[0.478906],0.421107[0.489045],14,0
Hybridindex,8.78875[9.3656],9.14744[9.40938],8.4322[9.30819],15,0
Pref0,0.454[0.47894],0.475426[0.479414],0.432702[0.477518],15,0
Signal0,0.4195[0.487873],0.437813[0.489247],0.401296[0.485819],15,0
Hybridindex,8.37475[9.29618],8.64598[9.35329],8.11259[9.23307],16,0
Pref0,0.43[0.47655],0.444557[0.47973],0.415929[0.473031],16,0
Signal0,0.3975[0.484504],0.413021[0.487706],0.382498[0.480912],16,0
Hybridindex,8.089[9.16213],8.11214[9.22851],8.06712[9.09886],17,0
Pref0,0.4085[0.474213],0.407922[0.477378],0.409047[0.4712],17,0
Signal0,0.38025[0.480141],0.384774[0.481761],0.375973[0.478564],17,0
Hybridindex,7.87525[9.05888],7.96976[9.08279],7.7759[9.03261],18,0
Pref0,0.39125[0.470955],0.392195[0.473016],0.390256[0.468776],18,0
Signal0,0.3685[0.47535],0.372683[0.476404],0.364103[0.4742],18,0
Hybridindex,7.624[8.97733],7.46821[8.93334],7.7722[9.01647],19,0
Pref0,0.37675[0.468171],0.365641[0.466739],0.387317[0.469286],19,0
Signal0,0.35375[0.472743],0.345128[0.470803],0.361951[0.474435],19,0
Hybridindex,7.62125[8.91511],7.54573[8.85528],7.69769[8.97461],20,0
Pref0,0.37575[0.466569],0.371272[0.463456],0.380282[0.469656],20,0
Signal0,0.35225[0.470686],0.34841[0.467782],0.356137[0.473575],20,0
Hybridindex,7.72925[8.91722],7.63442[8.90115],7.82073[8.93174],21,0
Pref0,0.38[0.468348],0.377291[0.468415],0.382613[0.468268],21,0
Signal0,0.3545[0.472313],0.351324[0.471481],0.357564[0.473094],21,0
Hybridindex,7.63625[8.85655],7.6779[8.8694],7.59384[8.84325],22,0
Pref0,0.37775[0.465489],0.379584[0.466541],0.375883[0.464408],22,0
Signal0,0.349[0.47138],0.351338[0.472432],0.34662[0.470294],22,0
Hybridindex,7.48175[8.76988],7.44196[8.73768],7.52218[8.80229],23,0
Pref0,0.37025[0.463993],0.364583[0.46373],0.376008[0.46419],23,0
Signal0,0.34125[0.467893],0.340774[0.46632],0.341734[0.469484],23,0
Hybridindex,7.7875[8.82153],8.08904[8.94181],7.51522[8.70252],24,0
Pref0,0.3895[0.466679],0.410432[0.471961],0.370599[0.461043],24,0
Signal0,0.354[0.472424],0.373551[0.477443],0.336346[0.467143],24,0
Hybridindex,7.28725[8.64123],7.22271[8.62724],7.35524[8.65543],25,0
Pref0,0.367[0.458324],0.362573[0.458962],0.371663[0.457605],25,0
Signal0,0.32725[0.463716],0.323099[0.462684],0.331622[0.46476],25,0
Hybridindex,7.50375[8.72629],7.52012[8.72187],7.48757[8.73062],26,0
Pref0,0.37475[0.462263],0.37173[0.46334],0.377734[0.461178],26,0
Signal0,0.3405[0.468305],0.34004[0.467846],0.340954[0.468758],26,0
Hybridindex,7.51475[8.68809],7.53994[8.68141],7.49131[8.69423],27,0
Pref0,0.37925[0.461025],0.38278[0.461432],0.375965[0.460623],27,0
Signal0,0.33975[0.466846],0.341286[0.466977],0.33832[0.466719],27,0
Hybridindex,7.65825[8.70418],7.71799[8.73955],7.5957[8.66656],28,0
Pref0,0.3795[0.462579],0.380743[0.463687],0.378199[0.461413],28,0
Signal0,0.34425[0.469433],0.347996[0.470138],0.340328[0.468661],28,0
Hybridindex,7.59075[8.65232],7.57661[8.67166],7.60466[8.63322],29,0
Pref0,0.38025[0.461286],0.37752[0.462689],0.382937[0.459885],29,0
Signal0,0.3375[0.468875],0.337702[0.470254],0.337302[0.467514],29,0
Hybridindex,7.641[8.63837],7.77877[8.65494],7.50101[8.61924],30,0
Pref0,0.38775[0.462628],0.388889[0.46564],0.386593[0.459544],30,0
Signal0,0.34125[0.46896],0.34871[0.470012],0.333669[0.467767],30,0
Hybridindex,7.35675[8.50358],7.08119[8.39319],7.61782[8.59872],31,0
Pref0,0.3735[0.456342],0.358171[0.452727],0.388023[0.459269],31,0
Signal0,0.3245[0.463087],0.311922[0.45854],0.336417[0.467042],31,0
Hybridindex,7.3995[8.42657],7.45736[8.44509],7.34335[8.40819],32,0
Pref0,0.37175[0.456812],0.372081[0.458847],0.371429[0.454828],32,0
Signal0,0.32525[0.460258],0.326904[0.460894],0.323645[0.459634],32,0
Hybridindex,7.2665[8.37129],7.11788[8.34024],7.41542[8.39965],33,0
Pref0,0.3625[0.453975],0.357642[0.450845],0.367367[0.457039],33,0
Signal0,0.3195[0.457897],0.311688[0.455023],0.327327[0.460626],33,0
Hybridindex,7.57775[8.46911],7.19835[8.28085],7.98142[8.64667],34,0
Pref0,0.379[0.461095],0.361785[0.451911],0.397317[0.469979],34,0
Signal0,0.33825[0.465523],0.316198[0.454975],0.361713[0.475368],34,0
Hybridindex,8.00675[8.58509],7.68769[8.42098],8.32517[8.73419],35,0
Pref0,0.39875[0.467304],0.38038[0.462244],0.417083[0.471588],35,0
Signal0,0.359[0.474994],0.341341[0.467784],0.376623[0.481437],35,0
Hybridindex,7.91425[8.52451],7.76358[8.50473],8.06312[8.5414],36,0
Pref0,0.395[0.463923],0.388833[0.461785],0.401093[0.465947],36,0
Signal0,0.352[0.472066],0.345573[0.469433],0.35835[0.474567],36,0
Hybridindex,8.14225[8.53423],7.64184[8.38264],8.62304[8.65016],37,0
Pref0,0.401[0.469254],0.372959[0.460627],0.427941[0.475842],37,0
Signal0,0.36275[0.476747],0.333673[0.467722],0.390686[0.483615],37,0
Hybridindex,8.612[8.60296],8.69036[8.60038],8.5327[8.60485],38,0
Pref0,0.42575[0.47446],0.429423[0.475534],0.422032[0.473341],38,0
Signal0,0.39125[0.481973],0.39662[0.482032],0.385815[0.481854],38,0
Hybridindex,8.51125[8.60538],8.27546[8.54059],8.7387[8.66133],39,0
Pref0,0.42625[0.47269],0.416497[0.468621],0.435658[0.476393],39,0
Signal0,0.3865[0.483082],0.37169[0.479554],0.400786[0.486032],39,0
Hybridindex,8.83525[8.67204],8.75327[8.66752],8.91609[8.67573],40,0
Pref0,0.439[0.476213],0.431017[0.476565],0.446872[0.475735],40,0
Signal0,0.403[0.486406],0.397784[0.484789],0.408143[0.487941],40,0
Hybridindex,8.845[8.62466],8.6749[8.59073],9.00584[8.65354],41,0
Pref0,0.44125[0.475314],0.436728[0.471796],0.445525[0.478577],41,0
Signal0,0.404[0.486091],0.393519[0.484034],0.413911[0.48782],41,0
Hybridindex,9.0175[8.59955],9.00883[8.60282],9.02555[8.5965],42,0
Pref0,0.4505[0.474921],0.452752[0.473164],0.448409[0.476537],42,0
Signal0,0.41225[0.486492],0.412253[0.48587],0.412247[0.48707],42,0
Hybridindex,9.03475[8.54807],8.74724[8.45667],9.3194[8.62817],43,0
Pref0,0.45675[0.473819],0.446734[0.469338],0.466667[0.478007],43,0
