X2,X3,X4,X5,Generation,Iter
Hybridindex,9.00114[9.89852],8.99061[9.88976],9.01099[9.9067],1,0
Pref0,0.450057[0.494926],0.449531[0.494488],0.450549[0.495335],1,0
Signal0,0.450057[0.494926],0.449531[0.494488],0.450549[0.495335],1,0
Hybridindex,8.82027[9.8575],8.24592[9.787],9.38844[9.89401],2,0
Pref0,0.441216[0.493461],0.413043[0.489613],0.469086[0.495665],2,0
Signal0,0.442568[0.492935],0.413043[0.489613],0.471774[0.494468],2,0
Hybridindex,9.5687[9.88728],10.1391[9.89902],8.93773[9.83582],3,0
Pref0,0.478261[0.496033],0.504967[0.497486],0.448718[0.492739],3,0
Signal0,0.48087[0.494825],0.506623[0.496634],0.452381[0.491246],3,0
Hybridindex,8.96209[9.86717],8.55838[9.86767],9.31556[9.85317],4,0
Pref0,0.451422[0.49345],0.426396[0.494553],0.473333[0.491438],4,0
Signal0,0.450237[0.493932],0.426396[0.494553],0.471111[0.492442],4,0
Hybridindex,10.0203[9.8457],10.8938[9.84162],9.14687[9.77203],5,0
Pref0,0.503125[0.493701],0.546875[0.493067],0.459375[0.490446],5,0
Signal0,0.504687[0.492896],0.55[0.491172],0.459375[0.490446],5,0
Hybridindex,9.84466[9.77602],9.21782[9.76491],10.4476[9.74873],6,0
Pref0,0.5[0.487713],0.470297[0.486561],0.528571[0.487113],6,0
Signal0,0.487864[0.493746],0.455446[0.493016],0.519048[0.492437],6,0
Hybridindex,10.7967[9.78231],11.5185[9.73236],9.94928[9.77283],7,0
Pref0,0.56[0.479305],0.592593[0.478624],0.521739[0.477272],7,0
Signal0,0.536667[0.493615],0.574074[0.491352],0.492754[0.492647],7,0
Hybridindex,10.7143[9.72228],11.5714[9.74531],9.97959[9.64204],8,0
Pref0,0.532967[0.490583],0.571429[0.494872],0.5[0.484452],8,0
Signal0,0.527473[0.493711],0.571429[0.494872],0.489796[0.489583],8,0
Hybridindex,10.2037[9.81237],9.51923[9.7295],10.8393[9.84619],9,0
Pref0,0.509259[0.495262],0.480769[0.489913],0.535714[0.498723],9,0
Signal0,0.5[0.5],0.461538[0.498519],0.535714[0.498723],9,0
Hybridindex,14.1333[8.9684],13.5278[9.16284],15.0417[8.58889],10,0
Pref0,0.716667[0.441273],0.694444[0.445312],0.75[0.433013],10,0
Signal0,0.7[0.458258],0.666667[0.471405],0.75[0.433013],10,0
Hybridindex,15.125[8.45484],17.5[6.61438],12.75[9.3775],11,0
Pref0,0.78125[0.394048],0.875[0.330719],0.6875[0.428478],11,0
Signal0,0.75[0.433013],0.875[0.330719],0.625[0.484123],11,0
Hybridindex,10[9.70143],10[9.42809],10[10],12,0
Pref0,0.5[0.485071],0.5[0.471405],0.5[0.5],12,0
Signal0,0.5[0.485071],0.5[0.471405],0.5[0.5],12,0
Hybridindex,2.5[4.33013],5[5],0[0],13,0
Pref0,0.125[0.216506],0.25[0.25],0[0],13,0
Signal0,0.125[0.216506],0.25[0.25],0[0],13,0
Hybridindex,0[0],0[0],0[0],14,0
Pref0,0[0],0[0],0[0],14,0
Signal0,0[0],0[0],0[0],14,0
Hybridindex,0[0],0[0],0[0],15,0
Pref0,0[0],0[0],0[0],15,0
Signal0,0[0],0[0],0[0],15,0
Hybridindex,9.93797[9.96874],9.55882[9.9657],10.3266[9.95688],1,0_1
Pref0,0.496898[0.498437],0.477941[0.498285],0.516332[0.497844],1,0_1
Signal0,0.496898[0.498437],0.477941[0.498285],0.516332[0.497844],1,0_1
Hybridindex,10.735[9.91506],10.8302[9.892],10.6392[9.93728],2,0_1
Pref0,0.536278[0.496304],0.540881[0.495161],0.531646[0.49741],2,0_1
Signal0,0.536278[0.496304],0.540881[0.495161],0.531646[0.49741],2,0_1
Hybridindex,10.8385[9.88458],11.2263[9.86381],10.424[9.88995],3,0_1
Pref0,0.541203[0.494936],0.560345[0.494169],0.520737[0.494936],3,0_1
Signal0,0.541203[0.494936],0.560345[0.494169],0.520737[0.494936],3,0_1
Hybridindex,10.4785[9.92407],9.90604[9.91446],11.0359[9.90166],4,0_1
Pref0,0.524834[0.49689],0.496644[0.496622],0.552288[0.495613],4,0_1
Signal0,0.521523[0.498707],0.493289[0.498274],0.54902[0.497591],4,0_1
Hybridindex,11.8622[9.72479],11.2011[9.83293],12.449[9.58967],5,0_1
Pref0,0.591892[0.487342],0.557471[0.493785],0.622449[0.479483],5,0_1
Signal0,0.591892[0.487342],0.557471[0.493785],0.622449[0.479483],5,0_1
Hybridindex,12.8545[9.3671],12.95[9.34643],12.74[9.39055],6,0_1
Pref0,0.645455[0.468777],0.65[0.468152],0.64[0.469468],6,0_1
Signal0,0.640909[0.472574],0.641667[0.475146],0.64[0.469468],6,0_1
Hybridindex,14.2167[8.90523],15.1667[8.30439],13.4394[9.29627],7,0_1
Pref0,0.716667[0.441273],0.759259[0.416564],0.681818[0.457566],7,0_1
Signal0,0.7[0.458258],0.740741[0.438228],0.666667[0.471405],7,0_1
Hybridindex,14.6[8.42437],16.3696[7.13415],13.0926[9.11758],8,0_1
Pref0,0.75[0.403113],0.847826[0.310497],0.666667[0.451335],8,0_1
Signal0,0.71[0.448219],0.804348[0.382757],0.62963[0.482904],8,0_1
Hybridindex,13[9.19811],12.4[9.34915],15.25[8.22724],9,0_1
Pref0,0.657895[0.460338],0.633333[0.46428],0.75[0.433013],9,0_1
Signal0,0.631579[0.482376],0.6[0.489898],0.75[0.433013],9,0_1
Hybridindex,16[8],13.3333[9.42809],20[0],10,0_1
Pref0,0.8[0.4],0.666667[0.471405],1[0],10,0_1
Signal0,0.8[0.4],0.666667[0.471405],1[0],10,0_1
Hybridindex,20[0],20[0],20[0],11,0_1
Pref0,1[0],1[0],1[0],11,0_1
Signal0,1[0],1[0],1[0],11,0_1
Hybridindex,20[0],20[0],20[0],12,0_1
Pref0,1[0],1[0],1[0],12,0_1
Signal0,1[0],1[0],1[0],12,0_1
Hybridindex,20[0],20[0],20[0],13,0_1
Pref0,1[0],1[0],1[0],13,0_1
Signal0,1[0],1[0],1[0],13,0_1
Hybridindex,10.3471[9.93779],10.068[9.95431],10.6195[9.91407],1,0_10
Pref0,0.517357[0.496889],0.503401[0.497716],0.530973[0.495704],1,0_10
Signal0,0.517357[0.496889],0.503401[0.497716],0.530973[0.495704],1,0_10
Hybridindex,10.8313[9.85931],10.9216[9.87381],10.7208[9.84042],2,0_10
Pref0,0.54125[0.493886],0.545455[0.494494],0.536111[0.493093],2,0_10
Signal0,0.54[0.494621],0.545455[0.494494],0.533333[0.494694],2,0_10
Hybridindex,10.9974[9.81542],11.3249[9.78898],10.6909[9.83023],3,0_10
Pref0,0.548866[0.49276],0.564982[0.491187],0.533784[0.493752],3,0_10
Signal0,0.548866[0.49276],0.566787[0.490025],0.532095[0.494719],3,0_10
Hybridindex,10.5229[9.82889],10.4399[9.85521],10.6089[9.80081],4,0_10
Pref0,0.527293[0.492097],0.523605[0.492955],0.531111[0.491176],4,0_10
Signal0,0.522926[0.494532],0.519313[0.495313],0.526667[0.493694],4,0_10
Hybridindex,9.24211[9.83055],8.98966[9.84876],9.50357[9.80479],5,0_10
Pref0,0.466667[0.493585],0.458621[0.493067],0.475[0.493982],5,0_10
Signal0,0.454386[0.497033],0.444828[0.495209],0.464286[0.498723],5,0_10
Hybridindex,10.3102[9.86324],10.3802[9.83953],10.2363[9.88765],6,0_10
Pref0,0.510695[0.498547],0.515625[0.497144],0.505495[0.49997],6,0_10
Signal0,0.508021[0.499936],0.510417[0.499891],0.505495[0.49997],6,0_10
Hybridindex,11.0433[9.86912],9.88776[9.91251],12.0727[9.71523],7,0_10
Pref0,0.548077[0.497683],0.489796[0.499896],0.6[0.489898],7,0_10
Signal0,0.548077[0.497683],0.489796[0.499896],0.6[0.489898],7,0_10
Hybridindex,11.2391[9.77375],10.8125[9.78052],11.8276[9.73376],8,0_10
Pref0,0.557971[0.492967],0.5375[0.492284],0.586207[0.492512],8,0_10
Signal0,0.557971[0.492967],0.5375[0.492284],0.586207[0.492512],8,0_10
Hybridindex,11.8333[9.67026],9.55882[9.84868],13.8684[9.03479],9,0_10
