X2,X3,X4,X5,Generation,Iter
Hybridindex,10.025[9.95236],10.111[9.9488],9.94054[9.95512],1,0
Pref0,0.50125[0.497618],0.50555[0.49744],0.497027[0.497756],1,0
Signal0,0.50125[0.497618],0.50555[0.49744],0.497027[0.497756],1,0
Hybridindex,9.94575[9.92246],10.1219[9.94252],9.78185[9.90094],2,0
Pref0,0.4975[0.496733],0.506224[0.497361],0.489382[0.49601],2,0
Signal0,0.4975[0.496733],0.507261[0.497868],0.488417[0.495502],2,0
Hybridindex,9.9475[9.88026],9.97236[9.87502],9.92289[9.88538],3,0
Pref0,0.49725[0.49585],0.49799[0.495706],0.496517[0.495992],3,0
Signal0,0.499[0.495983],0.501005[0.494694],0.497015[0.497247],3,0
Hybridindex,9.478[9.8233],9.74854[9.83391],9.19072[9.80386],4,0
Pref0,0.475[0.494343],0.487864[0.494237],0.46134[0.494089],4,0
Signal0,0.47575[0.494507],0.48932[0.495497],0.46134[0.493045],4,0
Hybridindex,9.21675[9.75907],9.46211[9.75867],8.96341[9.75301],5,0
Pref0,0.46075[0.493036],0.473425[0.492845],0.447663[0.492891],5,0
Signal0,0.462[0.493261],0.475394[0.493944],0.448171[0.492171],5,0
Hybridindex,8.5685[9.63775],8.32926[9.57553],8.81851[9.69605],6,0
Pref0,0.43025[0.488631],0.417319[0.485367],0.443763[0.491655],6,0
Signal0,0.431[0.489121],0.418787[0.485866],0.443763[0.492175],6,0
Hybridindex,9.01175[9.6593],8.8856[9.65605],9.14148[9.66091],7,0
Pref0,0.45325[0.491365],0.444773[0.489946],0.461968[0.492668],7,0
Signal0,0.45275[0.49208],0.447239[0.491974],0.458418[0.492124],7,0
Hybridindex,9.13125[9.60074],8.78621[9.59017],9.47698[9.59889],8,0
Pref0,0.45975[0.492702],0.442557[0.490618],0.476977[0.494181],8,0
Signal0,0.45875[0.49033],0.437562[0.487965],0.47998[0.491774],8,0
Hybridindex,9.649[9.58726],9.81286[9.55016],9.4736[9.62372],9,0
Pref0,0.48825[0.493444],0.497099[0.492685],0.478778[0.49408],9,0
Signal0,0.48475[0.492587],0.493714[0.492408],0.475155[0.492599],9,0
Hybridindex,9.53975[9.57133],9.5743[9.57815],9.50548[9.56443],10,0
Pref0,0.47925[0.492133],0.484438[0.491401],0.474104[0.492803],10,0
Signal0,0.47725[0.492552],0.480924[0.492553],0.473606[0.492524],10,0
Hybridindex,9.24725[9.52338],8.99379[9.52791],9.52571[9.51062],11,0
Pref0,0.46525[0.493627],0.449857[0.491686],0.482162[0.495199],11,0
Signal0,0.4615[0.493475],0.448902[0.492073],0.475341[0.494641],11,0
Hybridindex,9.27175[9.52149],9.12728[9.5288],9.41223[9.51228],12,0
Pref0,0.4635[0.493374],0.453347[0.493214],0.473373[0.493329],12,0
Signal0,0.462[0.493261],0.454868[0.493612],0.468935[0.49282],12,0
Hybridindex,9.24075[9.45384],9.11919[9.46548],9.3599[9.4409],13,0
Pref0,0.45975[0.493209],0.45404[0.493553],0.465347[0.492807],13,0
Signal0,0.45925[0.492153],0.45303[0.492434],0.465347[0.491801],13,0
Hybridindex,9.58425[9.39918],9.38906[9.43092],9.77789[9.36356],14,0
Pref0,0.47725[0.491281],0.465863[0.492249],0.488546[0.490059],14,0
Signal0,0.47825[0.491327],0.467369[0.492096],0.489044[0.490324],14,0
Hybridindex,9.9075[9.37188],9.94106[9.37815],9.875[9.36569],15,0
Pref0,0.49125[0.492746],0.495427[0.493071],0.487205[0.492397],15,0
Signal0,0.49475[0.49178],0.499492[0.491544],0.490157[0.491965],15,0
Hybridindex,10.0168[9.27737],10.0244[9.29143],10.0094[9.26372],16,0
Pref0,0.4965[0.492684],0.493902[0.493312],0.499016[0.492062],16,0
Signal0,0.50275[0.490782],0.501524[0.490507],0.503937[0.491046],16,0
Hybridindex,10.427[9.22287],10.3958[9.21577],10.4612[9.23054],17,0
Pref0,0.51825[0.493753],0.51673[0.493705],0.519916[0.4938],17,0
Signal0,0.5195[0.491294],0.515296[0.490595],0.524109[0.492018],17,0
Hybridindex,10.5045[9.16523],10.381[9.11128],10.6377[9.22124],18,0
Pref0,0.5235[0.49239],0.518786[0.490157],0.528586[0.494737],18,0
Signal0,0.52525[0.491668],0.520713[0.490571],0.530146[0.492802],18,0
Hybridindex,10.45[9.1497],10.0465[9.15572],10.8455[9.1265],19,0
Pref0,0.52075[0.492386],0.5[0.492366],0.541089[0.491557],19,0
Signal0,0.52325[0.492782],0.501515[0.493132],0.544554[0.491507],19,0
Hybridindex,11.0198[9.05944],10.6604[9.04655],11.3664[9.05836],20,0
Pref0,0.5515[0.490253],0.532587[0.491224],0.569745[0.488621],20,0
Signal0,0.55075[0.490458],0.531568[0.491808],0.569253[0.48844],20,0
Hybridindex,11.3938[8.96763],11.4764[8.96314],11.3119[8.97132],21,0
Pref0,0.57125[0.488926],0.575879[0.48807],0.566667[0.489729],21,0
Signal0,0.56975[0.488119],0.573869[0.488378],0.565672[0.487828],21,0
Hybridindex,11.2933[8.94999],11.1737[8.96616],11.4126[8.93223],22,0
Pref0,0.5665[0.489722],0.562563[0.48998],0.57043[0.489434],22,0
Signal0,0.56[0.488774],0.555556[0.489291],0.564436[0.488217],22,0
Hybridindex,11.1423[8.89485],11.4024[8.81251],10.8826[8.96875],23,0
Pref0,0.55875[0.488286],0.573574[0.484331],0.543956[0.491756],23,0
Signal0,0.556[0.487969],0.569069[0.485252],0.542957[0.490319],23,0
Hybridindex,11.1977[8.80118],11.3447[8.78258],11.0589[8.81648],24,0
Pref0,0.5615[0.488076],0.570988[0.488133],0.552529[0.487852],24,0
Signal0,0.5525[0.489125],0.563786[0.488073],0.541829[0.489879],24,0
Hybridindex,11.1052[8.71084],11.0688[8.7114],11.1429[8.7101],25,0
Pref0,0.5555[0.487257],0.554081[0.485812],0.556968[0.488744],25,0
Signal0,0.54375[0.489347],0.539331[0.488739],0.548321[0.489934],25,0
Hybridindex,11.3918[8.60212],11.1344[8.63732],11.6476[8.55932],26,0
Pref0,0.5675[0.48471],0.552156[0.485794],0.582752[0.483147],26,0
Signal0,0.561[0.486856],0.545135[0.489067],0.57677[0.484134],26,0
Hybridindex,11.7048[8.43775],11.5311[8.47288],11.8777[8.39906],27,0
Pref0,0.582[0.47935],0.569639[0.480491],0.594311[0.477892],27,0
Signal0,0.576[0.485514],0.564128[0.485662],0.587824[0.485078],27,0
Hybridindex,12.006[8.2945],12.2116[8.25429],11.8016[8.32925],28,0
Pref0,0.599[0.475078],0.608325[0.472728],0.589731[0.477222],28,0
Signal0,0.59475[0.479737],0.611836[0.475351],0.577767[0.483459],28,0
Hybridindex,11.5068[8.27182],11.4906[8.30199],11.5233[8.24084],29,0
Pref0,0.571[0.478758],0.5727[0.477906],0.569262[0.479621],29,0
Signal0,0.56925[0.481487],0.567755[0.482748],0.570779[0.480189],29,0
Hybridindex,11.218[8.19393],11.7642[8.19823],10.6472[8.15041],30,0
