X2,X3,X4,X5,Generation,Iter
Hybridindex,9.82[9.94825],9.67807[9.94436],9.96024[9.95009],1,0
Pref0,0.491[0.497412],0.483903[0.497218],0.498012[0.497505],1,0
Signal0,0.491[0.497412],0.483903[0.497218],0.498012[0.497505],1,0
Hybridindex,10.0047[9.92467],9.67418[9.9276],10.3198[9.91162],2,0
Pref0,0.50025[0.497117],0.484119[0.497436],0.515625[0.496324],2,0
Signal0,0.5[0.496991],0.484119[0.496921],0.515137[0.496585],2,0
Hybridindex,10.2063[9.91973],10.0377[9.9105],10.3771[9.92616],3,0
Pref0,0.51025[0.497765],0.50149[0.49701],0.519134[0.498372],3,0
Signal0,0.511[0.497121],0.502979[0.496753],0.519134[0.497361],3,0
Hybridindex,10.3865[9.87642],10.0214[9.89783],10.7568[9.84083],4,0
Pref0,0.52[0.496337],0.50149[0.497509],0.538771[0.494438],4,0
Signal0,0.52025[0.495444],0.5[0.497262],0.540785[0.492745],4,0
Hybridindex,11.0793[9.79776],11.1468[9.79201],11.0057[9.80348],5,0
Pref0,0.555[0.492671],0.559021[0.492867],0.550626[0.492421],5,0
Signal0,0.55625[0.492657],0.559981[0.492264],0.552192[0.493052],5,0
Hybridindex,10.934[9.79239],10.9966[9.78573],10.8691[9.79886],6,0
Pref0,0.5475[0.493704],0.550098[0.493519],0.544807[0.493882],6,0
Signal0,0.54825[0.493758],0.550098[0.494016],0.546334[0.493483],6,0
Hybridindex,11.3358[9.71612],11.3591[9.70454],11.3122[9.72771],7,0
Pref0,0.56825[0.490374],0.570219[0.489735],0.566265[0.49101],7,0
Signal0,0.569[0.490397],0.569721[0.489043],0.568273[0.491757],7,0
Hybridindex,11.3145[9.70399],11.2884[9.72755],11.3417[9.67928],8,0
Pref0,0.56675[0.49109],0.567091[0.492007],0.566394[0.490132],8,0
Signal0,0.56775[0.490189],0.566112[0.491143],0.569459[0.489185],8,0
Hybridindex,11.1225[9.65779],10.9442[9.63545],11.299[9.67663],9,0
Pref0,0.5575[0.490096],0.548744[0.489473],0.566169[0.490557],9,0
Signal0,0.55925[0.49027],0.548241[0.490292],0.570149[0.490004],9,0
Hybridindex,11.4563[9.53763],11.8394[9.50503],11.0851[9.55446],10,0
Pref0,0.57575[0.48671],0.597053[0.483972],0.555118[0.488463],10,0
Signal0,0.57625[0.486118],0.592988[0.48477],0.560039[0.486873],10,0
Hybridindex,10.7715[9.52471],11.0915[9.51389],10.4482[9.52471],11,0
Pref0,0.54175[0.490033],0.559701[0.488085],0.523618[0.491327],11,0
Signal0,0.5405[0.490265],0.560199[0.489296],0.520603[0.490439],11,0
Hybridindex,10.4093[9.50023],10.6318[9.51367],10.1876[9.48164],12,0
Pref0,0.52225[0.492575],0.53006[0.490999],0.514471[0.494016],12,0
Signal0,0.52[0.489234],0.52505[0.487698],0.51497[0.490708],12,0
Hybridindex,10.307[9.43999],10.2835[9.43764],10.3294[9.44219],13,0
Pref0,0.5175[0.492386],0.513306[0.492863],0.521505[0.491896],13,0
Signal0,0.51425[0.490328],0.513818[0.490507],0.514663[0.490157],13,0
Hybridindex,10.812[9.35315],10.9657[9.34296],10.6564[9.36089],14,0
Pref0,0.54125[0.491603],0.549702[0.491999],0.532696[0.491054],14,0
Signal0,0.53925[0.488963],0.547714[0.489157],0.530684[0.488617],14,0
Hybridindex,10.5427[9.32529],10.4981[9.34043],10.59[9.30902],15,0
Pref0,0.52975[0.491925],0.525778[0.493702],0.533951[0.490003],15,0
Signal0,0.52275[0.491281],0.521401[0.492185],0.524177[0.49032],15,0
Hybridindex,10.7415[9.26376],10.7203[9.25484],10.7621[9.27236],16,0
Pref0,0.539[0.491659],0.537563[0.491667],0.540394[0.491648],16,0
Signal0,0.53225[0.491513],0.533503[0.49196],0.531034[0.491075],16,0
Hybridindex,10.7475[9.21694],10.8917[9.1728],10.6027[9.25879],17,0
Pref0,0.53975[0.492235],0.550898[0.490838],0.528557[0.493379],17,0
Signal0,0.53425[0.491632],0.543912[0.489987],0.524549[0.493087],17,0
Hybridindex,10.3515[9.18098],10.2143[9.20903],10.4909[9.15029],18,0
Pref0,0.5205[0.492016],0.511905[0.493366],0.529234[0.490486],18,0
Signal0,0.512[0.492043],0.502976[0.492998],0.521169[0.490901],18,0
Hybridindex,10.6235[9.12003],10.8554[9.14016],10.3821[9.09276],19,0
Pref0,0.5325[0.489585],0.546569[0.489135],0.517857[0.489624],19,0
Signal0,0.52575[0.491388],0.541176[0.491866],0.509694[0.490375],19,0
Hybridindex,10.776[8.97725],10.4806[8.95904],11.0449[8.98536],20,0
Pref0,0.53825[0.489553],0.517314[0.490694],0.557307[0.487731],20,0
Signal0,0.528[0.489097],0.513116[0.489219],0.541547[0.488593],20,0
Hybridindex,11.1442[8.93102],11.0898[8.95754],11.2008[8.90303],21,0
Pref0,0.55575[0.488382],0.552012[0.489581],0.559633[0.487103],21,0
Signal0,0.5505[0.488057],0.548577[0.490184],0.552497[0.48583],21,0
Hybridindex,11.2643[8.81815],11.3288[8.78107],11.1994[8.85475],22,0
Pref0,0.55875[0.487774],0.561876[0.485995],0.555611[0.489533],22,0
Signal0,0.556[0.486944],0.559381[0.485536],0.552605[0.488329],22,0
Hybridindex,11.5665[8.72157],11.9478[8.63805],11.1736[8.78952],23,0
Pref0,0.573[0.48417],0.591626[0.479099],0.553807[0.488599],23,0
Signal0,0.57275[0.485368],0.595567[0.480896],0.549239[0.488821],23,0
Hybridindex,10.7892[8.72214],10.7929[8.72096],10.7856[8.72333],24,0
Pref0,0.52675[0.488784],0.530228[0.488549],0.523209[0.488997],24,0
Signal0,0.52775[0.492296],0.525768[0.490575],0.529768[0.494033],24,0
Hybridindex,10.6758[8.64439],10.4552[8.67892],10.8839[8.6065],25,0
Pref0,0.5205[0.490744],0.504634[0.490622],0.535471[0.490389],25,0
Signal0,0.5215[0.492227],0.509269[0.49239],0.533042[0.491795],25,0
Hybridindex,11.1387[8.59204],11.3327[8.55],10.9479[8.62895],26,0
Pref0,0.54475[0.488746],0.560988[0.486781],0.52877[0.490147],26,0
Signal0,0.55025[0.49],0.560988[0.489363],0.539683[0.490397],26,0
Hybridindex,10.5757[8.53747],10.5149[8.58037],10.6376[8.49321],27,0
Pref0,0.513[0.491],0.510913[0.491374],0.515121[0.490611],27,0
Signal0,0.51925[0.491431],0.515377[0.491507],0.523185[0.491323],27,0
Hybridindex,10.388[8.45517],10.4197[8.46535],10.3566[8.44494],28,0
Pref0,0.5005[0.491426],0.501004[0.491391],0.5[0.491461],28,0
Signal0,0.5105[0.489275],0.510542[0.49],0.510458[0.488554],28,0
Hybridindex,10.047[8.38293],9.60155[8.35213],10.5191[8.38967],29,0
Pref0,0.48275[0.490996],0.45967[0.489021],0.507209[0.491901],29,0
Signal0,0.4905[0.489295],0.466472[0.489038],0.515963[0.488279],29,0
Hybridindex,10.7427[8.28869],11.1606[8.17149],10.3122[8.38601],30,0
Pref0,0.521[0.489958],0.544828[0.486478],0.496447[0.492314],30,0
Signal0,0.52175[0.489798],0.54335[0.48737],0.499492[0.491295],30,0
Hybridindex,10.5493[8.14041],10.1456[8.16776],10.9753[8.08961],31,0
Pref0,0.509[0.487257],0.486855[0.487],0.532374[0.486435],31,0
Signal0,0.509[0.487769],0.492697[0.488121],0.526208[0.486806],31,0
Hybridindex,10.841[8.03254],10.8994[8.02792],10.7878[8.03639],32,0
Pref0,0.52725[0.486706],0.530922[0.487085],0.523901[0.486336],32,0
Signal0,0.527[0.484532],0.531447[0.483541],0.522945[0.485398],32,0
Hybridindex,10.6325[7.89971],10.4938[7.97648],10.7864[7.81076],33,0
Pref0,0.51525[0.486202],0.506654[0.488901],0.524789[0.48301],33,0
Signal0,0.5125[0.487692],0.504753[0.489409],0.521097[0.485635],33,0
Hybridindex,10.5958[7.7813],10.5938[7.80931],10.5978[7.75121],34,0
Pref0,0.5135[0.487922],0.511605[0.485138],0.515528[0.490876],34,0
Signal0,0.51225[0.483192],0.509671[0.48518],0.51501[0.48104],34,0
Hybridindex,10.717[7.76727],10.4169[7.72889],11.0275[7.79462],35,0
Pref0,0.52025[0.489352],0.500983[0.488812],0.540183[0.489111],35,0
Signal0,0.5195[0.486179],0.496559[0.486027],0.543235[0.485195],35,0
Hybridindex,11.155[7.668],10.9187[7.67551],11.3927[7.65309],36,0
Pref0,0.54875[0.486311],0.533898[0.489009],0.563691[0.483121],36,0
