X2,X3,X4,X5,Generation,Iter
Hybridindex,10.25[9.94171],10.2319[9.95183],10.2679[9.9317],1,0
Pref0,0.5125[0.497085],0.511593[0.497592],0.513393[0.496585],1,0
Signal0,0.5125[0.497085],0.511593[0.497592],0.513393[0.496585],1,0
Hybridindex,9.95[9.92604],10.3169[9.91221],9.57114[9.92607],2,0
Pref0,0.49875[0.497115],0.517224[0.496492],0.479675[0.497037],2,0
Signal0,0.4975[0.496481],0.51624[0.49603],0.47815[0.496205],2,0
Hybridindex,9.73[9.85895],9.82498[9.86314],9.63174[9.85364],3,0
Pref0,0.4875[0.494817],0.492625[0.495004],0.482197[0.494567],3,0
Signal0,0.48725[0.494431],0.491642[0.494492],0.482706[0.494328],3,0
Hybridindex,9.791[9.8201],9.25025[9.77687],10.32[9.83347],4,0
Pref0,0.48825[0.493444],0.461072[0.491846],0.514837[0.493556],4,0
Signal0,0.48825[0.493191],0.461072[0.490817],0.514837[0.494057],4,0
Hybridindex,10.4887[9.72602],10.4244[9.72313],10.5513[9.72843],5,0
Pref0,0.525[0.491299],0.521805[0.491078],0.528107[0.491495],5,0
Signal0,0.5225[0.492944],0.517748[0.493301],0.52712[0.492552],5,0
Hybridindex,10.6423[9.60694],10.4169[9.5798],10.8592[9.62802],6,0
Pref0,0.5315[0.490161],0.520897[0.490295],0.541708[0.489815],6,0
Signal0,0.53025[0.490877],0.520897[0.491333],0.539254[0.490268],6,0
Hybridindex,10.7058[9.5408],10.5918[9.57113],10.8227[9.50814],7,0
Pref0,0.5365[0.488792],0.532577[0.489197],0.540527[0.488343],7,0
Signal0,0.535[0.490943],0.528134[0.491736],0.542047[0.490027],7,0
Hybridindex,11.0188[9.41374],11.2806[9.34188],10.7457[9.48041],8,0
Pref0,0.552[0.485588],0.567581[0.481119],0.535751[0.489678],8,0
Signal0,0.5525[0.488102],0.567091[0.485494],0.537283[0.490345],8,0
Hybridindex,10.8778[9.41101],10.6463[9.44276],11.0975[9.37549],9,0
Pref0,0.53975[0.487898],0.528234[0.487496],0.550682[0.488029],9,0
Signal0,0.5425[0.490605],0.531314[0.492026],0.553119[0.489017],9,0
Hybridindex,11.2315[9.28397],11.4842[9.27066],10.9867[9.2903],10,0
Pref0,0.55825[0.486294],0.569614[0.485021],0.547244[0.487271],10,0
Signal0,0.56075[0.488297],0.57063[0.488008],0.551181[0.488387],10,0
Hybridindex,11.2852[9.10967],11.1931[9.09219],11.3745[9.12567],11,0
Pref0,0.5625[0.483315],0.557419[0.48242],0.567421[0.48413],11,0
Signal0,0.56325[0.486441],0.559959[0.484477],0.566437[0.488314],11,0
Hybridindex,11.1555[9.06041],11.1721[9.10345],11.1387[9.0167],12,0
Pref0,0.55825[0.482682],0.561692[0.482711],0.554774[0.482628],12,0
Signal0,0.56075[0.4847],0.562687[0.485153],0.558794[0.484234],12,0
Hybridindex,10.868[8.96421],10.7069[8.90717],11.0284[9.0178],13,0
Pref0,0.54275[0.485075],0.530561[0.483514],0.55489[0.486321],13,0
Signal0,0.544[0.486635],0.539078[0.48626],0.548902[0.486959],13,0
Hybridindex,10.8262[8.84767],10.9147[8.85256],10.7404[8.84206],14,0
Pref0,0.541[0.487154],0.547208[0.485375],0.534975[0.488799],14,0
Signal0,0.54[0.486724],0.540102[0.488098],0.539901[0.485386],14,0
Hybridindex,10.6798[8.73531],10.7587[8.78112],10.6045[8.69075],15,0
Pref0,0.53425[0.489083],0.544057[0.488186],0.524902[0.489753],15,0
Signal0,0.533[0.486992],0.539447[0.487793],0.526855[0.486147],15,0
Hybridindex,10.362[8.63949],10.3499[8.61657],10.3738[8.6617],16,0
Pref0,0.516[0.490147],0.517241[0.490484],0.514793[0.489816],16,0
Signal0,0.51525[0.487742],0.515213[0.48796],0.515286[0.48753],16,0
Hybridindex,10.2865[8.5664],10.2232[8.54056],10.3472[8.59066],17,0
Pref0,0.51[0.489541],0.505618[0.487556],0.514202[0.491399],17,0
Signal0,0.5125[0.487692],0.510215[0.486695],0.514691[0.488636],17,0
Hybridindex,10.0785[8.42063],10.4427[8.32044],9.71214[8.50452],18,0
Pref0,0.49925[0.488492],0.518943[0.486754],0.479438[0.489436],18,0
Signal0,0.506[0.485246],0.529412[0.481857],0.482447[0.4875],18,0
Hybridindex,9.96525[8.40697],10.3164[8.40928],9.61829[8.39026],19,0
Pref0,0.4905[0.486477],0.508048[0.486162],0.473161[0.486166],19,0
Signal0,0.49325[0.487934],0.510563[0.487922],0.476143[0.487342],19,0
Hybridindex,9.71625[8.29041],9.6279[8.28616],9.8112[8.29392],20,0
Pref0,0.47875[0.486491],0.474903[0.485154],0.482884[0.48789],20,0
Signal0,0.481[0.487739],0.477317[0.487505],0.484959[0.487959],20,0
Hybridindex,9.7335[8.1381],9.69565[8.16082],9.77052[8.11565],21,0
Pref0,0.4805[0.484891],0.479778[0.483913],0.481207[0.485846],21,0
Signal0,0.48725[0.487301],0.488878[0.486811],0.485658[0.487775],21,0
Hybridindex,9.59875[7.97307],9.86245[7.9378],9.33715[7.99932],22,0
Pref0,0.47225[0.483844],0.488956[0.481462],0.455677[0.485628],22,0
Signal0,0.4815[0.486218],0.503514[0.483397],0.459661[0.48802],22,0
Hybridindex,9.13425[7.82297],9.25366[7.86468],9.00872[7.7769],23,0
Pref0,0.44275[0.483836],0.453171[0.484141],0.431795[0.483273],23,0
Signal0,0.4515[0.48595],0.456585[0.486719],0.446154[0.485083],23,0
Hybridindex,9.1785[7.68626],9.15433[7.67016],9.20019[7.70062],24,0
Pref0,0.449[0.482855],0.451374[0.483625],0.446869[0.482153],24,0
Signal0,0.4515[0.483888],0.451374[0.48635],0.451613[0.481668],24,0
Hybridindex,9.09875[7.53637],8.97154[7.46119],9.22195[7.60644],25,0
Pref0,0.448[0.483266],0.438008[0.481063],0.457677[0.485194],25,0
Signal0,0.44625[0.484496],0.436992[0.481986],0.455217[0.486746],25,0
Hybridindex,9.189[7.46117],9.33755[7.45465],9.03189[7.46484],26,0
Pref0,0.4575[0.483419],0.464494[0.48263],0.450103[0.484142],26,0
Signal0,0.45175[0.484558],0.464008[0.484355],0.438786[0.484437],26,0
Hybridindex,9.06675[7.38913],9.14196[7.42479],8.9976[7.3555],27,0
Pref0,0.45725[0.483784],0.456681[0.480792],0.457774[0.486519],27,0
Signal0,0.44875[0.482958],0.453027[0.482346],0.444818[0.483486],27,0
Hybridindex,9.07[7.33419],9.14526[7.36564],8.99291[7.30103],28,0
Pref0,0.45825[0.484904],0.458004[0.484916],0.458502[0.484892],28,0
