X2,X3,X4,X5,Generation,Iter
Hybridindex,9.61[9.83097],9.60239[9.84174],9.61771[9.82005],1,0
Pref0,0.4805[0.491548],0.480119[0.492087],0.480885[0.491002],1,0
Signal0,0.4805[0.491548],0.480119[0.492087],0.480885[0.491002],1,0
Hybridindex,10.1532[9.10104],9.97093[9.06647],10.3169[9.12886],2,0
Pref0,0.50875[0.468026],0.499471[0.465796],0.517078[0.469863],2,0
Signal0,0.505[0.468215],0.497886[0.467208],0.511385[0.469025],2,0
Hybridindex,10.0695[7.37017],10.0461[7.42552],10.0927[7.31467],3,0
Pref0,0.51375[0.423599],0.508526[0.419171],0.518943[0.427891],3,0
Signal0,0.50675[0.419022],0.509027[0.418862],0.504487[0.419169],3,0
Hybridindex,9.7085[5.33212],9.72006[5.28625],9.698[5.37343],4,0
Pref0,0.4955[0.378787],0.49895[0.377268],0.492366[0.380135],4,0
Signal0,0.50075[0.376662],0.508929[0.378206],0.493321[0.3751],4,0
Hybridindex,9.68775[4.14359],9.64449[4.16155],9.73162[4.12484],5,0
Pref0,0.4885[0.36348],0.488083[0.364591],0.488922[0.36235],5,0
Signal0,0.499[0.363317],0.499007[0.362737],0.498993[0.363904],5,0
Hybridindex,9.661[3.31456],9.5989[3.29103],9.72322[3.33682],6,0
Pref0,0.485[0.354295],0.479021[0.354167],0.490991[0.354323],6,0
Signal0,0.502[0.351064],0.486014[0.350259],0.518018[0.35114],6,0
Hybridindex,9.571[2.83782],9.64088[2.84097],9.50439[2.83321],7,0
Pref0,0.487[0.361706],0.495902[0.361412],0.478516[0.361782],7,0
Signal0,0.4995[0.350357],0.509734[0.344241],0.489746[0.355814],7,0
Hybridindex,9.51625[2.46386],9.56722[2.43777],9.4633[2.48957],8,0
Pref0,0.472[0.360161],0.467125[0.362156],0.477064[0.358007],8,0
Signal0,0.48825[0.352473],0.48528[0.348527],0.491335[0.356498],8,0
Hybridindex,9.38875[2.34014],9.43406[2.33924],9.34667[2.34019],9,0
Pref0,0.47425[0.352437],0.470405[0.357978],0.477821[0.347175],9,0
Signal0,0.493[0.35313],0.486501[0.352007],0.499036[0.354063],9,0
Hybridindex,9.45625[2.22474],9.41598[2.22196],9.49463[2.22671],10,0
Pref0,0.4645[0.352477],0.469775[0.346023],0.459473[0.358447],10,0
Signal0,0.50225[0.353723],0.510246[0.356292],0.494629[0.351087],10,0
Hybridindex,9.47675[2.12346],9.5103[2.15304],9.4419[2.09173],11,0
Pref0,0.4675[0.345968],0.467615[0.344494],0.46738[0.347492],11,0
Signal0,0.50025[0.355493],0.490186[0.350804],0.510703[0.36],11,0
Hybridindex,9.4895[2.12494],9.48844[2.16577],9.49055[2.08373],12,0
Pref0,0.46325[0.351816],0.464824[0.352691],0.461692[0.350941],12,0
Signal0,0.522[0.349666],0.519598[0.347811],0.524378[0.351476],12,0
Hybridindex,9.4885[2.12429],9.50894[2.12785],9.46777[2.12048],13,0
Pref0,0.46975[0.355612],0.481629[0.350783],0.457704[0.360043],13,0
Signal0,0.51675[0.358601],0.530288[0.363184],0.503021[0.353362],13,0
Hybridindex,9.391[2.03632],9.38809[2.00712],9.39376[2.06366],14,0
Pref0,0.4805[0.357589],0.475359[0.35811],0.48538[0.357025],14,0
Signal0,0.50975[0.359555],0.49846[0.357879],0.520468[0.360812],14,0
Hybridindex,9.33775[2.01129],9.34343[1.9832],9.33218[2.03844],15,0
Pref0,0.474[0.352241],0.465152[0.357528],0.482673[0.346763],15,0
Signal0,0.50625[0.352613],0.497475[0.347056],0.514851[0.357767],15,0
Hybridindex,9.31775[1.98681],9.33469[2.04651],9.30128[1.92684],16,0
Pref0,0.45275[0.349846],0.448783[0.344713],0.456607[0.354724],16,0
Signal0,0.505[0.348891],0.51572[0.351765],0.494576[0.345755],16,0
Hybridindex,9.296[1.99559],9.27952[2.08843],9.31112[1.90631],17,0
Pref0,0.4625[0.350847],0.457158[0.340943],0.467402[0.359625],17,0
Signal0,0.5005[0.353553],0.503657[0.361029],0.497603[0.346526],17,0
Hybridindex,9.318[2.02808],9.22823[2.04503],9.40759[2.00703],18,0
Pref0,0.44625[0.352471],0.435936[0.351459],0.456543[0.353178],18,0
Signal0,0.47[0.350143],0.465465[0.352396],0.474525[0.347821],18,0
Hybridindex,9.35425[1.98988],9.29459[2.00811],9.42072[1.96724],19,0
Pref0,0.4465[0.345887],0.434061[0.348032],0.460359[0.34295],19,0
Signal0,0.47975[0.35315],0.482448[0.355127],0.476744[0.35091],19,0
Hybridindex,9.34625[1.95537],9.33284[1.91466],9.35996[1.99604],20,0
Pref0,0.4455[0.342826],0.444609[0.342213],0.446411[0.343449],20,0
Signal0,0.4755[0.352349],0.464886[0.348805],0.48635[0.355608],20,0
