X2,X3,X4,X5,Generation,Iter
Hybridindex,9.935[9.79009],9.58454[9.74661],10.3109[9.82261],1,0
Pref0,0.49675[0.489504],0.479227[0.487331],0.515544[0.49113],1,0
Signal0,0.49675[0.489504],0.479227[0.487331],0.515544[0.49113],1,0
Hybridindex,10.4942[8.92106],10.6635[8.97262],10.3291[8.86732],2,0
Pref0,0.523[0.46284],0.531883[0.465669],0.514328[0.459896],2,0
Signal0,0.5265[0.459943],0.533401[0.45927],0.519763[0.4605],2,0
Hybridindex,10.4027[7.15831],10.4591[7.07031],10.3502[7.239],3,0
Pref0,0.50975[0.416269],0.510881[0.415547],0.508696[0.416938],3,0
Signal0,0.52575[0.411658],0.534715[0.410468],0.517391[0.412588],3,0
Hybridindex,10.4075[5.17858],10.4405[5.2583],10.3755[5.09998],4,0
Pref0,0.5135[0.371911],0.526931[0.373182],0.500492[0.370212],4,0
Signal0,0.5315[0.372502],0.522866[0.371406],0.539862[0.37337],4,0
Hybridindex,10.2225[3.80286],10.234[3.75677],10.2111[3.84818],5,0
Pref0,0.50675[0.362049],0.506012[0.355269],0.507485[0.368676],5,0
Signal0,0.518[0.354155],0.507515[0.347758],0.528443[0.360111],5,0
Hybridindex,10.171[3.04606],10.2417[3.06295],10.1013[3.02771],6,0
Pref0,0.516[0.353545],0.517623[0.358246],0.514399[0.34884],6,0
Signal0,0.5205[0.353666],0.530211[0.357756],0.510924[0.349322],6,0
Hybridindex,10.0905[2.6938],10.1579[2.71858],10.0213[2.66636],7,0
Pref0,0.53925[0.352256],0.5385[0.350572],0.54002[0.353975],7,0
Signal0,0.52275[0.358619],0.512833[0.358004],0.532928[0.358964],7,0
Hybridindex,10.1248[2.48326],10.1023[2.4845],10.1468[2.48183],8,0
Pref0,0.54625[0.350694],0.550403[0.352096],0.542163[0.34926],8,0
Signal0,0.51275[0.352083],0.524698[0.344374],0.500992[0.35912],8,0
Hybridindex,10.1295[2.29341],10.1229[2.24959],10.1363[2.33751],9,0
Pref0,0.5625[0.349777],0.551333[0.355233],0.573961[0.34371],9,0
Signal0,0.494[0.358767],0.490128[0.356717],0.497974[0.360816],9,0
Hybridindex,10.0275[2.19043],9.92836[2.1673],10.1249[2.20859],10,0
Pref0,0.56825[0.351023],0.569627[0.345354],0.566898[0.356498],10,0
Signal0,0.51225[0.35281],0.503027[0.355142],0.521308[0.350268],10,0
Hybridindex,10.036[2.09844],9.99334[2.20265],10.0767[1.99321],11,0
Pref0,0.5695[0.34303],0.585041[0.346885],0.554688[0.338652],11,0
Signal0,0.544[0.344331],0.529713[0.344212],0.557617[0.343893],11,0
Hybridindex,10.0463[2.04156],10.018[2.00566],10.0745[2.07646],12,0
Pref0,0.5685[0.356101],0.567[0.35498],0.57[0.357211],12,0
Signal0,0.53375[0.349265],0.54[0.346266],0.5275[0.352127],12,0
Hybridindex,10.1367[2.02994],10.0778[2.0225],10.1975[2.03581],13,0
Pref0,0.5725[0.351417],0.586207[0.351222],0.558376[0.351058],13,0
Signal0,0.5185[0.355539],0.523645[0.353634],0.513198[0.357414],13,0
Hybridindex,10.1572[2.03357],10.1634[2.00026],10.1509[2.06758],14,0
Pref0,0.57[0.348712],0.561825[0.355256],0.578491[0.341574],14,0
Signal0,0.51575[0.353379],0.505888[0.349491],0.525994[0.357085],14,0
Hybridindex,10.163[2.07525],10.1359[2.12855],10.1893[2.02174],15,0
Pref0,0.558[0.350551],0.564402[0.354857],0.551775[0.346199],15,0
Signal0,0.51625[0.356526],0.503043[0.358172],0.529093[0.354447],15,0
Hybridindex,10.1845[1.94877],10.1543[1.9829],10.216[1.91202],16,0
Pref0,0.54725[0.354461],0.554358[0.358516],0.539837[0.350028],16,0
Signal0,0.5095[0.356244],0.505387[0.355756],0.51379[0.356701],16,0
Hybridindex,10.2172[1.96543],10.2357[2.00595],10.1983[1.92269],17,0
Pref0,0.54575[0.364393],0.542406[0.365117],0.549189[0.363614],17,0
Signal0,0.51225[0.354577],0.510355[0.354794],0.514199[0.354343],17,0
Hybridindex,10.2722[1.96112],10.1739[1.97199],10.373[1.94479],18,0
Pref0,0.54725[0.350203],0.557806[0.356155],0.536437[0.343665],18,0
Signal0,0.51325[0.349928],0.517787[0.346752],0.508603[0.353091],18,0
Hybridindex,10.3302[1.95942],10.3474[1.96207],10.3129[1.95657],19,0
Pref0,0.5505[0.346698],0.544235[0.346498],0.556841[0.346785],19,0
Signal0,0.5045[0.354584],0.508946[0.363492],0.5[0.345276],19,0
Hybridindex,10.3405[1.96674],10.4428[1.99099],10.2424[1.93814],20,0
Pref0,0.55475[0.350182],0.557201[0.347612],0.5524[0.352612],20,0
Signal0,0.51275[0.355616],0.517365[0.356187],0.508325[0.355011],20,0
Hybridindex,10.3168[1.92978],10.3327[1.91113],10.3004[1.9486],21,0
Pref0,0.55475[0.356549],0.555775[0.350713],0.553698[0.362439],21,0
Signal0,0.51125[0.351779],0.499013[0.351978],0.52381[0.351131],21,0
Hybridindex,10.2897[1.9487],10.3332[2.00512],10.2465[1.88983],22,0
Pref0,0.55925[0.348374],0.552605[0.348901],0.565868[0.347722],22,0
Signal0,0.5185[0.345192],0.528056[0.354211],0.508982[0.335699],22,0
Hybridindex,10.2982[1.94716],10.2993[1.8953],10.297[2.00391],23,0
Pref0,0.56825[0.353153],0.562323[0.350215],0.57492[0.356313],23,0
Signal0,0.5095[0.353779],0.504249[0.349329],0.515409[0.358629],23,0
Hybridindex,10.2218[1.87975],10.2485[1.88149],10.1962[1.87772],24,0
Pref0,0.5885[0.351309],0.580266[0.348014],0.59638[0.354254],24,0
Signal0,0.53275[0.353274],0.547035[0.350046],0.51908[0.355799],24,0
Hybridindex,10.1242[1.92489],10.1681[1.90159],10.0778[1.94819],25,0
Pref0,0.589[0.347245],0.572886[0.347186],0.606076[0.346491],25,0
Signal0,0.523[0.359473],0.525267[0.363338],0.520597[0.355316],25,0
Hybridindex,10.0975[1.92763],10.1474[1.93744],10.0482[1.9166],26,0
Pref0,0.5925[0.355941],0.587525[0.357283],0.597416[0.354541],26,0
Signal0,0.523[0.353159],0.519115[0.359741],0.526839[0.34649],26,0
Hybridindex,10.1835[1.89521],10.1521[1.90898],10.214[1.88123],27,0
Pref0,0.57425[0.350873],0.585193[0.344978],0.563609[0.35619],27,0
Signal0,0.51775[0.356805],0.511663[0.356931],0.523669[0.356584],27,0
Hybridindex,10.154[1.89375],10.0727[1.85519],10.2339[1.92753],28,0
