X2,X3,X4,X5,Generation,Iter
Hybridindex,10.11[9.79734],10.041[9.76141],10.1758[9.83101],1,0
Pref0,0.5055[0.489867],0.502049[0.488071],0.508789[0.491551],1,0
Signal0,0.5055[0.489867],0.502049[0.488071],0.508789[0.491551],1,0
Hybridindex,9.9085[8.85831],10.1572[8.90372],9.65729[8.80507],2,0
Pref0,0.4895[0.460586],0.500995[0.459828],0.477889[0.46106],2,0
Signal0,0.49425[0.459447],0.512935[0.461268],0.475377[0.456826],2,0
Hybridindex,9.5885[7.12413],9.45642[7.11703],9.72625[7.12891],3,0
Pref0,0.4735[0.414786],0.470127[0.415586],0.477017[0.413921],3,0
Signal0,0.4795[0.411801],0.475024[0.411172],0.484168[0.412403],3,0
Hybridindex,9.69775[5.31002],9.76138[5.37165],9.63551[5.24828],4,0
Pref0,0.488[0.382238],0.489383[0.381761],0.486647[0.382699],4,0
Signal0,0.474[0.373261],0.476239[0.375153],0.47181[0.371388],4,0
Hybridindex,9.653[4.00114],9.72552[3.94473],9.58606[4.05136],5,0
Pref0,0.475[0.365548],0.480729[0.364996],0.469712[0.365976],5,0
Signal0,0.47575[0.35852],0.486979[0.355151],0.465385[0.361293],5,0
Hybridindex,9.6705[3.1951],9.78041[3.26773],9.56699[3.12162],6,0
Pref0,0.46525[0.355552],0.448969[0.355696],0.480583[0.354734],6,0
Signal0,0.47175[0.358227],0.472165[0.355731],0.471359[0.360562],6,0
Hybridindex,9.713[2.69423],9.78325[2.69095],9.64061[2.6957],7,0
Pref0,0.47725[0.352643],0.482266[0.351185],0.472081[0.354066],7,0
Signal0,0.47725[0.356521],0.465025[0.359951],0.489848[0.352509],7,0
Hybridindex,9.63875[2.39956],9.6645[2.32781],9.613[2.46895],8,0
Pref0,0.48275[0.347962],0.4815[0.345554],0.484[0.350348],8,0
Signal0,0.48525[0.357641],0.479[0.361329],0.4915[0.353805],8,0
Hybridindex,9.74525[2.25925],9.71875[2.2386],9.77051[2.27848],9,0
Pref0,0.5055[0.352093],0.509221[0.353433],0.501953[0.350775],9,0
Signal0,0.494[0.361544],0.5[0.361435],0.488281[0.361555],9,0
Hybridindex,9.76675[2.1902],9.70762[2.14612],9.82552[2.2316],10,0
Pref0,0.50875[0.353268],0.512036[0.357406],0.505484[0.349076],10,0
Signal0,0.488[0.351221],0.481946[0.352915],0.494018[0.349425],10,0
Hybridindex,9.695[2.08398],9.63584[1.99484],9.76025[2.17621],11,0
Pref0,0.496[0.352114],0.490467[0.355945],0.502103[0.347737],11,0
Signal0,0.488[0.350865],0.486177[0.349383],0.490011[0.352481],11,0
Hybridindex,9.65275[2.09154],9.7001[2.10502],9.60568[2.07698],12,0
Pref0,0.49275[0.351884],0.501003[0.344754],0.484546[0.358643],12,0
Signal0,0.5[0.351426],0.51003[0.350383],0.49003[0.352176],12,0
Hybridindex,9.5335[2.05709],9.55511[2.02006],9.51198[2.09311],13,0
Pref0,0.5175[0.34741],0.517535[0.342312],0.517465[0.352414],13,0
Signal0,0.49425[0.350131],0.487475[0.355452],0.500998[0.344618],13,0
Hybridindex,9.46325[2.02972],9.47555[1.97926],9.45188[2.07524],14,0
Pref0,0.524[0.359755],0.526015[0.360439],0.522137[0.359112],14,0
Signal0,0.52325[0.349763],0.527575[0.348207],0.519249[0.35115],14,0
Hybridindex,9.42625[2.00791],9.36968[2.02269],9.48126[1.99188],15,0
Pref0,0.537[0.3509],0.53499[0.352538],0.538955[0.34929],15,0
Signal0,0.513[0.350116],0.504564[0.347739],0.521203[0.352218],15,0
Hybridindex,9.369[2.02998],9.31875[2.02959],9.41538[2.02925],16,0
Pref0,0.536[0.350648],0.539062[0.349531],0.533173[0.351652],16,0
Signal0,0.51025[0.352519],0.511458[0.35263],0.509135[0.352414],16,0
Hybridindex,9.40675[2.0112],9.39397[2.01283],9.42027[2.00938],17,0
Pref0,0.527[0.347521],0.517996[0.355498],0.536523[0.338621],17,0
Signal0,0.5125[0.351914],0.507782[0.360282],0.51749[0.342772],17,0
Hybridindex,9.4525[1.97762],9.48528[2.02046],9.42069[1.93461],18,0
Pref0,0.507[0.346339],0.514213[0.350201],0.5[0.342405],18,0
Signal0,0.51175[0.352473],0.523858[0.350763],0.5[0.353728],18,0
Hybridindex,9.432[1.94824],9.4511[1.93544],9.41118[1.96188],19,0
Pref0,0.5105[0.353397],0.505753[0.353676],0.515674[0.353021],19,0
Signal0,0.4865[0.352233],0.474593[0.349739],0.499478[0.354475],19,0
Hybridindex,9.40575[1.97376],9.39152[1.98355],9.42039[1.96354],20,0
Pref0,0.509[0.353085],0.499507[0.357713],0.518763[0.347992],20,0
Signal0,0.5015[0.348565],0.490138[0.351667],0.513185[0.344956],20,0
Hybridindex,9.4315[1.92128],9.41567[1.90928],9.44739[1.93312],21,0
Pref0,0.50125[0.348746],0.514471[0.35255],0.487976[0.344373],21,0
Signal0,0.4995[0.355668],0.499501[0.356365],0.499499[0.354967],21,0
Hybridindex,9.456[1.9741],9.4425[1.94035],9.4695[2.00719],22,0
Pref0,0.50425[0.349796],0.5145[0.347188],0.494[0.352085],22,0
Signal0,0.4975[0.357413],0.4995[0.359513],0.4955[0.355288],22,0
Hybridindex,9.492[1.92683],9.41922[1.92194],9.55745[1.92888],23,0
Pref0,0.49975[0.353023],0.49208[0.356254],0.506648[0.349947],23,0
Signal0,0.48875[0.359164],0.496304[0.359275],0.481956[0.358928],23,0
Hybridindex,9.44375[1.90269],9.4392[1.90572],9.44856[1.89946],24,0
Pref0,0.50025[0.356546],0.495136[0.356261],0.505658[0.356767],24,0
Signal0,0.489[0.35585],0.480058[0.357441],0.498457[0.353914],24,0
Hybridindex,9.39375[1.9283],9.41165[1.90814],9.37538[1.9486],25,0
Pref0,0.5165[0.360177],0.509872[0.361528],0.523303[0.358659],25,0
