1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	1[0]	1[0]	1[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.484314[0.499754]	1[0]	0[0]
1	Signal0	1[0]	1[0]	1[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.32775[2.46697]	9.31387[2.48107]	9.34168[2.45266]
3	Hybridindex	16.627[1.45349]	16.6642[1.47086]	16.5897[1.43487]
3	Pref0	0.84025[0.255646]	0.841317[0.252274]	0.839178[0.258983]
3	Pref1	0.86075[0.243894]	0.868762[0.235333]	0.852705[0.251942]
3	Sex	0.501[0.499999]	1[0]	0[0]
3	Signal0	1[0]	1[0]	1[0]
