id	pop	sex	FatherId	MotherId	Fitness0	Hybridindex	Pref0	Pref1	Sex	Signal0	
48109	1	1	46009	45666	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48111	1	1	46033	45666	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48113	1	1	46010	45666	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48114	1	1	46090	45792	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48117	1	1	45860	45595	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48118	1	1	45940	45595	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48119	1	1	46033	45595	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48120	1	1	46046	45648	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48122	1	1	45694	45621	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48123	1	1	45763	45621	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48124	1	1	45722	46060	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48126	1	1	45914	46052	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48127	1	1	45596	45937	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48128	1	1	45802	46069	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48129	1	1	46047	46069	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48130	1	1	45961	46069	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48133	1	1	45681	46001	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48137	1	1	45979	45996	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48138	1	1	45892	45981	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48144	1	1	45731	46058	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48148	1	1	45946	45606	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48151	1	1	46086	45870	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48153	1	1	45869	45870	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48154	1	1	45594	45784	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48156	1	1	45925	45654	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48157	1	1	46009	45654	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48160	1	1	45707	45669	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48163	1	1	45831	45850	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48164	1	1	45605	45850	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48165	1	1	45658	46061	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48166	1	1	46010	45746	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48168	1	1	45623	45746	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48170	1	1	45921	45773	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48172	1	1	45961	46074	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
48175	1	1	45601	45933	11.000000	20.000000	1.000000	1.000000	1.000000	16.000000	
