1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	16[0]	16[0]	16[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.519608[0.499615]	1[0]	0[0]
1	Signal0	16[0]	16[0]	16[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	10.879[1.14733]	10.932[0.862452]	10.8291[1.3603]
3	Hybridindex	19.78[2.08605]	19.8763[1.5681]	19.6893[2.47327]
3	Pref0	15.824[1.66884]	15.901[1.25448]	15.7515[1.97862]
3	Pref1	0.989[0.104302]	0.993814[0.0784048]	0.984466[0.123664]
3	Sex	0.485[0.499775]	1[0]	0[0]
3	Signal0	15.824[1.66884]	15.901[1.25448]	15.7515[1.97862]
