1	Fitness0	11[0]	11[0]	11[0]
1	Hybridindex	20[0]	20[0]	20[0]
1	Pref0	16[0]	16[0]	16[0]
1	Pref1	1[0]	1[0]	1[0]
1	Sex	0.472549[0.499246]	1[0]	0[0]
1	Signal0	16[0]	16[0]	16[0]
2	Fitness0	0[0]	0[0]	0[0]
2	Hybridindex	0[0]	0[0]	0[0]
2	Pref0	0[0]	0[0]	0[0]
2	Pref1	0[0]	0[0]	0[0]
2	Sex	0[0]	0[0]	0[0]
2	Signal0	0[0]	0[0]	0[0]
3	Fitness0	9.6085[3.65653]	9.43478[3.84285]	9.78644[3.44622]
3	Hybridindex	17.47[6.64824]	17.1542[6.987]	17.7935[6.26586]
3	Pref0	13.976[5.31859]	13.7233[5.5896]	14.2348[5.01269]
3	Pref1	0.8735[0.332412]	0.857708[0.34935]	0.889676[0.313293]
3	Sex	0.506[0.499964]	1[0]	0[0]
3	Signal0	13.976[5.31859]	13.7233[5.5896]	14.2348[5.01269]
