name	Chromosome	position	Allele1	Allele1val	Allele2	Allele2val	Mode	Freqal1pop1	Freqal1pop2
chr1_5074782	1	5074782	S	1	s	0	Hemizygous	0.5	0.5
chr2_3067685	2	3067685	I	0.5	i	0	Additive	1	0
chr2_4269077	2	4269077	I	0.5	i	0	Additive	1	0
chr2_6931021	2	6931021	I	0.5	i	0	Additive	1	0
chr2_851360	2	851360	I	0.5	i	0	Additive	1	0
chr2_2254366	2	2254366	I	0.5	i	0	Additive	1	0
chr2_2745305	2	2745305	I	0.5	i	0	Additive	1	0
chr2_2723051	2	2723051	I	0.5	i	0	Additive	1	0
chr2_6158293	2	6158293	I	0.5	i	0	Additive	1	0
chr2_4296715	2	4296715	I	0.5	i	0	Additive	1	0
chr2_6516557	2	6516557	I	0.5	i	0	Additive	1	0
chr3_5677377	3	5677377	I	0.5	i	0	Additive	1	0
chr3_1135090	3	1135090	I	0.5	i	0	Additive	1	0
chr3_5959253	3	5959253	I	0.5	i	0	Additive	1	0
chr3_3580500	3	3580500	I	0.5	i	0	Additive	1	0
chr3_4288094	3	4288094	I	0.5	i	0	Additive	1	0
chr3_519034	3	519034	I	0.5	i	0	Additive	1	0
chr3_2641777	3	2641777	I	0.5	i	0	Additive	1	0
chr3_3987907	3	3987907	I	0.5	i	0	Additive	1	0
chr3_8361341	3	8361341	I	0.5	i	0	Additive	1	0
chr3_8647212	3	8647212	I	0.5	i	0	Additive	1	0
chr4_6153524	4	6153524	H	0.5	h	0	Additive	1	0
chr4_7751099	4	7751099	H	0.5	h	0	Additive	1	0
chr4_3555687	4	3555687	H	0.5	h	0	Additive	1	0
chr4_4058500	4	4058500	H	0.5	h	0	Additive	1	0
chr4_7066469	4	7066469	H	0.5	h	0	Additive	1	0
chr4_8382876	4	8382876	H	0.5	h	0	Additive	1	0
chr4_2395892	4	2395892	H	0.5	h	0	Additive	1	0
chr4_7707715	4	7707715	H	0.5	h	0	Additive	1	0
chr4_3558978	4	3558978	H	0.5	h	0	Additive	1	0
chr4_5355970	4	5355970	H	0.5	h	0	Additive	1	0
chr5_930882	5	930882	A	0.5	a	0	Additive	1	0
chr5_1698031	5	1698031	A	0.5	a	0	Additive	1	0
chr5_8998324	5	8998324	A	0.5	a	0	Additive	1	0
chr5_4226376	5	4226376	A	0.5	a	0	Additive	1	0
chr5_7477464	5	7477464	A	0.5	a	0	Additive	1	0
chr5_8226525	5	8226525	A	0.5	a	0	Additive	1	0
chr5_9546536	5	9546536	A	0.5	a	0	Additive	1	0
chr5_6854445	5	6854445	A	0.5	a	0	Additive	1	0
chr5_5005032	5	5005032	A	0.5	a	0	Additive	1	0
chr5_2754839	5	2754839	A	0.5	a	0	Additive	1	0
chr6_2289040	6	2289040	A	0.5	a	0	Additive	1	0
chr6_144340	6	144340	A	0.5	a	0	Additive	1	0
chr6_7289645	6	7289645	A	0.5	a	0	Additive	1	0
chr6_2498805	6	2498805	A	0.5	a	0	Additive	1	0
chr6_1611833	6	1611833	A	0.5	a	0	Additive	1	0
chr6_170427	6	170427	A	0.5	a	0	Additive	1	0
chr6_4861003	6	4861003	A	0.5	a	0	Additive	1	0
chr6_1029002	6	1029002	A	0.5	a	0	Additive	1	0
chr6_8015470	6	8015470	A	0.5	a	0	Additive	1	0
chr6_3543281	6	3543281	A	0.5	a	0	Additive	1	0
chr7_9364325	7	9364325	A	0.5	a	0	Additive	1	0
chr7_2458664	7	2458664	A	0.5	a	0	Additive	1	0
chr7_4731415	7	4731415	A	0.5	a	0	Additive	1	0
chr7_1915609	7	1915609	A	0.5	a	0	Additive	1	0
chr7_5832220	7	5832220	A	0.5	a	0	Additive	1	0
chr7_4594732	7	4594732	A	0.5	a	0	Additive	1	0
chr7_4674341	7	4674341	A	0.5	a	0	Additive	1	0
chr7_3998326	7	3998326	A	0.5	a	0	Additive	1	0
chr7_5052856	7	5052856	A	0.5	a	0	Additive	1	0
chr7_318882	7	318882	A	0.5	a	0	Additive	1	0
chr8_1144676	8	1144676	A	0.5	a	0	Additive	1	0
chr8_4689355	8	4689355	A	0.5	a	0	Additive	1	0
chr8_3969867	8	3969867	A	0.5	a	0	Additive	1	0
chr8_8336192	8	8336192	A	0.5	a	0	Additive	1	0
chr8_7611217	8	7611217	A	0.5	a	0	Additive	1	0
chr8_5733564	8	5733564	A	0.5	a	0	Additive	1	0
chr8_4475081	8	4475081	A	0.5	a	0	Additive	1	0
chr8_838020	8	838020	A	0.5	a	0	Additive	1	0
chr8_2191386	8	2191386	A	0.5	a	0	Additive	1	0
chr8_755703	8	755703	A	0.5	a	0	Additive	1	0
chr9_5344268	9	5344268	A	0.5	a	0	Additive	1	0
chr9_6413566	9	6413566	A	0.5	a	0	Additive	1	0
chr9_5257393	9	5257393	A	0.5	a	0	Additive	1	0
chr9_392814	9	392814	A	0.5	a	0	Additive	1	0
chr9_5458598	9	5458598	A	0.5	a	0	Additive	1	0
chr9_3727631	9	3727631	A	0.5	a	0	Additive	1	0
chr9_9613024	9	9613024	A	0.5	a	0	Additive	1	0
chr9_2573416	9	2573416	A	0.5	a	0	Additive	1	0
chr9_2079517	9	2079517	A	0.5	a	0	Additive	1	0
chr9_8613824	9	8613824	A	0.5	a	0	Additive	1	0
chr10_4643920	10	4643920	A	0.5	a	0	Additive	1	0
chr10_2228675	10	2228675	A	0.5	a	0	Additive	1	0
chr10_6235496	10	6235496	A	0.5	a	0	Additive	1	0
chr10_2036477	10	2036477	A	0.5	a	0	Additive	1	0
chr10_196735	10	196735	A	0.5	a	0	Additive	1	0
chr10_7979930	10	7979930	A	0.5	a	0	Additive	1	0
chr10_2743189	10	2743189	A	0.5	a	0	Additive	1	0
chr10_1666091	10	1666091	A	0.5	a	0	Additive	1	0
chr10_1701518	10	1701518	A	0.5	a	0	Additive	1	0
chr10_4885059	10	4885059	A	0.5	a	0	Additive	1	0
chr11_7114091	11	7114091	A	0.5	a	0	Additive	1	0
chr11_5919349	11	5919349	A	0.5	a	0	Additive	1	0
chr11_5171569	11	5171569	A	0.5	a	0	Additive	1	0
chr11_3816277	11	3816277	A	0.5	a	0	Additive	1	0
chr11_8347783	11	8347783	A	0.5	a	0	Additive	1	0
chr11_2490081	11	2490081	A	0.5	a	0	Additive	1	0
chr11_5406010	11	5406010	A	0.5	a	0	Additive	1	0
chr11_7438394	11	7438394	A	0.5	a	0	Additive	1	0
chr11_300119	11	300119	A	0.5	a	0	Additive	1	0
chr11_3443435	11	3443435	A	0.5	a	0	Additive	1	0
chr12_613226	12	613226	A	0.5	a	0	Additive	1	0
chr12_3689798	12	3689798	A	0.5	a	0	Additive	1	0
chr12_4075936	12	4075936	A	0.5	a	0	Additive	1	0
chr12_9143367	12	9143367	A	0.5	a	0	Additive	1	0
chr12_8887052	12	8887052	A	0.5	a	0	Additive	1	0
chr12_9837321	12	9837321	A	0.5	a	0	Additive	1	0
chr12_4771953	12	4771953	A	0.5	a	0	Additive	1	0
chr12_6935082	12	6935082	A	0.5	a	0	Additive	1	0
chr12_4257465	12	4257465	A	0.5	a	0	Additive	1	0
chr12_7841665	12	7841665	A	0.5	a	0	Additive	1	0
chr13_8426960	13	8426960	A	0.5	a	0	Additive	1	0
chr13_1834722	13	1834722	A	0.5	a	0	Additive	1	0
chr13_5285396	13	5285396	A	0.5	a	0	Additive	1	0
chr13_7029475	13	7029475	A	0.5	a	0	Additive	1	0
chr13_9132727	13	9132727	A	0.5	a	0	Additive	1	0
chr13_2591739	13	2591739	A	0.5	a	0	Additive	1	0
chr13_7926247	13	7926247	A	0.5	a	0	Additive	1	0
chr13_6144695	13	6144695	A	0.5	a	0	Additive	1	0
chr13_7006205	13	7006205	A	0.5	a	0	Additive	1	0
chr13_1079333	13	1079333	A	0.5	a	0	Additive	1	0
chr14_3338658	14	3338658	A	0.5	a	0	Additive	1	0
chr14_3241316	14	3241316	A	0.5	a	0	Additive	1	0
chr14_5654257	14	5654257	A	0.5	a	0	Additive	1	0
chr14_2031782	14	2031782	A	0.5	a	0	Additive	1	0
chr14_2197045	14	2197045	A	0.5	a	0	Additive	1	0
chr14_6331153	14	6331153	A	0.5	a	0	Additive	1	0
chr14_3525205	14	3525205	A	0.5	a	0	Additive	1	0
chr14_8568732	14	8568732	A	0.5	a	0	Additive	1	0
chr14_9507215	14	9507215	A	0.5	a	0	Additive	1	0
chr14_8880315	14	8880315	A	0.5	a	0	Additive	1	0
chr15_468588	15	468588	A	0.5	a	0	Additive	1	0
chr15_7690405	15	7690405	A	0.5	a	0	Additive	1	0
chr15_2302254	15	2302254	A	0.5	a	0	Additive	1	0
chr15_3151841	15	3151841	A	0.5	a	0	Additive	1	0
chr15_2826696	15	2826696	A	0.5	a	0	Additive	1	0
chr15_7131956	15	7131956	A	0.5	a	0	Additive	1	0
chr15_8621379	15	8621379	A	0.5	a	0	Additive	1	0
chr15_1063236	15	1063236	A	0.5	a	0	Additive	1	0
chr15_5503278	15	5503278	A	0.5	a	0	Additive	1	0
chr15_6483695	15	6483695	A	0.5	a	0	Additive	1	0
chr16_2347867	16	2347867	A	0.5	a	0	Additive	1	0
chr16_762973	16	762973	A	0.5	a	0	Additive	1	0
chr16_9230950	16	9230950	A	0.5	a	0	Additive	1	0
chr16_1472167	16	1472167	A	0.5	a	0	Additive	1	0
chr16_8223903	16	8223903	A	0.5	a	0	Additive	1	0
chr16_4135184	16	4135184	A	0.5	a	0	Additive	1	0
chr16_6125206	16	6125206	A	0.5	a	0	Additive	1	0
chr16_681205	16	681205	A	0.5	a	0	Additive	1	0
chr16_9041322	16	9041322	A	0.5	a	0	Additive	1	0
chr16_8795432	16	8795432	A	0.5	a	0	Additive	1	0
chr17_1971169	17	1971169	A	0.5	a	0	Additive	1	0
chr17_694598	17	694598	A	0.5	a	0	Additive	1	0
chr17_1573396	17	1573396	A	0.5	a	0	Additive	1	0
chr17_3334568	17	3334568	A	0.5	a	0	Additive	1	0
chr17_1800618	17	1800618	A	0.5	a	0	Additive	1	0
chr17_1464827	17	1464827	A	0.5	a	0	Additive	1	0
chr17_2905755	17	2905755	A	0.5	a	0	Additive	1	0
chr17_9360688	17	9360688	A	0.5	a	0	Additive	1	0
chr17_1024605	17	1024605	A	0.5	a	0	Additive	1	0
chr17_7233519	17	7233519	A	0.5	a	0	Additive	1	0
chr18_5164015	18	5164015	A	0.5	a	0	Additive	1	0
chr18_4118995	18	4118995	A	0.5	a	0	Additive	1	0
chr18_4132653	18	4132653	A	0.5	a	0	Additive	1	0
chr18_7620444	18	7620444	A	0.5	a	0	Additive	1	0
chr18_2591766	18	2591766	A	0.5	a	0	Additive	1	0
chr18_7631898	18	7631898	A	0.5	a	0	Additive	1	0
chr18_9824048	18	9824048	A	0.5	a	0	Additive	1	0
chr18_6701190	18	6701190	A	0.5	a	0	Additive	1	0
chr18_5899279	18	5899279	A	0.5	a	0	Additive	1	0
chr18_5630988	18	5630988	A	0.5	a	0	Additive	1	0
chr19_7617968	19	7617968	A	0.5	a	0	Additive	1	0
chr19_7452974	19	7452974	A	0.5	a	0	Additive	1	0
chr19_7078272	19	7078272	A	0.5	a	0	Additive	1	0
chr19_9868082	19	9868082	A	0.5	a	0	Additive	1	0
chr19_4516309	19	4516309	A	0.5	a	0	Additive	1	0
chr19_1182174	19	1182174	A	0.5	a	0	Additive	1	0
chr19_2386353	19	2386353	A	0.5	a	0	Additive	1	0
chr19_4705228	19	4705228	A	0.5	a	0	Additive	1	0
chr19_3523231	19	3523231	A	0.5	a	0	Additive	1	0
chr19_3385753	19	3385753	A	0.5	a	0	Additive	1	0
chr20_1273013	20	1273013	A	0.5	a	0	Additive	1	0
chr20_4240739	20	4240739	A	0.5	a	0	Additive	1	0
chr20_4733108	20	4733108	A	0.5	a	0	Additive	1	0
chr20_5277220	20	5277220	A	0.5	a	0	Additive	1	0
chr20_6269536	20	6269536	A	0.5	a	0	Additive	1	0
chr20_8760261	20	8760261	A	0.5	a	0	Additive	1	0
chr20_6791570	20	6791570	A	0.5	a	0	Additive	1	0
chr20_7240640	20	7240640	A	0.5	a	0	Additive	1	0
chr20_1818478	20	1818478	A	0.5	a	0	Additive	1	0
chr20_778556	20	778556	A	0.5	a	0	Additive	1	0
chr21_721974	21	721974	A	0.5	a	0	Additive	1	0
chr21_540626	21	540626	A	0.5	a	0	Additive	1	0
chr21_5172734	21	5172734	A	0.5	a	0	Additive	1	0
chr21_8140515	21	8140515	A	0.5	a	0	Additive	1	0
chr21_4490484	21	4490484	A	0.5	a	0	Additive	1	0
chr21_5588949	21	5588949	A	0.5	a	0	Additive	1	0
chr21_2798801	21	2798801	A	0.5	a	0	Additive	1	0
chr21_8900940	21	8900940	A	0.5	a	0	Additive	1	0
chr21_7158493	21	7158493	A	0.5	a	0	Additive	1	0
chr21_2230884	21	2230884	A	0.5	a	0	Additive	1	0
chr22_5358950	22	5358950	A	0.5	a	0	Additive	1	0
chr22_6625291	22	6625291	A	0.5	a	0	Additive	1	0
chr22_8480705	22	8480705	A	0.5	a	0	Additive	1	0
chr22_1491831	22	1491831	A	0.5	a	0	Additive	1	0
