name	Chromosome	position	Allele1	Allele1val	Allele2	Allele2val	Mode	Freqal1pop1	Freqal1pop2
chr1_5074782	1	5074782	S	1	s	0	Hemizygous	0.5	0.5
chr2_3067685	2	3067685	A	3	a	0	Additive	1	0
chr2_4269077	2	4269077	A	0	a	7	Additive	1	0
chr2_6931021	2	6931021	A	0.5	a	0	Additive	1	0
chr2_851360	2	851360	A	3	a	0	Additive	1	0
chr2_2254366	2	2254366	A	0.5	a	0	Additive	1	0
chr2_2745305	2	2745305	A	10	a	0	Additive	1	0
chr2_2723051	2	2723051	A	0.5	a	0	Additive	1	0
chr2_6158293	2	6158293	A	0.5	a	0	Additive	1	0
chr2_4296715	2	4296715	A	0.5	a	0	Additive	1	0
chr2_6516557	2	6516557	A	5	a	0	Additive	1	0
chr2_5677377	2	5677377	A	0.5	a	0	Additive	1	0
chr2_1135090	2	1135090	A	10	a	0	Additive	1	0
chr2_5959253	2	5959253	A	10	a	0	Additive	1	0
chr2_3580500	2	3580500	A	0	a	7	Additive	1	0
chr2_4288094	2	4288094	A	0.5	a	0	Additive	1	0
chr2_519034	2	519034	A	0.5	a	0	Additive	1	0
chr2_2641777	2	2641777	A	5	a	0	Additive	1	0
chr2_3987907	2	3987907	A	0.5	a	0	Additive	1	0
chr3_8361341	3	8361341	A	0	a	7	Additive	1	0
chr3_8647212	3	8647212	A	3	a	0	Additive	1	0
chr3_6153524	3	6153524	A	0.5	a	0	Additive	1	0
chr3_7751099	3	7751099	A	10	a	0	Additive	1	0
chr3_3555687	3	3555687	A	0.5	a	0	Additive	1	0
chr3_4058500	3	4058500	A	0.5	a	0	Additive	1	0
chr3_7066469	3	7066469	A	5	a	0	Additive	1	0
chr3_8382876	3	8382876	A	5	a	0	Additive	1	0
chr3_2395892	3	2395892	A	0.5	a	0	Additive	1	0
chr3_7707715	3	7707715	A	0.5	a	0	Additive	1	0
chr3_3558978	3	3558978	A	5	a	0	Additive	1	0
chr3_5355970	3	5355970	A	10	a	0	Additive	1	0
chr3_930882	3	930882	A	0	a	7	Additive	1	0
chr3_1698031	3	1698031	A	0.5	a	0	Additive	1	0
chr3_8998324	3	8998324	A	10	a	0	Additive	1	0
chr3_4226376	3	4226376	A	0.5	a	0	Additive	1	0
chr3_7477464	3	7477464	A	0	a	7	Additive	1	0
chr3_8226525	3	8226525	A	0.5	a	0	Additive	1	0
chr4_9546536	4	9546536	A	10	a	0	Additive	1	0
chr4_6854445	4	6854445	A	0.5	a	0	Additive	1	0
chr4_5005032	4	5005032	A	0.5	a	0	Additive	1	0
chr4_2754839	4	2754839	A	0.5	a	0	Additive	1	0
chr4_2289040	4	2289040	A	0.5	a	0	Additive	1	0
chr4_144340	4	144340	A	0.5	a	0	Additive	1	0
chr4_7289645	4	7289645	A	0.5	a	0	Additive	1	0
chr4_2498805	4	2498805	A	3	a	0	Additive	1	0
chr4_1611833	4	1611833	A	0.5	a	0	Additive	1	0
chr4_170427	4	170427	A	5	a	0	Additive	1	0
